Variable,Description,Range (Mean ± SD)
* AREA,Total forest area within each focal island (log10 (×)),1.18-4.16  (2.83 ± 0.96)
*DMAINLAND,Euclidean distance from each focal island to the nearest neighbouring mainland forest site (log10 (×)),2.64-4.76 (3.60 ± 0.79)
*LANDSAT PCA1,First PCA axis of Landsat TM/ETM+ reflectance values summarizing the spectral reflectance of each plot,Not applicable
*FIRE,Fire severity within each focal island scored as an ordinal scale based on the marks on trees on established forest plots (see Benchimol & Peres 2015),1-3(0.76 ± 0.87)
*PPIONEER,"Percentage of pioneer tree stems within each focal island, calculated from floristic surveys of all live trees ? 10 cm DBH (diameter at breast height) in 0.25-ha forest plots within each focal plot",12.6-82.5 (30.93± 16.74)
COVER,Percentage of forest cover within a 500-mbuffer,2.52-5.71 (35.27 ± 16.13)
DBH,Mean diameter at breast height per 0.25-ha calculated from floristic surveys of all live trees ? 10 cm DBH (diameter at breast height) in 0.25-ha forest plots within each focal island,19.6-27.5 (22.5± 1.98)
Old growth,"Percentage of old-growth trees within each focal island, calculated as above",15.38-87.4 (68.94 ± 17.13)
S_trees,"Number of live tree species ?10 cm DBH within each focal island, calculated as above",14-73 (53.88 ± 13.73)
S_PIONEER ,"Number of pioneer tree species within each focal plot, calculated as above",9-25 (13.88 ± 4.02)
ABD_PIONEER ,"Number of pioneer tree stems within each focal plot, calculated as above",16-71 (34.4± 12.15)
P_PIONEER_SP,"Percentage of pioneer tree species within each focal plot, calculated as above",15.79-78.57 (28.2 ± 13.8)
BASAL_PIONEER,"Basal area of pioneer tree stems within each focal plot, calculated as above",2.2-10.69(6.75 ± 2.43)
ABD_O.bac,"Number of stems of Oenocarpus bacaba, within each focal plot, calculated as above",0-26 (9.05 ± 7.61)
BASAL_O.bac,"Basal area of stems of Oenocarpus bacaba, within each focal plot, calculated as above",0-59.2(2 ± 2.14)
ABD_C.scia,"Number of stems of Cecropia sciadophylla, within each focal plot, calculated as above",0-42(3.11 ± 9.77)
BASAL_C.scia,"Basal area of stems of Cecropia sciadophylla, within each focal plot, calculated as above",0-6.01 (0.57 ± 1.42)
ABD_C.lanj,"Number of stems of Croton lanjouwensis, within each focal plot, calculated as above",0-9 (1.35 ± 2.63)
BASAL_C.lanj,"Basal area of stems of Croton lanjouwensis, within each focal plot, calculated as above",0-2.61(0.36 ± 0.82)
