IDnum,Gender,Case,JobsAvailForPovertyAllev,PayingForestJobs,ImprovedAgriculture,SmallBusinessLoans,ToolsAndEquipment,SeedsAndSeedlings,ReforestationTraining,FertilizerSubsidies,FarmingEquipment,SubsidizedSeeds,EducationOnLoanRepayment,EstablishmentOfLoanClubs,CapitalForLoans
1041732,F,A1,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1041732,F,A2,16.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1041732,F,A3,17.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1041732,F,A4,17.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1041732,F,A5,16.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1041732,F,A6,16.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1041732,F,A7,17.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1041732,F,A8,18.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1041732,F,B1,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1041732,F,B2,*,100.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1041732,F,B3,*,100.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1041732,F,B4,*,100.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1041732,F,B5,*,20.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1041732,F,B6,*,14.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1041732,F,B7,*,15.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1041732,F,B8,*,16.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1041732,F,C1,*,*,100.0,*,*,*,*,ManyAvailable,Available,ManyAvailable,*,*,*
1041732,F,C2,*,*,100.0,*,*,*,*,ManyAvailable,Available,FewAvailable,*,*,*
1041732,F,C3,*,*,16.0,*,*,*,*,ManyAvailable,NotAvailable,ManyAvailable,*,*,*
1041732,F,C4,*,*,16.0,*,*,*,*,ManyAvailable,NotAvailable,FewAvailable,*,*,*
1041732,F,C5,*,*,18.0,*,*,*,*,FewAvailable,Available,ManyAvailable,*,*,*
1041732,F,C6,*,*,16.0,*,*,*,*,FewAvailable,Available,FewAvailable,*,*,*
1041732,F,C7,*,*,17.0,*,*,*,*,FewAvailable,NotAvailable,ManyAvailable,*,*,*
1041732,F,C8,*,*,17.0,*,*,*,*,FewAvailable,NotAvailable,FewAvailable,*,*,*
1041732,F,D1,*,*,*,100.0,*,*,*,*,*,*,Available,ManyEstablished,Available
1041732,F,D2,*,*,*,12.0,*,*,*,*,*,*,Available,ManyEstablished,NotAvailable
1041732,F,D3,*,*,*,100.0,*,*,*,*,*,*,Available,FewEstablished,Available
1041732,F,D4,*,*,*,15.0,*,*,*,*,*,*,Available,FewEstablished,NotAvailable
1041732,F,D5,*,*,*,15.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,Available
1041732,F,D6,*,*,*,16.0,*,*,*,*,*,*,NotAvailable,ManyEstablished,NotAvailable
1041732,F,D7,*,*,*,17.0,*,*,*,*,*,*,NotAvailable,FewEstablished,Available
1041732,F,D8,*,*,*,18.0,*,*,*,*,*,*,NotAvailable,FewEstablished,NotAvailable
1041051,F,A1,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1041051,F,A2,21.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1041051,F,A3,22.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1041051,F,A4,23.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1041051,F,A5,100.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1041051,F,A6,24.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1041051,F,A7,24.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1041051,F,A8,23.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1041051,F,B1,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1041051,F,B2,*,100.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1041051,F,B3,*,99.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1041051,F,B4,*,99.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1041051,F,B5,*,23.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1041051,F,B6,*,23.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1041051,F,B7,*,23.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1041051,F,B8,*,24.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1041051,F,C1,*,*,100.0,*,*,*,*,ManyAvailable,Available,ManyAvailable,*,*,*
1041051,F,C2,*,*,99.0,*,*,*,*,ManyAvailable,Available,FewAvailable,*,*,*
1041051,F,C3,*,*,23.0,*,*,*,*,ManyAvailable,NotAvailable,ManyAvailable,*,*,*
