IDnum,PovertyAlleviation,Education,ImpAgriPractices,SmallBusinesses,FoodForSchoolChildren,SchoolMaterials,TeachingAndLearningMaterials,CapacityBldgTrngFarmers,ImprovedSeedsAndFert,MarketsForAgProducts,CapitalLoans,Markets,CapacityBldgTrng
1063371,49.0,HighQuality,ProduceHighYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1063371,77.0,HighQuality,ProduceHighYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1063371,43.0,HighQuality,ProduceLowYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1063371,56.0,HighQuality,ProduceLowYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1063371,50.0,LowQuality,ProduceHighYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1063371,80.0,LowQuality,ProduceHighYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1063371,63.0,LowQuality,ProduceLowYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1063371,49.0,LowQuality,ProduceLowYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1063371,*,53.0,*,*,Available,Available,HighQuality,*,*,*,*,*,*
1063371,*,37.0,*,*,Available,Available,LowQuality,*,*,*,*,*,*
1063371,*,75.0,*,*,Available,NotAvailable,HighQuality,*,*,*,*,*,*
1063371,*,37.0,*,*,Available,NotAvailable,LowQuality,*,*,*,*,*,*
1063371,*,76.0,*,*,NotAvailable,Available,HighQuality,*,*,*,*,*,*
1063371,*,39.0,*,*,NotAvailable,Available,LowQuality,*,*,*,*,*,*
1063371,*,76.0,*,*,NotAvailable,NotAvailable,HighQuality,*,*,*,*,*,*
1063371,*,40.0,*,*,NotAvailable,NotAvailable,LowQuality,*,*,*,*,*,*
1063371,*,*,46.0,*,*,*,*,Adopted,Available,Available,*,*,*
1063371,*,*,59.0,*,*,*,*,Adopted,Available,NotAvailable,*,*,*
1063371,*,*,44.0,*,*,*,*,Adopted,NotAvailable,Available,*,*,*
1063371,*,*,65.0,*,*,*,*,Adopted,NotAvailable,NotAvailable,*,*,*
1063371,*,*,43.0,*,*,*,*,Disregarded,Available,Available,*,*,*
1063371,*,*,65.0,*,*,*,*,Disregarded,Available,NotAvailable,*,*,*
1063371,*,*,44.0,*,*,*,*,Disregarded,NotAvailable,Available,*,*,*
1063371,*,*,67.0,*,*,*,*,Disregarded,NotAvailable,NotAvailable,*,*,*
1063371,*,*,*,41.0,*,*,*,*,*,*,Available,HighQuality,HighQuality
1063371,*,*,*,70.0,*,*,*,*,*,*,Available,HighQuality,LowQuality
1063371,*,*,*,42.0,*,*,*,*,*,*,Available,LowQuality,HighQuality
1063371,*,*,*,70.0,*,*,*,*,*,*,Available,LowQuality,LowQuality
1063371,*,*,*,43.0,*,*,*,*,*,*,NotAvailable,HighQuality,HighQuality
1063371,*,*,*,70.0,*,*,*,*,*,*,NotAvailable,HighQuality,LowQuality
1063371,*,*,*,46.0,*,*,*,*,*,*,NotAvailable,LowQuality,HighQuality
1063371,*,*,*,75.0,*,*,*,*,*,*,NotAvailable,LowQuality,LowQuality
1023691,96.0,HighQuality,ProduceHighYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1023691,96.0,HighQuality,ProduceHighYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1023691,95.0,HighQuality,ProduceLowYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1023691,95.0,HighQuality,ProduceLowYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1023691,95.0,LowQuality,ProduceHighYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1023691,94.0,LowQuality,ProduceHighYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1023691,93.0,LowQuality,ProduceLowYields,ViableEmployers,*,*,*,*,*,*,*,*,*
1023691,93.0,LowQuality,ProduceLowYields,NotViableEmployers,*,*,*,*,*,*,*,*,*
1023691,*,94.0,*,*,Available,Available,HighQuality,*,*,*,*,*,*
