IDnum,PovertyAlleviation,IrrigatedAg,SmallBusLoans,YouthActivities,AgAdvisorsForIrrigation,IrrigationEquipment,AgriculturalClubs,EducationOnHowToGetLoans,SmallBusLoanClubs,GovernmentGrantingLoans,EstablishmentOfYouthClubs,EducationAvailable,ProvisionOfJobs
1067692,100.0,Available,Available,Available,*,*,*,*,*,*,*,*,*
1067692,54.0,Available,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1067692,83.0,Available,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1067692,14.0,Available,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1067692,100.0,NotAvailable,Available,Available,*,*,*,*,*,*,*,*,*
1067692,18.0,NotAvailable,Available,NotAvailable,*,*,*,*,*,*,*,*,*
1067692,9.0,NotAvailable,NotAvailable,Available,*,*,*,*,*,*,*,*,*
1067692,8.0,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*,*,*,*
1067692,*,100.0,*,*,Available,Available,Available,*,*,*,*,*,*
1067692,*,20.0,*,*,Available,Available,NotAvailable,*,*,*,*,*,*
1067692,*,66.0,*,*,Available,NotAvailable,Available,*,*,*,*,*,*
1067692,*,8.0,*,*,Available,NotAvailable,NotAvailable,*,*,*,*,*,*
1067692,*,100.0,*,*,NotAvailable,Available,Available,*,*,*,*,*,*
1067692,*,16.0,*,*,NotAvailable,Available,NotAvailable,*,*,*,*,*,*
1067692,*,28.0,*,*,NotAvailable,NotAvailable,Available,*,*,*,*,*,*
1067692,*,4.0,*,*,NotAvailable,NotAvailable,NotAvailable,*,*,*,*,*,*
1067692,*,*,100.0,*,*,*,*,Available,ManyAvailable,ManyLoans,*,*,*
1067692,*,*,64.0,*,*,*,*,Available,ManyAvailable,FewLoans,*,*,*
1067692,*,*,57.0,*,*,*,*,Available,FewAvailable,ManyLoans,*,*,*
1067692,*,*,20.0,*,*,*,*,Available,FewAvailable,FewLoans,*,*,*
1067692,*,*,98.0,*,*,*,*,NotAvailable,ManyAvailable,ManyLoans,*,*,*
1067692,*,*,14.0,*,*,*,*,NotAvailable,ManyAvailable,FewLoans,*,*,*
1067692,*,*,86.0,*,*,*,*,NotAvailable,FewAvailable,ManyLoans,*,*,*
1067692,*,*,19.0,*,*,*,*,NotAvailable,FewAvailable,FewLoans,*,*,*
1067692,*,*,*,100.0,*,*,*,*,*,*,Many,ManyFields,JobsAvailable
1067692,*,*,*,11.0,*,*,*,*,*,*,Many,ManyFields,JobsNotAvailable
1067692,*,*,*,63.0,*,*,*,*,*,*,Many,FewFields,JobsAvailable
1067692,*,*,*,17.0,*,*,*,*,*,*,Many,FewFields,JobsNotAvailable
1067692,*,*,*,100.0,*,*,*,*,*,*,Few,ManyFields,JobsAvailable
