IDnum,PovertyAlleviation,EmploymentOpportunities,EndingCorruptionGreed,SmallBusinessEmpowerment,MeritBasedHiring,EducationAndTraining,JobAttendance,InfoAccessAndTransparency,MonitoringAndAccountability,PoliticalWill,CapitalLoans,CapacityBldgAndTraining,ReliableMarkets
1017361,76.0,High,High,Available,*,*,*,*,*,*,*,*,*
1017361,20.0,High,High,NotAvailable,*,*,*,*,*,*,*,*,*
1017361,78.0,High,Low,Available,*,*,*,*,*,*,*,*,*
1017361,78.0,High,Low,NotAvailable,*,*,*,*,*,*,*,*,*
1017361,20.0,Low,High,Available,*,*,*,*,*,*,*,*,*
1017361,19.0,Low,High,NotAvailable,*,*,*,*,*,*,*,*,*
1017361,58.0,Low,Low,Available,*,*,*,*,*,*,*,*,*
1017361,16.0,Low,Low,NotAvailable,*,*,*,*,*,*,*,*,*
1017361,*,85.0,*,*,High,High,Good,*,*,*,*,*,*
1017361,*,57.0,*,*,High,High,Poor,*,*,*,*,*,*
1017361,*,56.0,*,*,High,Low,Good,*,*,*,*,*,*
1017361,*,*,*,*,High,Low,Poor,*,*,*,*,*,*
1017361,*,10.0,*,*,Low,High,Good,*,*,*,*,*,*
1017361,*,55.0,*,*,Low,High,Poor,*,*,*,*,*,*
1017361,*,57.0,*,*,Low,Low,Good,*,*,*,*,*,*
1017361,*,9.0,*,*,Low,Low,Poor,*,*,*,*,*,*
1017361,*,*,95.0,*,*,*,*,High,Available,High,*,*,*
1017361,*,*,10.0,*,*,*,*,High,Available,Low,*,*,*
1017361,*,*,50.0,*,*,*,*,High,NotAvailable,High,*,*,*
1017361,*,*,8.0,*,*,*,*,High,NotAvailable,Low,*,*,*
1017361,*,*,50.0,*,*,*,*,Low,Available,High,*,*,*
1017361,*,*,51.0,*,*,*,*,Low,Available,Low,*,*,*
1017361,*,*,52.0,*,*,*,*,Low,NotAvailable,High,*,*,*
1017361,*,*,8.0,*,*,*,*,Low,NotAvailable,Low,*,*,*
1017361,*,*,*,78.0,*,*,*,*,*,*,Available,HighQuality,Available
1017361,*,*,*,8.0,*,*,*,*,*,*,Available,HighQuality,NotAvailable
1017361,*,*,*,47.0,*,*,*,*,*,*,Available,LowQuality,Available
1017361,*,*,*,6.0,*,*,*,*,*,*,Available,LowQuality,NotAvailable
1017361,*,*,*,45.0,*,*,*,*,*,*,NotAvailable,HighQuality,Available
1017361,*,*,*,7.0,*,*,*,*,*,*,NotAvailable,HighQuality,NotAvailable
1017361,*,*,*,7.0,*,*,*,*,*,*,NotAvailable,LowQuality,Available
1017361,*,*,*,7.0,*,*,*,*,*,*,NotAvailable,LowQuality,NotAvailable
1019931,99.0,High,High,Available,*,*,*,*,*,*,*,*,*
1019931,20.0,High,High,NotAvailable,*,*,*,*,*,*,*,*,*
1019931,99.0,High,Low,Available,*,*,*,*,*,*,*,*,*
1019931,21.0,High,Low,NotAvailable,*,*,*,*,*,*,*,*,*
1019931,99.0,Low,High,Available,*,*,*,*,*,*,*,*,*
1019931,99.0,Low,High,NotAvailable,*,*,*,*,*,*,*,*,*
1019931,98.0,Low,Low,Available,*,*,*,*,*,*,*,*,*
