IDnum,PovertyAlleviation,AltLivelihoods,FamilyPlanning,ImprovedAgPractices,CapitalLoansSmBus,CapacityBldgTrngSmBus,QualityOfProducts,KnowSensitizationFamPlng,EarlyEdFamPlng,CapacityBldgFamPlngStaff,Agroforestry,FrstWoodlotCapBldg,UseOfCertImpSeeds
7181603,94.0,Viable,Adopted,Adopted,*,*,*,*,*,*,*,*,*
7181603,95.0,Viable,Adopted,Disregarded,*,*,*,*,*,*,*,*,*
7181603,56.0,Viable,Disregarded,Adopted,*,*,*,*,*,*,*,*,*
7181603,91.0,Viable,Disregarded,Disregarded,*,*,*,*,*,*,*,*,*
7181603,63.0,NotViable,Adopted,Adopted,*,*,*,*,*,*,*,*,*
7181603,56.0,NotViable,Adopted,Disregarded,*,*,*,*,*,*,*,*,*
7181603,92.0,NotViable,Disregarded,Adopted,*,*,*,*,*,*,*,*,*
7181603,54.0,NotViable,Disregarded,Disregarded,*,*,*,*,*,*,*,*,*
7181603,*,95.0,*,*,Available,Adopted,Good,*,*,*,*,*,*
7181603,*,53.0,*,*,Available,Adopted,Poor,*,*,*,*,*,*
7181603,*,54.0,*,*,Available,Disregarded,Good,*,*,*,*,*,*
7181603,*,55.0,*,*,Available,Disregarded,Poor,*,*,*,*,*,*
7181603,*,35.0,*,*,NotAvailable,Adopted,Good,*,*,*,*,*,*
7181603,*,33.0,*,*,NotAvailable,Adopted,Poor,*,*,*,*,*,*
7181603,*,52.0,*,*,NotAvailable,Disregarded,Good,*,*,*,*,*,*
7181603,*,44.0,*,*,NotAvailable,Disregarded,Poor,*,*,*,*,*,*
7181603,*,*,94.0,*,*,*,*,AwarenessHighKnowWidelyDist,Adopted,High,*,*,*
7181603,*,*,32.0,*,*,*,*,AwarenessHighKnowWidelyDist,Adopted,Low,*,*,*
7181603,*,*,53.0,*,*,*,*,AwarenessHighKnowWidelyDist,Disregarded,High,*,*,*
7181603,*,*,32.0,*,*,*,*,AwarenessHighKnowWidelyDist,Disregarded,Low,*,*,*
7181603,*,*,63.0,*,*,*,*,AwarenessLowKnowPoorlyDist,Adopted,High,*,*,*
7181603,*,*,53.0,*,*,*,*,AwarenessLowKnowPoorlyDist,Adopted,Low,*,*,*
7181603,*,*,65.0,*,*,*,*,AwarenessLowKnowPoorlyDist,Disregarded,High,*,*,*
7181603,*,*,52.0,*,*,*,*,AwarenessLowKnowPoorlyDist,Disregarded,Low,*,*,*
7181603,*,*,*,93.0,*,*,*,*,*,*,Available,Adopted,HighlyAccessed
7181603,*,*,*,36.0,*,*,*,*,*,*,Available,Adopted,PoorlyAccessed
7181603,*,*,*,36.0,*,*,*,*,*,*,Available,Disregarded,HighlyAccessed
7181603,*,*,*,44.0,*,*,*,*,*,*,Available,Disregarded,PoorlyAccessed
