IDnum,ReforestInclCmtyBene,AltLivelihoods,Enforcement,ForestMgmtValued,SkillsAndKnowledge,Markets,LocalCustomization,LinksToBenefitPrograms,PoliticalWill,InstitutionalCapacity,StakeholderKnowledge,SustainableForestProducts,MarketsForES
7151603,92.0,AvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151603,61.0,AvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151603,71.0,AvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151603,59.0,AvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151603,21.0,NotAvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151603,20.0,NotAvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151603,4.0,NotAvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151603,3.0,NotAvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151603,*,92.0,*,*,Adequate,DiverseStrong,Present,*,*,*,*,*,*
7151603,*,68.0,*,*,Inadequate,DiverseStrong,Present,*,*,*,*,*,*
7151603,*,72.0,*,*,Adequate,DiverseStrong,Absent,*,*,*,*,*,*
7151603,*,31.0,*,*,Inadequate,DiverseStrong,Absent,*,*,*,*,*,*
7151603,*,42.0,*,*,Adequate,HomogenousWeak,Present,*,*,*,*,*,*
7151603,*,22.0,*,*,Inadequate,HomogenousWeak,Present,*,*,*,*,*,*
7151603,*,22.0,*,*,Adequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151603,*,2.0,*,*,Inadequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151603,*,*,91.0,*,*,*,*,HighlyCoordinated,Strong,High,*,*,*
7151603,*,*,72.0,*,*,*,*,HighlyCoordinated,Strong,Low,*,*,*
7151603,*,*,31.0,*,*,*,*,HighlyCoordinated,Weak,High,*,*,*
7151603,*,*,22.0,*,*,*,*,HighlyCoordinated,Weak,Low,*,*,*
7151603,*,*,43.0,*,*,*,*,PoorlyCoordinated,Strong,High,*,*,*
7151603,*,*,33.0,*,*,*,*,PoorlyCoordinated,Strong,Low,*,*,*
7151603,*,*,24.0,*,*,*,*,PoorlyCoordinated,Weak,High,*,*,*
7151603,*,*,2.0,*,*,*,*,PoorlyCoordinated,Weak,Low,*,*,*
7151603,*,*,*,94.0,*,*,*,*,*,*,Adequate,HighlyValued,Present
7151603,*,*,*,62.0,*,*,*,*,*,*,Adequate,HighlyValued,Absent
7151603,*,*,*,52.0,*,*,*,*,*,*,Adequate,Devalued,Present
7151603,*,*,*,31.0,*,*,*,*,*,*,Adequate,Devalued,Absent
7151603,*,*,*,43.0,*,*,*,*,*,*,Inadequate,HighlyValued,Present
7151603,*,*,*,32.0,*,*,*,*,*,*,Inadequate,HighlyValued,Absent
7151603,*,*,*,23.0,*,*,*,*,*,*,Inadequate,Devalued,Present
7151603,*,*,*,3.0,*,*,*,*,*,*,Inadequate,Devalued,Absent
7151605,70.0,AvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151605,51.0,AvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151605,22.0,AvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151605,23.0,AvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151605,13.0,NotAvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151605,18.0,NotAvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151605,13.0,NotAvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151605,24.0,NotAvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151605,*,90.0,*,*,Adequate,DiverseStrong,Present,*,*,*,*,*,*
7151605,*,30.0,*,*,Inadequate,DiverseStrong,Present,*,*,*,*,*,*
7151605,*,52.0,*,*,Adequate,DiverseStrong,Absent,*,*,*,*,*,*
7151605,*,22.0,*,*,Inadequate,DiverseStrong,Absent,*,*,*,*,*,*
7151605,*,42.0,*,*,Adequate,HomogenousWeak,Present,*,*,*,*,*,*
7151605,*,25.0,*,*,Inadequate,HomogenousWeak,Present,*,*,*,*,*,*
7151605,*,9.0,*,*,Adequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151605,*,9.0,*,*,Inadequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151605,*,*,80.0,*,*,*,*,HighlyCoordinated,Strong,High,*,*,*
7151605,*,*,30.0,*,*,*,*,HighlyCoordinated,Strong,Low,*,*,*
7151605,*,*,60.0,*,*,*,*,HighlyCoordinated,Weak,High,*,*,*
7151605,*,*,22.0,*,*,*,*,HighlyCoordinated,Weak,Low,*,*,*
7151605,*,*,61.0,*,*,*,*,PoorlyCoordinated,Strong,High,*,*,*
7151605,*,*,15.0,*,*,*,*,PoorlyCoordinated,Strong,Low,*,*,*
7151605,*,*,29.0,*,*,*,*,PoorlyCoordinated,Weak,High,*,*,*
7151605,*,*,3.0,*,*,*,*,PoorlyCoordinated,Weak,Low,*,*,*
7151605,*,*,*,90.0,*,*,*,*,*,*,Adequate,HighlyValued,Present
7151605,*,*,*,81.0,*,*,*,*,*,*,Adequate,HighlyValued,Absent
7151605,*,*,*,39.0,*,*,*,*,*,*,Adequate,Devalued,Present
7151605,*,*,*,40.0,*,*,*,*,*,*,Adequate,Devalued,Absent
7151605,*,*,*,21.0,*,*,*,*,*,*,Inadequate,HighlyValued,Present
7151605,*,*,*,14.0,*,*,*,*,*,*,Inadequate,HighlyValued,Absent
7151605,*,*,*,38.0,*,*,*,*,*,*,Inadequate,Devalued,Present
7151605,*,*,*,8.0,*,*,*,*,*,*,Inadequate,Devalued,Absent
7151604,100.0,AvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151604,79.0,AvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151604,90.0,AvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151604,51.0,AvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151604,42.0,NotAvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151604,32.0,NotAvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151604,21.0,NotAvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151604,0.0,NotAvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151604,*,100.0,*,*,Adequate,DiverseStrong,Present,*,*,*,*,*,*
7151604,*,90.0,*,*,Inadequate,DiverseStrong,Present,*,*,*,*,*,*
7151604,*,90.0,*,*,Adequate,DiverseStrong,Absent,*,*,*,*,*,*
7151604,*,70.0,*,*,Inadequate,DiverseStrong,Absent,*,*,*,*,*,*
7151604,*,59.0,*,*,Adequate,HomogenousWeak,Present,*,*,*,*,*,*
7151604,*,31.0,*,*,Inadequate,HomogenousWeak,Present,*,*,*,*,*,*
7151604,*,22.0,*,*,Adequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151604,*,0.0,*,*,Inadequate,HomogenousWeak,Absent,*,*,*,*,*,*
7151604,*,*,100.0,*,*,*,*,HighlyCoordinated,Strong,High,*,*,*
7151604,*,*,81.0,*,*,*,*,HighlyCoordinated,Strong,Low,*,*,*
7151604,*,*,61.0,*,*,*,*,HighlyCoordinated,Weak,High,*,*,*
7151604,*,*,42.0,*,*,*,*,HighlyCoordinated,Weak,Low,*,*,*
7151604,*,*,82.0,*,*,*,*,PoorlyCoordinated,Strong,High,*,*,*
7151604,*,*,52.0,*,*,*,*,PoorlyCoordinated,Strong,Low,*,*,*
7151604,*,*,33.0,*,*,*,*,PoorlyCoordinated,Weak,High,*,*,*
7151604,*,*,0.0,*,*,*,*,PoorlyCoordinated,Weak,Low,*,*,*
7151604,*,*,*,100.0,*,*,*,*,*,*,Adequate,HighlyValued,Present
7151604,*,*,*,81.0,*,*,*,*,*,*,Adequate,HighlyValued,Absent
7151604,*,*,*,51.0,*,*,*,*,*,*,Adequate,Devalued,Present
7151604,*,*,*,32.0,*,*,*,*,*,*,Adequate,Devalued,Absent
7151604,*,*,*,73.0,*,*,*,*,*,*,Inadequate,HighlyValued,Present
7151604,*,*,*,52.0,*,*,*,*,*,*,Inadequate,HighlyValued,Absent
7151604,*,*,*,32.0,*,*,*,*,*,*,Inadequate,Devalued,Present
7151604,*,*,*,9.0,*,*,*,*,*,*,Inadequate,Devalued,Absent
7151602,80.0,AvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151602,41.0,AvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151602,61.0,AvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151602,31.0,AvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151602,28.0,NotAvailableViable,Effective,Yes,*,*,*,*,*,*,*,*,*
7151602,29.0,NotAvailableViable,Effective,No,*,*,*,*,*,*,*,*,*
7151602,71.0,NotAvailableViable,Ineffective,Yes,*,*,*,*,*,*,*,*,*
7151602,30.0,NotAvailableViable,Ineffective,No,*,*,*,*,*,*,*,*,*
7151602,*,90.0,*,*,Adequate,DiverseStrong,Present,*,*,*,*,*,*
