IDnum,PovertyAlleviation,BusinessOpportunities,EmploymentOpportunities,ImpAgriPractices,CapitalAndLoans,Markets,CapacityBldgTrng,Education,Factories,FundingForFactoryOps,WaterForIrrigation,AgriculturalInputs,AgCapacityBldgTrng
1070951,98.0,Viable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1070951,4.0,Viable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1070951,4.0,Viable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1070951,3.0,Viable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1070951,99.0,NotViable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1070951,98.0,NotViable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
1070951,2.0,NotViable,Low,ResultInHighYields,*,*,*,*,*,*,*,*,*
1070951,2.0,NotViable,Low,ResultInLowYields,*,*,*,*,*,*,*,*,*
1070951,*,97.0,*,*,Available,Reliable,Adopted,*,*,*,*,*,*
1070951,*,2.0,*,*,Available,Reliable,Disregarded,*,*,*,*,*,*
1070951,*,43.0,*,*,Available,Unreliable,Adopted,*,*,*,*,*,*
1070951,*,2.0,*,*,Available,Unreliable,Disregarded,*,*,*,*,*,*
1070951,*,98.0,*,*,Unavailable,Reliable,Adopted,*,*,*,*,*,*
1070951,*,2.0,*,*,Unavailable,Reliable,Disregarded,*,*,*,*,*,*
1070951,*,96.0,*,*,Unavailable,Unreliable,Adopted,*,*,*,*,*,*
1070951,*,2.0,*,*,Unavailable,Unreliable,Disregarded,*,*,*,*,*,*
1070951,*,*,98.0,*,*,*,*,Adopted,ManyFactoriesEst,Available,*,*,*
1070951,*,*,2.0,*,*,*,*,Adopted,ManyFactoriesEst,NotAvailable,*,*,*
1070951,*,*,49.0,*,*,*,*,Adopted,FewFactoriesEst,Available,*,*,*
1070951,*,*,2.0,*,*,*,*,Adopted,FewFactoriesEst,NotAvailable,*,*,*
1070951,*,*,96.0,*,*,*,*,Disregarded,ManyFactoriesEst,Available,*,*,*
1070951,*,*,2.0,*,*,*,*,Disregarded,ManyFactoriesEst,NotAvailable,*,*,*
1070951,*,*,47.0,*,*,*,*,Disregarded,FewFactoriesEst,Available,*,*,*
1070951,*,*,2.0,*,*,*,*,Disregarded,FewFactoriesEst,NotAvailable,*,*,*
1070951,*,*,*,98.0,*,*,*,*,*,*,Available,Available,Adopted
1070951,*,*,*,46.0,*,*,*,*,*,*,Available,Available,NotAdopted
1070951,*,*,*,44.0,*,*,*,*,*,*,Available,Unavailable,Adopted
1070951,*,*,*,2.0,*,*,*,*,*,*,Available,Unavailable,NotAdopted
1070951,*,*,*,1.0,*,*,*,*,*,*,Unavailable,Available,Adopted
1070951,*,*,*,45.0,*,*,*,*,*,*,Unavailable,Available,NotAdopted
1070951,*,*,*,97.0,*,*,*,*,*,*,Unavailable,Unavailable,Adopted
1070951,*,*,*,45.0,*,*,*,*,*,*,Unavailable,Unavailable,NotAdopted
1023962,96.0,Viable,High,ResultInHighYields,*,*,*,*,*,*,*,*,*
1023962,4.0,Viable,High,ResultInLowYields,*,*,*,*,*,*,*,*,*
