IDnum,PovertyAlleviation,BusinessOpportunities,EmploymentOpportunities,AgriculturalPractices,CapacityBldgTrng,CapitalAndLoans,Markets,Factories,Education,RawMaterialsForFactories,CapBldgTrngOnAgPrac,AgriculturalInputs,AgMarkets
1024671,96.0,Viable,Numerous,ResultInHighYields,*,*,*,*,*,*,*,*,*
1024671,3.0,Viable,Numerous,ResultInLowYields,*,*,*,*,*,*,*,*,*
1024671,97.0,Viable,Few,ResultInHighYields,*,*,*,*,*,*,*,*,*
1024671,3.0,Viable,Few,ResultInLowYields,*,*,*,*,*,*,*,*,*
1024671,96.0,NotViable,Numerous,ResultInHighYields,*,*,*,*,*,*,*,*,*
1024671,*,NotViable,Numerous,ResultInLowYields,*,*,*,*,*,*,*,*,*
1024671,95.0,NotViable,Few,ResultInHighYields,*,*,*,*,*,*,*,*,*
1024671,3.0,NotViable,Few,ResultInLowYields,*,*,*,*,*,*,*,*,*
1024671,*,98.0,*,*,Adopted,Available,Available,*,*,*,*,*,*
1024671,*,3.0,*,*,Adopted,Available,NotAvailable,*,*,*,*,*,*
1024671,*,97.0,*,*,Adopted,NotAvailable,Available,*,*,*,*,*,*
1024671,*,2.0,*,*,Adopted,NotAvailable,NotAvailable,*,*,*,*,*,*
1024671,*,2.0,*,*,Disregarded,Available,Available,*,*,*,*,*,*
1024671,*,2.0,*,*,Disregarded,Available,NotAvailable,*,*,*,*,*,*
1024671,*,97.0,*,*,Disregarded,NotAvailable,Available,*,*,*,*,*,*
1024671,*,3.0,*,*,Disregarded,NotAvailable,NotAvailable,*,*,*,*,*,*
1024671,*,*,97.0,*,*,*,*,EstOfViableFactories,HighQuality,HighQuality,*,*,*
1024671,*,*,2.0,*,*,*,*,EstOfViableFactories,HighQuality,LowQuality,*,*,*
1024671,*,*,2.0,*,*,*,*,EstOfViableFactories,LowQuality,HighQuality,*,*,*
1024671,*,*,2.0,*,*,*,*,EstOfViableFactories,LowQuality,LowQuality,*,*,*
1024671,*,*,2.0,*,*,*,*,ViableFactoriesNotEst,HighQuality,HighQuality,*,*,*
1024671,*,*,2.0,*,*,*,*,ViableFactoriesNotEst,HighQuality,LowQuality,*,*,*
1024671,*,*,2.0,*,*,*,*,ViableFactoriesNotEst,LowQuality,HighQuality,*,*,*
1024671,*,*,2.0,*,*,*,*,ViableFactoriesNotEst,LowQuality,LowQuality,*,*,*
1024671,*,*,*,97.0,*,*,*,*,*,*,Adopted,HighQuality,Reliable
1024671,*,*,*,96.0,*,*,*,*,*,*,Adopted,HighQuality,Unreliable
1024671,*,*,*,51.0,*,*,*,*,*,*,Adopted,LowQuality,Reliable
1024671,*,*,*,2.0,*,*,*,*,*,*,Adopted,LowQuality,Unreliable
1024671,*,*,*,2.0,*,*,*,*,*,*,Disregarded,HighQuality,Reliable
1024671,*,*,*,2.0,*,*,*,*,*,*,Disregarded,HighQuality,Unreliable
1024671,*,*,*,2.0,*,*,*,*,*,*,Disregarded,LowQuality,Reliable
1024671,*,*,*,2.0,*,*,*,*,*,*,Disregarded,LowQuality,Unreliable
1096211,98.0,Viable,Numerous,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096211,1.0,Viable,Numerous,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096211,98.0,Viable,Few,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096211,49.0,Viable,Few,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096211,48.0,NotViable,Numerous,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096211,1.0,NotViable,Numerous,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096211,47.0,NotViable,Few,ResultInHighYields,*,*,*,*,*,*,*,*,*
1096211,1.0,NotViable,Few,ResultInLowYields,*,*,*,*,*,*,*,*,*
1096211,*,99.0,*,*,Adopted,Available,Available,*,*,*,*,*,*
1096211,*,1.0,*,*,Adopted,Available,NotAvailable,*,*,*,*,*,*
1096211,*,49.0,*,*,Adopted,NotAvailable,Available,*,*,*,*,*,*
1096211,*,1.0,*,*,Adopted,NotAvailable,NotAvailable,*,*,*,*,*,*
1096211,*,48.0,*,*,Disregarded,Available,Available,*,*,*,*,*,*
1096211,*,1.0,*,*,Disregarded,Available,NotAvailable,*,*,*,*,*,*
1096211,*,1.0,*,*,Disregarded,NotAvailable,Available,*,*,*,*,*,*
1096211,*,1.0,*,*,Disregarded,NotAvailable,NotAvailable,*,*,*,*,*,*
1096211,*,*,99.0,*,*,*,*,EstOfViableFactories,HighQuality,HighQuality,*,*,*
1096211,*,*,50.0,*,*,*,*,EstOfViableFactories,HighQuality,LowQuality,*,*,*
1096211,*,*,1.0,*,*,*,*,EstOfViableFactories,LowQuality,HighQuality,*,*,*
1096211,*,*,98.0,*,*,*,*,EstOfViableFactories,LowQuality,LowQuality,*,*,*
1096211,*,*,*,*,*,*,*,ViableFactoriesNotEst,HighQuality,HighQuality,*,*,*
1096211,*,*,1.0,*,*,*,*,ViableFactoriesNotEst,HighQuality,LowQuality,*,*,*
1096211,*,*,48.0,*,*,*,*,ViableFactoriesNotEst,LowQuality,HighQuality,*,*,*
1096211,*,*,1.0,*,*,*,*,ViableFactoriesNotEst,LowQuality,LowQuality,*,*,*
1096211,*,*,*,100.0,*,*,*,*,*,*,Adopted,HighQuality,Reliable
1096211,*,*,*,99.0,*,*,*,*,*,*,Adopted,HighQuality,Unreliable
1096211,*,*,*,1.0,*,*,*,*,*,*,Adopted,LowQuality,Reliable
1096211,*,*,*,1.0,*,*,*,*,*,*,Adopted,LowQuality,Unreliable
1096211,*,*,*,1.0,*,*,*,*,*,*,Disregarded,HighQuality,Reliable
1096211,*,*,*,1.0,*,*,*,*,*,*,Disregarded,HighQuality,Unreliable
1096211,*,*,*,1.0,*,*,*,*,*,*,Disregarded,LowQuality,Reliable
1096211,*,*,*,1.0,*,*,*,*,*,*,Disregarded,LowQuality,Unreliable
1095921,97.0,Viable,Numerous,ResultInHighYields,*,*,*,*,*,*,*,*,*
1095921,6.0,Viable,Numerous,ResultInLowYields,*,*,*,*,*,*,*,*,*
1095921,96.0,Viable,Few,ResultInHighYields,*,*,*,*,*,*,*,*,*
1095921,2.0,Viable,Few,ResultInLowYields,*,*,*,*,*,*,*,*,*
1095921,44.0,NotViable,Numerous,ResultInHighYields,*,*,*,*,*,*,*,*,*
1095921,2.0,NotViable,Numerous,ResultInLowYields,*,*,*,*,*,*,*,*,*
1095921,47.0,NotViable,Few,ResultInHighYields,*,*,*,*,*,*,*,*,*
1095921,2.0,NotViable,Few,ResultInLowYields,*,*,*,*,*,*,*,*,*
1095921,*,96.0,*,*,Adopted,Available,Available,*,*,*,*,*,*
1095921,*,2.0,*,*,Adopted,Available,NotAvailable,*,*,*,*,*,*
1095921,*,96.0,*,*,Adopted,NotAvailable,Available,*,*,*,*,*,*
1095921,*,2.0,*,*,Adopted,NotAvailable,NotAvailable,*,*,*,*,*,*
1095921,*,2.0,*,*,Disregarded,Available,Available,*,*,*,*,*,*
1095921,*,2.0,*,*,Disregarded,Available,NotAvailable,*,*,*,*,*,*
1095921,*,3.0,*,*,Disregarded,NotAvailable,Available,*,*,*,*,*,*
1095921,*,2.0,*,*,Disregarded,NotAvailable,NotAvailable,*,*,*,*,*,*
1095921,*,*,96.0,*,*,*,*,EstOfViableFactories,HighQuality,HighQuality,*,*,*
1095921,*,*,2.0,*,*,*,*,EstOfViableFactories,HighQuality,LowQuality,*,*,*
1095921,*,*,44.0,*,*,*,*,EstOfViableFactories,LowQuality,HighQuality,*,*,*
1095921,*,*,2.0,*,*,*,*,EstOfViableFactories,LowQuality,LowQuality,*,*,*
1095921,*,*,44.0,*,*,*,*,ViableFactoriesNotEst,HighQuality,HighQuality,*,*,*
1095921,*,*,2.0,*,*,*,*,ViableFactoriesNotEst,HighQuality,LowQuality,*,*,*
1095921,*,*,2.0,*,*,*,*,ViableFactoriesNotEst,LowQuality,HighQuality,*,*,*
1095921,*,*,2.0,*,*,*,*,ViableFactoriesNotEst,LowQuality,LowQuality,*,*,*
1095921,*,*,*,97.0,*,*,*,*,*,*,Adopted,HighQuality,Reliable
1095921,*,*,*,41.0,*,*,*,*,*,*,Adopted,HighQuality,Unreliable
1095921,*,*,*,42.0,*,*,*,*,*,*,Adopted,LowQuality,Reliable
1095921,*,*,*,1.0,*,*,*,*,*,*,Adopted,LowQuality,Unreliable
1095921,*,*,*,44.0,*,*,*,*,*,*,Disregarded,HighQuality,Reliable
1095921,*,*,*,2.0,*,*,*,*,*,*,Disregarded,HighQuality,Unreliable
1095921,*,*,*,2.0,*,*,*,*,*,*,Disregarded,LowQuality,Reliable
1095921,*,*,*,2.0,*,*,*,*,*,*,Disregarded,LowQuality,Unreliable
1015971,5.0,Viable,Numerous,ResultInHighYields,*,*,*,*,*,*,*,*,*
1015971,2.0,Viable,Numerous,ResultInLowYields,*,*,*,*,*,*,*,*,*
1015971,6.0,Viable,Few,ResultInHighYields,*,*,*,*,*,*,*,*,*
1015971,3.0,Viable,Few,ResultInLowYields,*,*,*,*,*,*,*,*,*
1015971,5.0,NotViable,Numerous,ResultInHighYields,*,*,*,*,*,*,*,*,*
1015971,2.0,NotViable,Numerous,ResultInLowYields,*,*,*,*,*,*,*,*,*
1015971,5.0,NotViable,Few,ResultInHighYields,*,*,*,*,*,*,*,*,*
1015971,5.0,NotViable,Few,ResultInLowYields,*,*,*,*,*,*,*,*,*
1015971,*,9.0,*,*,Adopted,Available,Available,*,*,*,*,*,*
1015971,*,8.0,*,*,Adopted,Available,NotAvailable,*,*,*,*,*,*
1015971,*,7.0,*,*,Adopted,NotAvailable,Available,*,*,*,*,*,*
1015971,*,8.0,*,*,Adopted,NotAvailable,NotAvailable,*,*,*,*,*,*
1015971,*,9.0,*,*,Disregarded,Available,Available,*,*,*,*,*,*
1015971,*,9.0,*,*,Disregarded,Available,NotAvailable,*,*,*,*,*,*
1015971,*,10.0,*,*,Disregarded,NotAvailable,Available,*,*,*,*,*,*
1015971,*,9.0,*,*,Disregarded,NotAvailable,NotAvailable,*,*,*,*,*,*
1015971,*,*,*,*,*,*,*,EstOfViableFactories,HighQuality,HighQuality,*,*,*
1015971,*,*,*,*,*,*,*,EstOfViableFactories,HighQuality,LowQuality,*,*,*
1015971,*,*,96.0,*,*,*,*,EstOfViableFactories,LowQuality,HighQuality,*,*,*
1015971,*,*,*,*,*,*,*,EstOfViableFactories,LowQuality,LowQuality,*,*,*
1015971,*,*,95.0,*,*,*,*,ViableFactoriesNotEst,HighQuality,HighQuality,*,*,*
1015971,*,*,*,*,*,*,*,ViableFactoriesNotEst,HighQuality,LowQuality,*,*,*
1015971,*,*,*,*,*,*,*,ViableFactoriesNotEst,LowQuality,HighQuality,*,*,*
1015971,*,*,*,*,*,*,*,ViableFactoriesNotEst,LowQuality,LowQuality,*,*,*
1015971,*,*,*,98.0,*,*,*,*,*,*,Adopted,HighQuality,Reliable
1015971,*,*,*,99.0,*,*,*,*,*,*,Adopted,HighQuality,Unreliable
1015971,*,*,*,99.0,*,*,*,*,*,*,Adopted,LowQuality,Reliable
1015971,*,*,*,2.0,*,*,*,*,*,*,Adopted,LowQuality,Unreliable
1015971,*,*,*,4.0,*,*,*,*,*,*,Disregarded,HighQuality,Reliable
1015971,*,*,*,*,*,*,*,*,*,*,Disregarded,HighQuality,Unreliable
1015971,*,*,*,3.0,*,*,*,*,*,*,Disregarded,LowQuality,Reliable
1015971,*,*,*,2.0,*,*,*,*,*,*,Disregarded,LowQuality,Unreliable
