ID,encounter_sc,pa_personal_sc,pa_social_sc,pa_care_sc,ThemeA_sc,ThemeI_sc,ThemeE_sc,ThemeN_sc
1,0.394462433,5,5,5,3.75,1.25,0,0
2,0.295572416,2.8125,3.333333333,2.5,0,5,0,0
3,0.013720432,3.4375,3.75,3.75,0,3.333333334,1.666666667,0
4,0.012073981,4.375,3.333333333,5,3,2,0,0
5,0.592242467,3.4375,3.75,3.75,2.5,2.5,0,0
7,0.014337852,2.5,0.833333333,1.25,0,3.75,1.25,0
8,0.040063663,3.75,2.916666667,2.5,1.25,3.75,0,0
9,0.038417211,3.125,1.666666667,5,1,3,0,1
10,0.040063663,4.375,2.083333333,3.75,2.5,1.25,1.25,0
11,0.091515285,4.375,5,3.75,0,5,0,0
12,0.394462433,3.75,3.75,5,0,2.5,2.5,0
13,0.256160474,5,5,5,1.666666667,3.333333334,0,0
14,0.001372043,2.5,2.083333333,2.5,1.666666667,1.666666667,1.666666667,0
15,0.025273037,5,5,5,0.833333334,3.333333334,0.833333334,0
16,0.658169145,4.375,3.75,3.75,0,5,0,0
17,0.196682399,3.75,4.166666667,3.75,1.666666667,3.333333334,0,0
18,0.053784095,4.375,4.166666667,5,1,3,0,1
19,0.045208825,2.5,1.25,1.25,0,5,0,0
20,0.08122496,4.6875,3.333333333,3.75,2.5,2.5,0,0
22,0.025245596,4.0625,3.333333333,3.75,2,2,1,0
23,0.191845947,5,4.166666667,5,0,5,0,0
24,0.451031777,2.5,2.083333333,1.25,3.75,1.25,0,0
25,0.006311399,2.5,1.25,1.25,1.666666667,1.666666667,1.666666667,0
26,0.262609077,4.6875,5,5,1.666666667,3.333333334,0,0
27,0.016464519,5,2.916666667,5,0,3.75,1.25,0
28,5,0,0,0,0,3.333333334,1.666666667,0
29,0.005488173,5,2.083333333,5,2.5,2.5,0,0
30,0.00919269,4.6875,1.25,2.5,0,3.333333334,1.666666667,0
31,0.262609077,4.0625,4.583333333,5,1.25,2.5,1.25,0
32,0.24587015,4.6875,3.333333333,3.75,1,3,1,0
33,0.001097635,2.5,2.916666667,2.5,3.333333334,0,1.666666667,0
34,0.091515285,5,2.916666667,5,1.666666667,3.333333334,0,0
35,0.004390538,5,3.333333333,3.75,1.25,1.25,2.5,0
36,0.24587015,3.75,2.5,3.75,2.5,2.5,0,0
37,0.053784095,5,2.916666667,5,0,3.333333334,1.666666667,0
38,0.029773338,5,3.333333333,5,1.666666667,2.5,0.833333334,0
39,0.000754624,4.0625,2.083333333,2.5,1.666666667,3.333333334,0,0
40,0.08122496,4.0625,3.75,3.75,0.833333334,2.5,1.666666667,0
41,0.24587015,3.4375,2.916666667,2.5,0,5,0,0
42,0.045208825,0,2.5,1.25,0,3.333333334,1.666666667,0
43,0.196682399,4.6875,5,5,1.5,1.5,1.5,0.5
44,0.08122496,3.75,3.333333333,3.75,1.666666667,3.333333334,0,0
45,0.12753142,0.3125,0.833333333,0,0.833333334,3.333333334,0.833333334,0
46,0.064829043,5,3.75,3.75,0,2.5,2.5,0
47,0.394462433,5,5,5,0.5,1.7,1.9,0.9
48,0.790022502,3.75,3.75,3.75,0.666666667,2.333333334,1.666666667,0.333333333
49,0.153257231,2.1875,1.666666667,2.5,0,2.5,2.5,0
50,0.060644312,4.6875,3.75,5,0,1.666666667,3.333333334,0
51,0.32613468,3.75,3.75,3.75,1.25,2.5,1.25,0
52,0.24587015,4.0625,4.583333333,3.75,1.666666667,3.333333334,0,0
53,0.040063663,3.4375,2.5,5,0,5,0,0
54,0.130755721,5,5,5,1,4,0,0
55,0.163547555,3.4375,2.083333333,3.75,1.25,2.5,1.25,0
57,0.394462433,2.5,2.083333333,2.5,0.833333334,3.333333334,0.833333334,0
58,0.394462433,5,3.75,5,1.071428572,2.678571429,0.357142857,0.892857143
59,1.053729214,5,5,5,0,2.5,2.5,0
60,0.298968223,5,3.75,5,1.25,2.5,1.25,0
61,0.503128259,0,0.416666667,0,2.307692308,0.384615385,1.923076923,0.384615385
62,0.084655068,5,4.166666667,5,1.666666667,1.666666667,1.666666667,0
63,0.091515285,3.4375,0.416666667,1.25,0,2.5,2.5,0
64,0.063216893,5,4.166666667,5,0.833333334,2.5,1.666666667,0
65,0.348313759,4.6875,3.75,5,1.666666667,2.5,0.833333334,0
66,0.256160474,5,2.916666667,3.75,0,3.75,1.25,0
67,0.184128204,4.0625,3.333333333,2.5,1.25,1.25,1.25,1.25
68,0.0285385,4.375,4.583333333,5,0,5,0,0
69,0.005419571,3.4375,3.75,3.75,5,0,0,0
70,0.006585808,5,4.583333333,5,0,5,0,0
72,0.003292904,3.4375,3.333333333,3.75,1.25,1.25,1.25,1.25
73,0.005488173,2.1875,1.666666667,1.25,3.333333334,1.666666667,0,0
74,0.369354042,3.4375,2.916666667,2.5,1.805555556,0.972222222,1.527777778,0.694444445
75,0.006620109,3.125,2.5,3.75,1.666666667,3.333333334,0,0
76,0.00919269,2.8125,2.5,3.75,1.666666667,3.333333334,0,0
77,1.581142638,5,3.75,3.75,1,2,2,0
78,0.068362055,5,5,5,2.5,2.5,0,0
79,0.058174634,5,5,5,0.714285715,2.857142857,1.428571429,0
80,0.029773338,5,4.583333333,5,1,2,2,0
81,0.008781077,2.1875,1.666666667,3.75,0,0,1.25,3.75
