site,BF250m,Alpine grassland,Alpine grassland (20-50% trees/rocks),Artificial area (ha)s,Coniferous forest,Crop field,Deciduous forest,Green urban area (ha)s,Hedges/Shrubs,Inand water,Meadow,Meadow with trees/bushes ,Mixed forest ,Orchard,Pasture,Pasture with trees/bushes,Riparian forest,Road/tracks/rail,Rock,Scree,Vineyard,Wetland
173_OAC,area (ha),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,12.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
174_OAC,area (ha),0.0,0.0,1.1,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,14.9,0.0,0.0,0.4,1.8,0.0,0.0,0.0,0.0
175_OAC,area (ha),0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
177_OAC,area (ha),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,0.0,0.0,0.0,14.9,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0
179_OAC,area (ha),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0
180_OAC,area (ha),0.2,0.0,2.5,0.0,0.0,1.3,0.4,0.1,0.3,0.5,0.0,2.0,5.3,0.0,0.0,0.0,2.1,0.0,0.0,5.1,0.0
182_OAO,area (ha),0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,6.8,0.0,0.0,10.8,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0
183_OAO,area (ha),0.0,0.0,3.3,0.0,0.1,0.0,0.3,0.1,0.0,0.2,0.0,0.0,14.2,0.1,0.0,0.0,1.3,0.0,0.0,0.0,0.0
184_OAO,area (ha),0.0,0.0,0.1,0.0,0.0,4.5,0.0,0.0,0.5,0.0,0.0,0.8,12.1,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0
185_OAO,area (ha),0.1,0.1,3.6,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.6,10.0,0.0,0.0,0.0,1.6,0.0,0.0,3.3,0.0
186_OAO,area (ha),0.1,0.0,3.2,0.0,0.1,0.0,0.1,0.0,3.1,0.8,0.0,1.8,8.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.9
188_OAO,area (ha),0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0
337_OAX_O,area (ha),0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,17.4,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
338_OAX_C,area (ha),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
173_OAC,percentage,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,62.9,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0
174_OAC,percentage,0.0,0.0,5.8,0.0,0.0,0.0,1.3,0.1,5.2,0.0,0.0,0.0,76.1,0.0,0.0,2.2,9.2,0.0,0.0,0.0,0.0
175_OAC,percentage,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
177_OAC,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.1,0.0,0.0,0.0,75.9,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
179_OAC,percentage,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0
180_OAC,percentage,0.8,0.0,12.8,0.0,0.0,6.8,1.8,0.4,1.3,2.4,0.0,10.4,26.8,0.0,0.0,0.0,10.6,0.0,0.0,25.8,0.0
182_OAO,percentage,0.9,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,34.4,0.0,0.0,55.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0
183_OAO,percentage,0.0,0.0,17.0,0.0,0.4,0.0,1.3,0.6,0.0,0.9,0.0,0.0,72.6,0.5,0.0,0.0,6.8,0.0,0.0,0.0,0.0
184_OAO,percentage,0.0,0.0,0.7,0.0,0.0,22.7,0.2,0.0,2.4,0.0,0.0,4.0,61.5,0.0,0.0,0.0,5.1,0.0,0.0,3.3,0.0
185_OAO,percentage,0.4,0.6,18.3,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0,3.2,51.2,0.0,0.0,0.0,8.2,0.0,0.0,16.9,0.0
186_OAO,percentage,0.4,0.0,16.4,0.0,0.5,0.0,0.3,0.0,15.7,4.0,0.0,9.2,40.7,0.0,0.0,0.0,8.2,0.0,0.0,0.0,4.5
188_OAO,percentage,0.0,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0
337_OAX_O,percentage,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.1,88.6,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0
338_OAX_C,percentage,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
