"site","Nspecies_plants","Nspecies_birds","Nspecies_bats","Nspecies_grasshoppers","Nspecies_butterflies","multidiversity"
"173_OAC",16,6,10,1,7,1.91
"174_OAC",24,16,10,0,5,2.84
"175_OAC",22,6,7,0,2,0.7
"177_OAC",28,10,11,0,2,2.25
"179_OAC",24,8,7,0,2,1.01
"180_OAC",28,10,11,4,1,3.11
"182_OAO",25,16,8,2,4,2.86
"183_OAO",27,16,7,0,3,2.13
"184_OAO",18,12,8,1,8,2.37
"185_OAO",21,12,10,2,5,2.77
"186_OAO",26,15,9,0,4,2.52
"188_OAO",33,16,6,1,2,2.39
"337_OAX_O",24,11,9,1,5,2.32
"338_OAX_C",24,9,7,1,2,1.36
