"site","tree","treatment","N Flowers","N Fruit"
"188_OAO",1,"net",17,0
"188_OAO",1,"control",21,6
"188_OAO",2,"net",22,0
"188_OAO",2,"control",12,3
"188_OAO",3,"net",15,0
"188_OAO",3,"control",17,3
"180_OAC",1,"net",21,0
"180_OAC",1,"control",23,4
"180_OAC",2,"net",15,2
"180_OAC",2,"control",14,1
"180_OAC",3,"net",13,2
"180_OAC",3,"control",13,4
"179_OAC",1,"net",22,10
"179_OAC",1,"control",17,16
"179_OAC",2,"net",18,18
"179_OAC",2,"control",17,17
"179_OAC",3,"net",15,11
"179_OAC",3,"control",19,19
"177_OAC",1,"net",22,6
"177_OAC",1,"control",18,13
"177_OAC",2,"net",13,6
"177_OAC",2,"control",19,11
"177_OAC",3,"net",16,4
"177_OAC",3,"control",16,11
"183_OAO",1,"net",21,0
"183_OAO",1,"control",17,1
"183_OAO",2,"net",21,3
"183_OAO",2,"control",18,2
"183_OAO",3,"net",17,0
"183_OAO",3,"control",17,0
"185_OAO",1,"net",19,7
"185_OAO",1,"control",16,10
"185_OAO",2,"net",17,1
"185_OAO",2,"control",16,9
"185_OAO",3,"net",15,1
"185_OAO",3,"control",16,5
"175_OAC",1,"net",20,17
"175_OAC",1,"control",20,17
"175_OAC",2,"net",20,12
"175_OAC",2,"control",19,15
"175_OAC",3,"net",15,10
"175_OAC",3,"control",13,9
"174_OAC",1,"net",21,14
"174_OAC",1,"control",17,14
"174_OAC",2,"net",21,4
"174_OAC",2,"control",18,10
"174_OAC",3,"net",17,9
"174_OAC",3,"control",17,12
"184_OAO",1,"net",18,8
"184_OAO",1,"control",15,6
"184_OAO",2,"net",14,0
"184_OAO",2,"control",13,2
"184_OAO",3,"net",20,2
"184_OAO",3,"control",17,6
"173_OAC",1,"net",12,1
"173_OAC",1,"control",16,8
"173_OAC",2,"net",20,6
"173_OAC",2,"control",14,11
"173_OAC",3,"net",16,1
"173_OAC",3,"control",15,11
"338_OAX_C",1,"net",18,16
"338_OAX_C",1,"control",18,18
"338_OAX_C",2,"net",19,8
"338_OAX_C",2,"control",14,8
"338_OAX_C",3,"net",16,10
"338_OAX_C",3,"control",18,14
"337_OAX_O",1,"net",21,9
"337_OAX_O",1,"control",20,16
"337_OAX_O",2,"net",14,0
"337_OAX_O",2,"control",15,4
"337_OAX_O",3,"net",22,1
"337_OAX_O",3,"control",15,9
"182_OAO",1,"net",19,0
"182_OAO",1,"control",16,10
"182_OAO",2,"net",12,1
"182_OAO",2,"control",13,7
"182_OAO",3,"net",17,4
"182_OAO",3,"control",15,10
"186_OAO",1,"net",9,1
"186_OAO",1,"control",17,3
"186_OAO",2,"net",14,0
"186_OAO",2,"control",12,0
"186_OAO",3,"net",13,0
"186_OAO",3,"control",11,4
