"site","tree","Fruit.set","repr_success","management","heterog100","heterog250","heterog500","heterog1000","heterog2000","multidiversity","Nflower","Napis","Nbees","Nfly","Nsyrp","Nbumb","Nbutt","Nbeet","Rapis","NpollW","RpollW","Ntot","Rtot","NbeeWild","RbeeWild","seminat100","forest100","grass100","orchard100","crop100","artificial100","openSNH100","closeSNH100","seminat250","forest250","grass250","orchard250","crop250","artificial250","openSNH250","closeSNH250","seminat500","forest500","grass500","orchard500","crop500","artificial500","openSNH500","closeSNH500","seminat1000","forest1000","grass1000","orchard1000","crop1000","artificial1000","openSNH1000","closeSNH1000","seminat2000","forest2000","grass2000","orchard2000","crop2000","artificial2000","openSNH2000","closeSNH2000"
"173_OAC",2,0.79,0.799756915618204,"IPM",0.7562259342145,0.776306126269332,1.00031852689579,1.48712744018845,1.516018252965,1.91,297,39.875,6,0,0,1,0,0,168.625,7,29.875,46.875,198.5,7,29.875,23.3,23.3,0,69.3,69.3,7.4,0,23.3,33.3,33.3,0,62.9,62.9,3.8,0,33.3,35.9,35.4,0.1,56.2,56.2,3.5,0.1,35.7,35.6,34.9,0.4,49.1,49.2,12.4,0.4,35.3,46.9,46,0.6,39.4,39.5,11.5,0.6,46.2
"173_OAC",3,0.73,1.64625188555682,"IPM",0.7562259342145,0.776306126269332,1.00031852689579,1.48712744018845,1.516018252965,1.91,297,39.875,6,0,0,1,0,0,168.625,7,29.875,46.875,198.5,7,29.875,23.3,23.3,0,69.3,69.3,7.4,0,23.3,33.3,33.3,0,62.9,62.9,3.8,0,33.3,35.9,35.4,0.1,56.2,56.2,3.5,0.1,35.7,35.6,34.9,0.4,49.1,49.2,12.4,0.4,35.3,46.9,46,0.6,39.4,39.5,11.5,0.6,46.2
"173_OAC",1,0.5,1.20397280432594,"IPM",0.7562259342145,0.776306126269332,1.00031852689579,1.48712744018845,1.516018252965,1.91,297,39.875,6,0,0,1,0,0,168.625,7,29.875,46.875,198.5,7,29.875,23.3,23.3,0,69.3,69.3,7.4,0,23.3,33.3,33.3,0,62.9,62.9,3.8,0,33.3,35.9,35.4,0.1,56.2,56.2,3.5,0.1,35.7,35.6,34.9,0.4,49.1,49.2,12.4,0.4,35.3,46.9,46,0.6,39.4,39.5,11.5,0.6,46.2
"174_OAC",1,0.82,0.177983155195356,"IPM",0.550353616882477,0.883982099747281,1.42161697168553,1.52653809081156,1.8779015636232,2.84,447,48.25,2,0,0,1.875,0,0,133.875,3.875,10.125,52.125,144,3.875,10.125,0,0,0,83.9,83.9,16,0,0,2.4,2.2,0,76.1,76.1,15,0,2.3,14,7.1,6.9,62.8,65.1,16.8,6.9,7.1,26.2,10,15.9,58.6,60.5,11.2,16,10.2,46.1,36.1,9.8,41.6,42.8,9.5,9.7,36.3
"174_OAC",2,0.56,0.822358912039951,"IPM",0.550353616882477,0.883982099747281,1.42161697168553,1.52653809081156,1.8779015636232,2.84,447,48.25,2,0,0,1.875,0,0,133.875,3.875,10.125,52.125,144,3.875,10.125,0,0,0,83.9,83.9,16,0,0,2.4,2.2,0,76.1,76.1,15,0,2.3,14,7.1,6.9,62.8,65.1,16.8,6.9,7.1,26.2,10,15.9,58.6,60.5,11.2,16,10.2,46.1,36.1,9.8,41.6,42.8,9.5,9.7,36.3
"174_OAC",3,0.71,0.251314428280906,"IPM",0.550353616882477,0.883982099747281,1.42161697168553,1.52653809081156,1.8779015636232,2.84,447,48.25,2,0,0,1.875,0,0,133.875,3.875,10.125,52.125,144,3.875,10.125,0,0,0,83.9,83.9,16,0,0,2.4,2.2,0,76.1,76.1,15,0,2.3,14,7.1,6.9,62.8,65.1,16.8,6.9,7.1,26.2,10,15.9,58.6,60.5,11.2,16,10.2,46.1,36.1,9.8,41.6,42.8,9.5,9.7,36.3
"175_OAC",1,0.85,0,"IPM",0.233791658706459,0.352343550395016,0.460296686958968,0.848477377303987,1.47433415885376,0.7,240.25,32,0,0,0,0,0,0,166,0,0,32,166,0,0,0,0,0,94.1,94.1,5.9,0,0,0,0,0,91.5,91.5,8.5,0,0,0.2,0,0.1,89.1,90.1,9.6,0.1,0.1,0.9,0.1,0.7,78.1,82.4,14.8,0.8,0.2,10.4,8.5,1.5,54.9,59.5,26.9,1.5,9
"175_OAC",2,0.79,0.240141127682781,"IPM",0.233791658706459,0.352343550395016,0.460296686958968,0.848477377303987,1.47433415885376,0.7,240.25,32,0,0,0,0,0,0,166,0,0,32,166,0,0,0,0,0,94.1,94.1,5.9,0,0,0,0,0,91.5,91.5,8.5,0,0,0.2,0,0.1,89.1,90.1,9.6,0.1,0.1,0.9,0.1,0.7,78.1,82.4,14.8,0.8,0.2,10.4,8.5,1.5,54.9,59.5,26.9,1.5,9
"175_OAC",3,0.69,0.0256424306133374,"IPM",0.233791658706459,0.352343550395016,0.460296686958968,0.848477377303987,1.47433415885376,0.7,240.25,32,0,0,0,0,0,0,166,0,0,32,166,0,0,0,0,0,94.1,94.1,5.9,0,0,0,0,0,91.5,91.5,8.5,0,0,0.2,0,0.1,89.1,90.1,9.6,0.1,0.1,0.9,0.1,0.7,78.1,82.4,14.8,0.8,0.2,10.4,8.5,1.5,54.9,59.5,26.9,1.5,9
"177_OAC",2,0.58,0.194156014440957,"IPM",0.142505867392738,0.76545041449426,0.662380369967422,0.745574458905504,1.32965480207302,2.25,992.75,43.5,0,0.125,0,0,0,0,52.375,0.125,0.125,43.625,52.5,0,0,0,0,0,95.5,95.5,4.5,0,0,2,0,0,75.9,75.9,14,0,2,1.3,0,0.1,81.8,82.2,11,0.1,1.2,1,0,0.2,80.9,81.4,13.8,0.2,0.9,23.2,21.3,1.3,62.5,63.5,11.1,1.4,21.8
"177_OAC",1,0.72,0.795801334620029,"IPM",0.142505867392738,0.76545041449426,0.662380369967422,0.745574458905504,1.32965480207302,2.25,992.75,43.5,0,0.125,0,0,0,0,52.375,0.125,0.125,43.625,52.5,0,0,0,0,0,95.5,95.5,4.5,0,0,2,0,0,75.9,75.9,14,0,2,1.3,0,0.1,81.8,82.2,11,0.1,1.2,1,0,0.2,80.9,81.4,13.8,0.2,0.9,23.2,21.3,1.3,62.5,63.5,11.1,1.4,21.8
"177_OAC",3,0.69,0.814099790977608,"IPM",0.142505867392738,0.76545041449426,0.662380369967422,0.745574458905504,1.32965480207302,2.25,992.75,43.5,0,0.125,0,0,0,0,52.375,0.125,0.125,43.625,52.5,0,0,0,0,0,95.5,95.5,4.5,0,0,2,0,0,75.9,75.9,14,0,2,1.3,0,0.1,81.8,82.2,11,0.1,1.2,1,0,0.2,80.9,81.4,13.8,0.2,0.9,23.2,21.3,1.3,62.5,63.5,11.1,1.4,21.8
"179_OAC",3,1,0.281639757995819,"IPM",0.317936780262242,0.216162232494435,0.379675456721574,0.806471692718689,1.30693073460556,1.01,436,53.75,0,0,0,0.375,0,0,149.875,0.375,1,54.125,150.75,0.375,1,0,0,0,90.3,90.3,9.7,0,0,0,0,0,94.1,94.1,5.9,0,0,0.5,0,0.5,89.8,89.9,9.6,0.5,0,0.9,0,0.5,75.7,75.8,22,0.5,0.4,5.1,3.6,0.4,62.7,73.4,18.7,0.4,4.8
"179_OAC",1,0.94,0.637057713908902,"IPM",0.317936780262242,0.216162232494435,0.379675456721574,0.806471692718689,1.30693073460556,1.01,436,53.75,0,0,0,0.375,0,0,149.875,0.375,1,54.125,150.75,0.375,1,0,0,0,90.3,90.3,9.7,0,0,0,0,0,94.1,94.1,5.9,0,0,0.5,0,0.5,89.8,89.9,9.6,0.5,0,0.9,0,0.5,75.7,75.8,22,0.5,0.4,5.1,3.6,0.4,62.7,73.4,18.7,0.4,4.8
