"parentId","fact","value","factLabel","valueLabel","hab","year","month","NNN","EEE","kausi","year2","route","feeders","f1","f2","fhab","loglengthkm","fkausi","year2st","NNNst","EEEst","fyear"
"JX.100288","routeLengthBiotopeB",1800,"Route length urban","1800","B",1987,1,678,331,2,1987,"MNP.291",7,5,2,"B",0.587786664902119,"2",-18.9746548743517,-8.83958030783458,-5.56758440827525,"1987"
"JX.100292","routeLengthBiotopeB",1800,"Route length urban","1800","B",1990,1,678,331,2,1990,"MNP.291",7,5,2,"B",0.587786664902119,"2",-15.9746548743517,-8.83958030783458,-5.56758440827525,"1990"
"JX.100304","routeLengthBiotopeB",1800,"Route length urban","1800","B",1997,1,678,331,2,1997,"MNP.291",3,3,0,"B",0.587786664902119,"2",-8.9746548743517,-8.83958030783458,-5.56758440827525,"1997"
"JX.100313","routeLengthBiotopeB",1800,"Route length urban","1800","B",2001,1,678,331,2,2001,"MNP.291",4,4,0,"B",0.587786664902119,"2",-4.9746548743517,-8.83958030783458,-5.56758440827525,"2001"
"JX.100315","routeLengthBiotopeB",1800,"Route length urban","1800","B",2002,12,678,331,2,2003,"MNP.291",4,4,0,"B",0.587786664902119,"2",-2.9746548743517,-8.83958030783458,-5.56758440827525,"2002"
"JX.100672","routeLengthBiotopeB",3900,"Route length urban","3900","B",1987,1,677,339,2,1987,"MNP.296",20,20,0,"B",1.3609765531356,"2",-18.9746548743517,-9.83958030783458,2.43241559172475,"1987"
"JX.100675","routeLengthBiotopeB",3900,"Route length urban","3900","B",1987,12,677,339,2,1988,"MNP.296",20,20,0,"B",1.3609765531356,"2",-17.9746548743517,-9.83958030783458,2.43241559172475,"1987"
"JX.100678","routeLengthBiotopeB",3900,"Route length urban","3900","B",1988,12,677,339,2,1989,"MNP.296",20,20,0,"B",1.3609765531356,"2",-16.9746548743517,-9.83958030783458,2.43241559172475,"1988"
"JX.100681","routeLengthBiotopeB",3900,"Route length urban","3900","B",1990,1,677,339,2,1990,"MNP.296",13,12,1,"B",1.3609765531356,"2",-15.9746548743517,-9.83958030783458,2.43241559172475,"1990"
"JX.100684","routeLengthBiotopeB",3900,"Route length urban","3900","B",1991,1,677,339,2,1991,"MNP.296",16,15,1,"B",1.3609765531356,"2",-14.9746548743517,-9.83958030783458,2.43241559172475,"1991"
"JX.100687","routeLengthBiotopeB",4800,"Route length urban","4800","B",1991,12,677,339,2,1992,"MNP.296",15,15,0,"B",1.56861591791385,"2",-13.9746548743517,-9.83958030783458,2.43241559172475,"1991"
"JX.100690","routeLengthBiotopeB",4800,"Route length urban","4800","B",1992,12,677,339,2,1993,"MNP.296",20,20,0,"B",1.56861591791385,"2",-12.9746548743517,-9.83958030783458,2.43241559172475,"1992"
"JX.100693","routeLengthBiotopeB",4800,"Route length urban","4800","B",1994,1,677,339,2,1994,"MNP.296",20,20,0,"B",1.56861591791385,"2",-11.9746548743517,-9.83958030783458,2.43241559172475,"1994"
"JX.100696","routeLengthBiotopeB",4800,"Route length urban","4800","B",1995,1,677,339,2,1995,"MNP.296",20,20,0,"B",1.56861591791385,"2",-10.9746548743517,-9.83958030783458,2.43241559172475,"1995"
"JX.100699","routeLengthBiotopeB",5000,"Route length urban","5000","B",1996,1,677,339,2,1996,"MNP.296",23,23,0,"B",1.6094379124341,"2",-9.9746548743517,-9.83958030783458,2.43241559172475,"1996"
"JX.100702","routeLengthBiotopeB",4800,"Route length urban","4800","B",1996,12,677,339,2,1997,"MNP.296",22,20,2,"B",1.56861591791385,"2",-8.9746548743517,-9.83958030783458,2.43241559172475,"1996"
"JX.100705","routeLengthBiotopeB",4800,"Route length urban","4800","B",1997,12,677,339,2,1998,"MNP.296",0,0,0,NA,1.56861591791385,"2",-7.9746548743517,-9.83958030783458,2.43241559172475,"1997"
"JX.100708","routeLengthBiotopeB",4800,"Route length urban","4800","B",1998,12,677,339,2,1999,"MNP.296",22,20,2,"B",1.56861591791385,"2",-6.9746548743517,-9.83958030783458,2.43241559172475,"1998"
"JX.100711","routeLengthBiotopeB",4800,"Route length urban","4800","B",2000,1,677,339,2,2000,"MNP.296",18,18,0,"B",1.56861591791385,"2",-5.9746548743517,-9.83958030783458,2.43241559172475,"2000"
"JX.100714","routeLengthBiotopeB",4800,"Route length urban","4800","B",2000,12,677,339,2,2001,"MNP.296",20,20,0,"B",1.56861591791385,"2",-4.9746548743517,-9.83958030783458,2.43241559172475,"2000"
"JX.100717","routeLengthBiotopeB",4800,"Route length urban","4800","B",2002,1,677,339,2,2002,"MNP.296",22,22,0,"B",1.56861591791385,"2",-3.9746548743517,-9.83958030783458,2.43241559172475,"2002"
"JX.100720","routeLengthBiotopeB",4800,"Route length urban","4800","B",2003,1,677,339,2,2003,"MNP.296",0,0,0,NA,1.56861591791385,"2",-2.9746548743517,-9.83958030783458,2.43241559172475,"2003"
"JX.100723","routeLengthBiotopeB",4800,"Route length urban","4800","B",2004,1,677,339,2,2004,"MNP.296",0,0,0,NA,1.56861591791385,"2",-1.9746548743517,-9.83958030783458,2.43241559172475,"2004"
"JX.100726","routeLengthBiotopeB",5000,"Route length urban","5000","B",2005,1,677,339,2,2005,"MNP.296",0,0,0,NA,1.6094379124341,"2",-0.9746548743517,-9.83958030783458,2.43241559172475,"2005"
"JX.100729","routeLengthBiotopeB",5800,"Route length urban","5800","B",2005,12,677,339,2,2006,"MNP.296",21,20,1,"B",1.75785791755237,"2",0.0253451256483004,-9.83958030783458,2.43241559172475,"2005"
"JX.100732","routeLengthBiotopeB",5800,"Route length urban","5800","B",2006,12,677,339,2,2007,"MNP.296",21,20,1,"B",1.75785791755237,"2",1.0253451256483,-9.83958030783458,2.43241559172475,"2006"
"JX.100735","routeLengthBiotopeB",5800,"Route length urban","5800","B",2008,1,677,339,2,2008,"MNP.296",21,20,1,"B",1.75785791755237,"2",2.0253451256483,-9.83958030783458,2.43241559172475,"2008"
"JX.100738","routeLengthBiotopeB",5900,"Route length urban","5900","B",2009,1,677,339,2,2009,"MNP.296",21,20,1,"B",1.77495235091167,"2",3.0253451256483,-9.83958030783458,2.43241559172475,"2009"
"JX.100920","routeLengthBiotopeB",4300,"Route length urban","4300","B",2009,1,676,341,2,2009,"MNP.298",11,11,0,"B",1.45861502269952,"2",3.0253451256483,-10.8395803078346,4.43241559172475,"2009"
"JX.101069","routeLengthBiotopeB",9500,"Route length urban","9500","B",1986,12,676,343,2,1987,"MNP.300",0,0,0,NA,2.2512917986065,"2",-18.9746548743517,-10.8395803078346,6.43241559172475,"1986"
"JX.101070","routeLengthBiotopeB",9500,"Route length urban","9500","B",1987,12,676,343,2,1988,"MNP.300",10,10,0,"B",2.2512917986065,"2",-17.9746548743517,-10.8395803078346,6.43241559172475,"1987"
"JX.101071","routeLengthBiotopeB",9500,"Route length urban","9500","B",1988,12,676,343,2,1989,"MNP.300",0,0,0,NA,2.2512917986065,"2",-16.9746548743517,-10.8395803078346,6.43241559172475,"1988"
"JX.101072","routeLengthBiotopeB",9500,"Route length urban","9500","B",1989,12,676,343,2,1990,"MNP.300",5,5,0,"B",2.2512917986065,"2",-15.9746548743517,-10.8395803078346,6.43241559172475,"1989"
"JX.101073","routeLengthBiotopeB",9500,"Route length urban","9500","B",1990,12,676,343,2,1991,"MNP.300",12,10,2,"B",2.2512917986065,"2",-14.9746548743517,-10.8395803078346,6.43241559172475,"1990"
"JX.101074","routeLengthBiotopeB",9500,"Route length urban","9500","B",1991,12,676,343,2,1992,"MNP.300",10,10,0,"B",2.2512917986065,"2",-13.9746548743517,-10.8395803078346,6.43241559172475,"1991"
"JX.101075","routeLengthBiotopeB",9500,"Route length urban","9500","B",1992,12,676,343,2,1993,"MNP.300",10,10,0,"B",2.2512917986065,"2",-12.9746548743517,-10.8395803078346,6.43241559172475,"1992"
"JX.101076","routeLengthBiotopeB",9500,"Route length urban","9500","B",1993,12,676,343,2,1994,"MNP.300",15,15,0,"B",2.2512917986065,"2",-11.9746548743517,-10.8395803078346,6.43241559172475,"1993"
"JX.101077","routeLengthBiotopeB",9500,"Route length urban","9500","B",1994,12,676,343,2,1995,"MNP.300",15,15,0,"B",2.2512917986065,"2",-10.9746548743517,-10.8395803078346,6.43241559172475,"1994"
"JX.101078","routeLengthBiotopeB",11500,"Route length urban","11500","B",1995,12,676,343,2,1996,"MNP.300",20,20,0,"B",2.4423470353692,"2",-9.9746548743517,-10.8395803078346,6.43241559172475,"1995"
"JX.101079","routeLengthBiotopeB",11500,"Route length urban","11500","B",1996,12,676,343,2,1997,"MNP.300",20,20,0,"B",2.4423470353692,"2",-8.9746548743517,-10.8395803078346,6.43241559172475,"1996"
