plot #,irrigation type,irrigation type 2,soil,jute,jute 2,Inoc,Bare_1,Rock_1,Lichen_1,Moss_1,%Bare_1,% cyano_1,%lichen,%moss,%LS_1,%TotalBiocrust_1,Bare_2,Rock_2,Cyano_2,Lichen_2,Bare fabric_2,Moss_2,%Bare_1 2,% cyano_1 2,%lichen 2,%moss 2,%LS_1 2,%TotalBiocrust_1 2,Biocrustpower2,Column 44 1,Column 44 2,Column 44 3,Column 44 4,Plant_2,% plant,Average of LBug_g,Average of TBug_g,Average of Gug_g,tot chl a (665+750),Row Labels,Average of LBmg_L,Average of TBmg_L,Average of LBug,Average of LBug_g 2,Average of TBug_g 2,Average of Gug,Average of Gug_g 2,Average of Gmg_L,Average of TBug,USEtotal plant (including dead),ArcSinHsqrtTotalplant,USEtotal native plant,ArcSinHsqrtNativePlantCov,Square Root[tot...l native plant],total exotic plant,Dead exotic plant,Dead exotic plant 2,USESum[DeadandLive exotic plant],ArcSinHsqrtTotalNNcov,Residual total exotic plant,Square Root[Res...l exotic plant],Residual %TotalBiocrust_1 2,Pearson Residual
1,Hoop,Hoop,native,no,no jute,C,20,5,,,80,0,0,0,0,0,20,5,0,0,0,0,80,0,0,0,0,0,0,,,,,0,0,,,,12.48,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,
2,Hoop,Hoop,sand,no,no jute,B,22,2,1,0.5,88,0,4,2,6,6,14,8,0.5,3,0,0.5,56,2,12,2,14,16,256,,,,,0,38,,,,18.55,,,,,,,,,,,38,0.5828720595,12,0.3398313641,3.4641016151,26,0,0,26,0.4900508145,14.8,3.8470768123,-18.8,-1111.2
3,Hoop,Hoop,native,J,jute,B,18,5,2,0.5,72,0,8,2,10,10,9,7,1,3,0,0.5,36,4,12,2,14,18,324,,,,,0,80,,,,51.54,,,,,,,,,,,80,0.8047189562,18,0.4124686048,4.2426406871,62,0,0,62,0.7227996646,47.05,6.8593002559,-40.6,-3669.2
4,Hoop,Hoop,native,J,jute,B,16,6,1,2,64,0,4,8,12,12,11,5,6,3,0,0.5,44,24,12,2,14,38,1444,,,,,0,64.5,158.4123166,257.7329457,306.9671899,37.01,4,6.304549,20.33978333,32.62281,158.4123166,257.7329457,63.54645,306.9671899,10.9336,53.317,64.5,0.7351018713,30.5,0.5274667982,5.5226805086,34,0,0,34,0.5542751979,19.05,4.3646305686,-20.6,-2549.2
5,Hoop,Hoop,sand,J,jute,B,17,6,2,0.5,68,0,8,2,10,10,10,4,9,2,0,0.5,40,36,8,2,10,46,2116,,,,,0,30.5,,,,37.70,,,,,,,,,,,30.5,0.5274667982,5.5,0.2324225418,2.3452078799,25,,0,25,0.4812118251,13.25,3.6400549446,-3,-571.6
6,Hoop,Hoop,native,J,jute,C,17,8,,,68,0,0,0,0,0,12,6,1,0,0,0,48,4,0,0,0,4,16,,,,,6,25,,,,7.23,,,,,,,,,,,25,0.4812118251,0,0,0,25,,0,25,0.4812118251,,,,
7,Hoop,Hoop,sand,J,jute,B,19,3,3,0.5,76,0,12,2,14,14,12,2,7,3,0,0.5,48,28,12,2,14,42,1764,,,,,1,19,,,,26.86,,,,,,,,,,,19,0.4231485673,9,0.2956730476,3,10,,0,10,0.3111812519,-1.75,,-7,-923.6
8,Hoop,Hoop,sand,no,no jute,B,20,2,3,,80,0,12,0,12,12,13,3,7,1,1,0.5,52,28,4,2,6,34,1156,,,,,0,23.5,,,,15.51,,,,,,,,,,,23.5,0.4675465658,11.5,0.3329317646,3.3911649916,12,,0,12,0.3398313641,0.8,0.894427191,-0.8,-211.2
9,Hoop,Hoop,sand,no,no jute,B,19,4,2,0.5,76,0,8,2,10,10,12,2,5,1,4,1,48,20,4,4,8,28,784,,,,,0,22.5,,,,22.76,,,,,,,,,,,22.5,0.4581453659,15.5,0.384179949,3.937003937,7,,0,7,0.2615817849,-4.2,,-6.8,-583.2
10,Hoop,Hoop,native,no,no jute,B,21,2,2,0.5,84,0,8,2,10,10,1,3,8,4,9,0.5,4,32,16,2,18,50,2500,,,,,0,39,,,,22.00,,,,,,,,,,,39,0.5897194692,22,0.4533518025,4.6904157598,17,,0,17,0.4014409856,0.5,0.7071067812,-19.2,-2440
