RecordID,Service.original,ESCODE,Biome,Access,Why.changed.access,Why.changed.access.code
1,Source of rainfall,ES.CLI,forest,Decreased,Little and irregular rains,Climate Change
2,Source of building material,ES.MAT,forest,Decreased,decreased availability of building materials,Decreased Resource Availability
3,Source of firewood and charcoal,ES.NRG,forest,Decreased,management of natural forests has been left aside,Deforestation and Forest Degradation;Weak Governance
4,Water ,ES.WQN,forest,Decreased,Increased human population; climate change; increased human activities and environmental degradation,Population Increase;Climate Change;Human Activities (General);Environmental Degradation (General)
5,Honey,ES.FOD,forest,Decreased,Increased human activities,Human Activities (General)
6,Water ,ES.WQN,freshwater,Increased,improved conservation education; improved relationship between communities and KINAPA officials,Improved Education and Awareness;Improved Community-Gov Relations
7,Water ,ES.WQN,freshwater,Decreased,A large population still have low environmental conservation knowledge thus causing the areas to become deserts,Desertification;Insufficient Education and Awareness
8,Traditional medicine,ES.MED,forest,Decreased,Improved modern facilities; formal education; improved health specialits; new health complications,Improved Education and Awareness;Improved Health Facilities
9,Traditional medicine,ES.MED,forest,Increased,Increased utilization; Distributors have improved search; industrial production,Increased Market
10,Source of water,ES.WQN,NA,Decreased,Increased demand because of increased uses,Increased Resource Competition
11,Source of water,ES.WQN,freshwater,Decreased,poor infrustructure; poor policies and regulations implementation,Poor infrastructure;Weak Governance
12,Source of water,ES.WQN,forest,Decreased,Decreased rainfall; increased water demand both for domestic and agricultural use,Climate Change;Increased Resource Competition
13,Fodder,ES.FOD,grassland,Increased,Land shared between brothers and sisters and animals are increasing,Cooperation and Solidarity
14,Seed bank,ES.MED,forest,Decreased,Most areas are now protected and access allowed,Protection and Regulation
15,Source of water,ES.WQN,forest,Decreased,population growth has resulted in more people sharing this resource,Population Increase
16,Source of Water,ES.WQN,forest,Increased,Improved infrustracture,Improved Infrastructure
17,Source of water,ES.WQN,forest,Decreased,Increased number of people in demand for water,Increased Resource Competition
18,Source of water,ES.WQN,NA,Decreased,Increased demand because of increased uses,Increased Resource Competition;Population Increase
19,Balance of nature,ES.HAB,NA,Decreased,Human activities,Human Activities (General)
20,Timber,ES.MAT,forest,No answer,No answer,NA
