RecordID;Group;Participant;Service.original;Specific.Service.harmonized;ESCODE;Ecosystem.service;Ecosystem.service.type;Habitats;Biome;Importance;Why.important;HWB;Keyword.why.important;Provision;Why.changed.provision;Keyword.why.changed.provision;Access;Why.changed.access;Keyword.why.changed.access;Provision.will;Access.will;Measures.needed;Action.by.whom.provision;Keyword.Action.provision;Action.by.whom.access;Keyword.action.access;Comments;HWB.MAT;HWB.SEC;HWB.PHY;HWB.SOC;BIO.AGR;BIO.AGF;BIO.ALP;BIO.WAT;BIO.FOR;BIO.GRS
1;Blue;2;Source of rainfall;Rain;ES.CLI;Regulation of climate;Regulating;Natural forest (highland);forest;High;"helps in crop production; tree growth and vegetation improvement";material;"crop production; tree growth; vegetation";decreased;haphazardly cutting of trees;deforestation;Decreased;Little and irregular rains;"climate change; erratic rainfall";Decrease;Deteriorate;Yes;"Afforestation; education on climate change by government, NGOs and CBO";"reforestation; climate change education";NA;NA;NA;1;0;0;0;0;0;0;0;1;0
2;Blue;2;Source of building material;Building materials;ES.MAT;Materials and assistance;Provisioning;Natural forest (highland);forest;High;livelihoods depend on building materials for housing construction;security;"construction materials; livelihood";decreased;haphazardly cutting of trees;deforestation;Decreased;decreased availability of building materials;building material scarcity;Decrease;Deteriorate;Yes;"Afforestation; education on tree planting, forestry and management by government, NGOs and CBO";"reforestation; forest management education";NA;NA;NA;0;1;0;0;0;0;0;0;1;0
3;Blue;2;Source of firewood and charcoal;Fuelwood;ES.NRG;Energy;Provisioning;Natural forest (highland);forest;High;helps in cooking;physical;cooking fuel;decreased;decreased availability;decreased availability;Decreased;management of natural forests has been left aside;lack of forest management;Decrease;Deteriorate;Yes;afforestation, education provision on trees planting and forest management;"reforestation; forest management education";NA;NA;NA;0;0;1;0;0;0;0;0;1;0
4;Blue;28;Water ;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Catchment areas;forest;High;"domestic water use; irrigation agriculture; livestock drinking water";material;"domestic water use; irrigation; livestock";decreased;"climate change; environmental degradation; wildfires; increased  human population";"climate change; environmental degradation; wildfires; population growth";Decreased;"Increased human population; climate change; increased human activities and environmental degradation";"population growth; climate change; environmental degradation; human activities";Decrease;Deteriorate;Yes;"Improved forest protection; controlled forest harvesting; reduced human activities; education to the society; conservation of catchment areas";"forest - protection; tree harvesting - regulate / control; human activities - control; education; catchment areas - conserve";"improve environmental conservation; catchment areas conservation; reduce human activities";"conservation - environment; conservation - catchment area; human activities - reduce";NA;1;0;0;0;0;0;0;0;1;0
5;Blue;32;Honey;Honey;ES.FOD;Food and feed;Provisioning;Upland areas;forest;High;"medicinal; food";physical;"health; food";decreased;"Burning of the bees habitats; deforestation; decreased flowers";"deforestation; habitat destruction";Decreased;Increased human activities;human activities;Increase;Deteriorate;Yes;"Education; seminars to various stakeholders in the community";education;NA;NA;Improved efforts toward natural forest management and tree planting;0;0;1;0;0;0;0;0;1;0
6;Blue;40;Water ;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Natural water canals;freshwater;High;"irrigation; drinking water; medicinal plants depend on water";physical;"irrigation; domestic water use; medicinal plants";decreased;Improved conservation status of the natural forest area;forest condition improvement;Increased;"improved conservation education; improved relationship between communities and KINAPA officials";"improved conservation education; improved collaboration";Decrease;Deteriorate;Yes;Conservation education should be a continuous undertaking by the community conservation service department;conservation - provide education;"All citizens to take part in conservation efforts; the TANAPA employees need to be friendly to citizens";"conservation - voluntary; positive relations";NA;0;0;1;0;0;0;0;1;0;0
7;Blue;49;Water ;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Upland irrigation canals;freshwater;High;"lowland inhabitants depend on irrigation agriculture; without the canals, there would be food problems";security;"irrigation; food productivity";not changed;Tree cutting has caused decreased water flow downstream;deforestation;Decreased;A large population still have low environmental conservation knowledge thus causing the areas to become deserts;poor conservation education;Increase;Deteriorate;Yes;"Conservation education to allcommunities around open areas; government to collaborate with various stakeholders";conservation - provide education;Increased efforts in conserving the catchment areas;conservation - catchment area;NA;0;1;0;0;0;0;0;1;0;0
8;Blue;55;Traditional medicine;Medicine;ES.MED;Medicinal, biochemical and genetic resources;Provisioning;Natural forests;forest;High;"disease cure; improved immune; economic growth due to good health; family stability";physical;"health, wellbeing; economy";decreased;"deforestation; drought; overpopulation; increased demand for herbs";"deforestation; drought; population growth; overconsumption";Decreased;"Improved modern facilities; formal education; improved health specialits; new health complications";"improved formal education; modern health services; better health specialists";Decrease;Deteriorate;Yes;"Communities to be sensitized on tree planting,environmental conservation; formulation of bi-laws; Government to campaign on tree planting; law enforcement; prepare budget for consrvation";"reforestation - awareness raising; reforestation - campaigns by government; environment - awareness raising; laws and bi-laws - enforcement; conservation - provide budget";"community sensitization on importance of natural medicine; identification of traditional health attendants; documentation of types of traditional medicines";"awareness raising - community; documentation and preservation of natural medicines";Scientific reserch should be conducted on traditional medicines to establish their capacity;0;0;1;0;0;0;0;0;1;0
9;Blue;61;Traditional medicine;Medicine;ES.MED;Medicinal, biochemical and genetic resources;Provisioning;Upland zone;forest;Moderate;cure diseases more reliably;physical;health;increased;"Easy to find; many distributors available";"market demand; overharvesting";Increased;"Increased utilization; Distributors have improved search; industrial production";"overexploitation; industrial production";Decrease;Deteriorate;Yes;"Planting of medicinal plants around homestead; seek permits for fetching from protected areas";"medicinal plants - cultivate; gathering in PA - provide permits ";NA;NA;Need for environmental protection and regulated access to medicinal plants;0;0;1;0;0;0;0;0;1;0
10;Blue;66;Source of water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;NA;NA;High;"domestic use; irrigation agriculture; fish ponds";physical;"domestic water use; irrigation; aquaculture";increased;Climate change;climate change;Decreased;Increased demand because of increased uses;increased demand;Increase;Not change;Yes;"Need for collective efforts to protect all water sources; prevent tree cutting; prevent human activities; improve all law enforcement";"water sources - protect; deforestation - prevent; water sources - conserve; human activities - prevent; law - enforce";NA;NA;All inter-related sectors should work together;0;0;1;0;0;0;0;0;0;0
