#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio,Eff_Resist,CWDTORRatio,CF_Centrality
1.0,1.0,2.0,-1.0,-1.0,1.0,703.0,123821.882813,1.0,1.0,1395.0,176.133545964,88.7612063176,-1.0,-1.0,6349.44233
2.0,1.0,6.0,-1.0,-1.0,1.0,520.0,33635.0664063,1.0,1.0,564.0,64.6828200121,59.6366425644,-1.0,-1.0,3595.98457
3.0,1.0,11.0,-1.0,-1.0,1.0,672.0,33839.3320313,1.0,1.0,769.0,50.3561488561,44.0043329406,-1.0,-1.0,3573.043525
4.0,1.0,52.0,-1.0,-1.0,-15.0,1245.0,79473.9921875,0.0,1.0,2732.0,63.8345318775,29.0900410642,-1.0,-1.0,-1.0
5.0,2.0,3.0,-1.0,-1.0,1.0,225.0,18046.7734375,1.0,1.0,326.0,80.2078819444,55.3582007285,-1.0,-1.0,14442.0961
6.0,2.0,11.0,-1.0,-1.0,-15.0,1119.0,115492.914063,1.0,0.0,4946.0,103.210825794,23.3507711409,-1.0,-1.0,-1.0
7.0,2.0,52.0,-1.0,-1.0,1.0,1551.0,68457.125,0.0,1.0,2572.0,44.1374113475,26.6163005443,-1.0,-1.0,5416.87337
8.0,2.0,53.0,-1.0,-1.0,1.0,1692.0,128142.429688,1.0,0.0,2849.0,75.7342965059,44.9780377985,-1.0,-1.0,5837.433068
9.0,3.0,4.0,-1.0,-1.0,1.0,1440.0,106714.757813,1.0,0.0,1733.0,74.1074707035,61.578048363,-1.0,-1.0,16653.20001
10.0,3.0,10.0,-1.0,-1.0,1.0,1436.0,84228.171875,1.0,1.0,1743.0,58.6547157904,48.3236786431,-1.0,-1.0,10455.4553
11.0,3.0,52.0,-1.0,-1.0,1.0,1746.0,65540.5625,0.0,1.0,2285.0,37.5375501145,28.6829595186,-1.0,-1.0,9184.381306
12.0,3.0,53.0,-1.0,-1.0,1.0,1592.0,125225.875,1.0,0.0,2563.0,78.6594692211,48.8591006633,-1.0,-1.0,7331.981891
13.0,4.0,8.0,-1.0,-1.0,1.0,145.0,27135.4160156,1.0,1.0,241.0,187.140800108,112.595087202,-1.0,-1.0,24874.45434
14.0,4.0,10.0,-1.0,-1.0,1.0,361.0,106283.242188,1.0,1.0,1278.0,294.413413263,83.1637262817,-1.0,-1.0,8846.994243
15.0,5.0,6.0,-1.0,-1.0,-15.0,137.0,156.56854248,1.0,0.0,156.0,1.1428360765,1.00364450308,-1.0,-1.0,-1.0
16.0,5.0,7.0,-1.0,-1.0,1.0,77.0,100.0,1.0,1.0,100.0,1.2987012987,1.0,-1.0,-1.0,3989.617611
17.0,5.0,11.0,-1.0,-1.0,1.0,139.0,168.28427124,1.0,1.0,168.0,1.21067821036,1.00169209071,-1.0,-1.0,2599.144474
18.0,5.0,12.0,-1.0,-1.0,-15.0,1748.0,124396.09375,1.0,0.0,2505.0,71.1648133581,49.6591192615,-1.0,-1.0,-1.0
19.0,5.0,18.0,-1.0,-1.0,1.0,1672.0,107654.03125,1.0,0.0,2323.0,64.3863823266,46.3426738054,-1.0,-1.0,4836.383893
20.0,6.0,7.0,-1.0,-1.0,1.0,33.0,48.2842712402,1.0,1.0,48.0,1.46315973455,1.0059223175,-1.0,-1.0,4067.841161
21.0,6.0,11.0,-1.0,-1.0,1.0,165.0,189.705627441,1.0,1.0,189.0,1.1497310754,1.00373347852,-1.0,-1.0,1686.268525
22.0,7.0,11.0,-1.0,-1.0,1.0,88.0,104.852813721,1.0,1.0,104.0,1.19150924683,1.00820013193,-1.0,-1.0,2199.582433
23.0,8.0,9.0,-1.0,-1.0,1.0,63.0,76596.828125,1.0,1.0,104.0,1215.82266865,736.50796274,-1.0,-1.0,8555.066336
24.0,8.0,10.0,-1.0,-1.0,-15.0,134.0,133438.65625,1.0,1.0,1540.0,995.810867537,86.6484780844,-1.0,-1.0,-1.0
25.0,8.0,13.0,-1.0,-1.0,-15.0,999.0,239611.421875,1.0,0.0,1702.0,239.851273148,140.782269022,-1.0,-1.0,-1.0
26.0,8.0,14.0,-1.0,-1.0,-15.0,1239.0,248769.546875,1.0,0.0,2799.0,200.782523709,88.8780088871,-1.0,-1.0,-1.0
27.0,8.0,20.0,-1.0,-1.0,1.0,652.0,219745.078125,1.0,0.0,1055.0,337.032328413,208.289173578,-1.0,-1.0,15955.0191
28.0,8.0,21.0,-1.0,-1.0,1.0,659.0,219716.796875,0.0,1.0,1027.0,333.409403452,213.940405915,-1.0,-1.0,15951.24554
29.0,8.0,63.0,-1.0,-1.0,-15.0,866.0,161496.28125,0.0,1.0,2181.0,186.485313222,74.0468964924,-1.0,-1.0,-1.0
30.0,9.0,10.0,-1.0,-1.0,1.0,106.0,122440.546875,1.0,1.0,136.0,1155.09949882,900.298138787,-1.0,-1.0,8477.555993
31.0,9.0,20.0,-1.0,-1.0,-15.0,579.0,270238.21875,1.0,0.0,1896.0,466.73267487,142.530706092,-1.0,-1.0,-1.0
32.0,9.0,21.0,-1.0,-1.0,-15.0,579.0,270209.9375,1.0,0.0,1868.0,466.683829879,144.652000803,-1.0,-1.0,-1.0
33.0,9.0,35.0,-1.0,-1.0,-15.0,770.0,263962.78125,1.0,0.0,1871.0,342.808806818,141.081123063,-1.0,-1.0,-1.0
34.0,9.0,63.0,-1.0,-1.0,-15.0,679.0,180849.59375,1.0,1.0,1159.0,266.346971649,156.03933887,-1.0,-1.0,-1.0
35.0,10.0,52.0,-1.0,-1.0,1.0,2721.0,93829.6171875,0.0,1.0,3485.0,34.4835050303,26.9238499821,-1.0,-1.0,15082.96783
36.0,10.0,53.0,-1.0,-1.0,1.0,1280.0,123763.203125,1.0,0.0,2341.0,96.6900024414,52.8676647266,-1.0,-1.0,12824.54687
37.0,10.0,63.0,-1.0,-1.0,1.0,614.0,48294.1914063,1.0,1.0,897.0,78.6550348637,53.8396782679,-1.0,-1.0,21181.68559
38.0,11.0,18.0,-1.0,-1.0,1.0,1647.0,107540.898438,1.0,0.0,2210.0,65.2950203024,48.6610400172,-1.0,-1.0,4842.517601
39.0,11.0,30.0,-1.0,-1.0,1.0,1551.0,78399.46875,1.0,0.0,2278.0,50.5476910058,34.4159213126,-1.0,-1.0,7345.380641
40.0,11.0,52.0,-1.0,-1.0,1.0,473.0,45344.953125,1.0,1.0,1673.0,95.8667085095,27.1039767633,-1.0,-1.0,11349.0437
41.0,11.0,53.0,-1.0,-1.0,-15.0,1852.0,112322.757813,1.0,0.0,4293.0,60.649437264,26.1641644102,-1.0,-1.0,-1.0
42.0,12.0,18.0,-1.0,-1.0,1.0,132.0,15313.7089844,1.0,1.0,153.0,116.012946852,100.089601205,-1.0,-1.0,5350.375449
43.0,12.0,24.0,-1.0,-1.0,1.0,363.0,38256.78125,1.0,1.0,396.0,105.390581956,96.6080334596,-1.0,-1.0,4915.351277
44.0,12.0,28.0,-1.0,-1.0,-15.0,414.0,43713.421875,1.0,1.0,493.0,105.587975543,88.6681985294,-1.0,-1.0,-1.0
45.0,12.0,45.0,-1.0,-1.0,-15.0,1510.0,161903.859375,1.0,0.0,2532.0,107.221098924,63.943072423,-1.0,-1.0,-1.0
