"user_code","obs_date","transport_mode","distance_km"
1,2019-05-05,"Foot",9.778
1,2019-06-09,"Foot",9.778
2,2019-04-12,NA,1438.771
2,2019-05-11,NA,1438.771
3,2019-05-12,NA,32.868
3,2019-06-22,NA,32.868
4,2019-06-22,NA,319.091
5,2019-04-18,"Car (conventional)",89.571
5,2019-04-21,"Car (conventional)",26.749
5,2019-06-08,"Car (conventional)",26.749
5,2019-06-07,"Car (conventional)",89.571
6,2019-04-29,NA,36.92
6,2019-04-30,NA,53.548
6,2019-04-28,NA,53.977
6,2019-06-15,NA,53.977
6,2019-06-26,NA,53.548
6,2019-06-22,NA,36.92
7,2019-06-18,NA,149.724
7,2019-04-29,NA,149.724
8,2019-06-29,"Car (electric)",6.306
8,2019-05-10,"Car (electric)",6.306
9,2019-06-16,NA,113.849
9,2019-05-05,NA,113.849
10,2019-05-18,NA,193.383
11,2019-06-16,NA,27.182
11,2019-05-16,NA,27.182
12,2019-06-09,NA,16.211
12,2019-05-05,NA,16.211
13,2019-06-20,NA,50.788
13,2019-06-01,NA,119.132
13,2019-05-25,NA,50.788
13,2019-06-29,NA,119.132
14,2019-05-19,NA,14.529
14,2019-06-16,NA,14.529
15,2019-06-07,"Car (conventional)",88.894
15,2019-05-06,"Car (conventional)",88.894
16,2019-04-22,NA,53.864
16,2019-06-03,NA,53.864
17,2019-06-16,"Car (conventional)",41.243
17,2019-05-12,"Car (conventional)",41.243
18,2019-06-30,NA,267.1
18,2019-05-01,NA,205.186
18,2019-05-23,NA,34.398
18,2019-06-20,NA,34.398
18,2019-06-26,NA,5.536
18,2019-05-06,NA,5.536
18,2019-05-20,NA,267.1
18,2019-06-27,NA,205.186
19,2019-05-10,NA,10.644
19,2019-06-09,NA,10.644
20,2019-06-01,"Car (conventional)",20.956
20,2019-04-30,"Car (conventional)",20.956
20,2019-05-18,"Car (conventional)",55.455
20,2019-06-20,"Car (conventional)",55.455
21,2019-05-20,"Car (conventional)",40.474
21,2019-06-23,"Car (conventional)",40.474
22,2019-06-07,"Car (conventional)",9.563
22,2019-05-09,"Car (conventional)",9.563
23,2019-04-29,"Car (conventional)",64.277
23,2019-06-04,"Car (conventional)",64.277
24,2019-06-30,"Car (conventional)",30.698
24,2019-05-05,"Car (conventional)",30.698
25,2019-05-14,"Car (conventional)",279.307
26,2019-04-08,"Car (conventional)",41.635
27,2019-04-18,NA,9.063
27,2019-05-16,NA,9.063
28,2019-06-16,"Car (conventional)",56.01
28,2019-05-15,"Car (conventional)",56.01
29,2019-04-21,"Car (conventional)",157.911
29,2019-05-21,"Car (conventional)",157.911
30,2019-04-29,"Car (conventional)",43.221
30,2019-06-23,"Car (conventional)",43.221
31,2019-06-17,"Car (conventional)",7.346
31,2019-06-21,"Car (conventional)",16.46
31,2019-05-18,"Car (conventional)",16.46
31,2019-05-15,"Car (conventional)",7.346
32,2019-06-28,NA,5.778
32,2019-05-03,NA,5.778
33,2019-05-13,"Car (conventional)",160.506
33,2019-05-14,"Car (conventional)",192.586
34,2019-06-10,"Car (conventional)",36.684
34,2019-05-04,"Car (conventional)",36.684
34,2019-06-06,"Car (conventional)",51.398
34,2019-04-30,"Car (conventional)",51.398
35,2019-06-16,NA,4.81
35,2019-05-09,NA,4.81
36,2019-05-25,"Car (conventional)",28.915
36,2019-04-14,"Car (conventional)",28.915
37,2019-04-25,"Car (conventional)",8.442
37,2019-06-22,"Car (conventional)",8.442
38,2019-04-10,"Car (conventional)",12.13
38,2019-06-12,"Car (conventional)",12.13
39,2019-04-30,NA,10.199
39,2019-05-06,NA,20.16
39,2019-06-09,NA,20.16
39,2019-06-01,NA,10.199
40,2019-06-09,"Car (conventional)",4.496
40,2019-04-30,"Car (conventional)",4.496
41,2019-06-26,NA,18.799
41,2019-04-13,NA,13.719
41,2019-05-16,NA,18.799
41,2019-06-29,NA,13.719
42,2019-04-28,"Car (hybrid)",10.168
42,2019-05-29,"Car (hybrid)",10.168
43,2019-04-19,"Car (conventional)",4.732
43,2019-05-17,"Car (conventional)",4.732
44,2019-06-01,NA,19.298
44,2019-05-04,NA,19.298
45,2019-04-19,NA,25.645
45,2019-06-01,NA,25.645
45,2019-05-25,NA,16.518
45,2019-04-21,NA,16.518
46,2019-05-22,"Car (conventional)",20.331
46,2019-04-22,"Car (conventional)",20.331
47,2019-05-02,"Public transport (Train)",24.611
47,2019-06-15,"Public transport (Train)",24.611
47,2019-05-28,"Foot",9.122
47,2019-04-29,"Foot",9.122
48,2019-04-26,NA,14.65
48,2019-06-20,NA,14.65
49,2019-04-24,"Car (conventional)",27.554
49,2019-06-04,"Car (conventional)",27.554
50,2019-04-29,NA,11.574
50,2019-06-09,NA,11.574
51,2019-05-11,"Car (conventional)",106.404
51,2019-06-16,"Car (conventional)",106.404
52,2019-04-19,"Car (conventional)",39.702
52,2019-05-26,"Car (conventional)",39.702
53,2019-05-18,"Car (conventional)",14.834
53,2019-04-20,"Car (conventional)",14.834
54,2019-06-09,NA,9.311
54,2019-04-28,NA,19.318
54,2019-06-01,NA,19.318
54,2019-05-05,NA,9.311
55,2019-04-14,NA,18.718
55,2019-05-25,NA,13.134
55,2019-04-07,NA,13.134
55,2019-05-28,NA,18.718
56,2019-05-25,"Car (conventional)",19.716
56,2019-04-19,"Car (conventional)",19.716
56,2019-05-26,"Car (conventional)",43.024
56,2019-04-20,"Car (conventional)",43.024
57,2019-05-22,NA,33.268
57,2019-04-24,NA,33.268
58,2019-05-04,NA,9.155
58,2019-06-26,NA,9.155
59,2019-06-18,NA,11.569
59,2019-05-03,NA,11.569
60,2019-04-26,NA,59.342
60,2019-06-01,NA,59.342
61,2019-05-12,NA,16.22
61,2019-06-17,NA,16.22
62,2019-04-28,NA,106.792
62,2019-04-27,NA,108.306
62,2019-07-07,NA,106.792
63,2019-05-14,"Car (conventional)",15.935
63,2019-05-11,"Car (conventional)",16.392
63,2019-06-13,"Car (conventional)",16.392
63,2019-06-17,"Car (conventional)",15.935
64,2019-05-15,NA,6.348
64,2019-06-17,NA,6.348
65,2019-06-05,NA,22.137
65,2019-05-02,NA,22.137
66,2019-04-30,NA,11.518
66,2019-06-17,NA,11.518
67,2019-04-21,"Car (conventional)",22.124
67,2019-06-15,"Car (conventional)",22.124
68,2019-06-06,"Car (conventional)",6.122
68,2019-04-22,"Car (conventional)",6.122
69,2019-05-27,"Car (conventional)",17.514
69,2019-04-29,"Car (conventional)",17.514
70,2019-04-30,NA,11.388
70,2019-07-03,NA,11.388
71,2019-05-20,"Car (conventional)",15.945
71,2019-04-19,"Car (conventional)",15.945
72,2019-05-10,NA,7.707
72,2019-06-28,NA,7.707
73,2019-06-23,NA,34.38
73,2019-05-04,NA,34.38
74,2019-04-26,NA,12.75
74,2019-05-14,NA,49.553
74,2019-06-22,NA,12.75
74,2019-06-27,NA,49.553
75,2019-05-15,NA,36.341
75,2019-06-13,NA,36.341
76,2019-05-31,"Car (conventional)",19.705
76,2019-04-19,"Car (conventional)",19.705
77,2019-05-12,NA,57.597
77,2019-06-15,NA,57.597
78,2019-06-21,"Car (electric)",20.829
78,2019-04-28,"Car (electric)",20.829
79,2019-06-15,"Car (conventional)",17.858
79,2019-04-20,"Car (conventional)",17.858
80,2019-05-07,NA,48.382
80,2019-06-29,NA,48.382
81,2019-05-11,"Car (conventional)",10.25
82,2019-06-17,"Car (conventional)",24.301
82,2019-04-15,"Car (conventional)",24.301
83,2019-04-22,"Foot",5.517
83,2019-05-06,"Foot",6.483
83,2019-06-22,"Car (electric)",22.205
83,2019-04-20,"Car (electric)",22.205
83,2019-06-23,"Foot",6.483
83,2019-05-26,"Foot",5.517
84,2019-06-28,"Car (conventional)",14.505
84,2019-05-05,"Car (conventional)",14.505
85,2019-06-28,"Car (conventional)",15.39
85,2019-04-18,"Car (conventional)",15.39
86,2019-05-04,"Car (conventional)",57.936
86,2019-07-06,"Car (conventional)",57.936
87,2019-06-28,"Car (conventional)",56.703
88,2019-04-30,"Car (conventional)",12.533
88,2019-06-01,"Car (conventional)",12.533
89,2019-04-12,"Car (conventional)",12.987
89,2019-05-13,"Car (conventional)",5.494
89,2019-05-15,"Car (conventional)",12.987
89,2019-04-15,"Car (conventional)",5.494
90,2019-04-30,NA,58.398
90,2019-06-17,NA,58.398
91,2019-04-18,NA,34.56
91,2019-06-06,NA,34.56
92,2019-06-06,"Car (conventional)",13.341
92,2019-04-13,"Foot",2.757
92,2019-04-15,"Car (conventional)",13.341
92,2019-05-27,"Foot",2.757
93,2019-06-27,NA,55.917
93,2019-05-12,NA,55.917
94,2019-04-28,NA,44.821
94,2019-06-29,NA,44.821
95,2019-06-15,"Car (conventional)",38.851
96,2019-06-29,NA,10.67
96,2019-05-11,NA,10.67
97,2019-05-28,"Car (conventional)",6.945
97,2019-04-18,"Car (conventional)",6.945
98,2019-06-09,"Car (conventional)",15.235
98,2019-04-17,"Car (conventional)",20.53
98,2019-05-18,"Foot",6.109
98,2019-05-19,"Car (conventional)",20.53
98,2019-04-21,"Car (conventional)",15.235
98,2019-04-14,"Foot",6.109
99,2019-05-05,"Car (conventional)",14.857
99,2019-06-09,"Car (conventional)",14.857
100,2019-05-05,"Bicycle",16.399
100,2019-04-21,NA,12.989
100,2019-05-20,"eBike",7.844
100,2019-04-08,"eBike",7.844
100,2019-06-02,"Bicycle",16.399
100,2019-06-01,NA,12.989
101,2019-05-01,"Foot",5.152
102,2019-06-22,NA,20.824
102,2019-04-20,NA,20.824
103,2019-06-18,NA,8.778
103,2019-04-29,NA,8.778
103,2019-06-17,NA,7.534
103,2019-04-28,NA,6.65
103,2019-06-01,NA,6.65
103,2019-04-30,NA,7.534
104,2019-06-02,NA,5.985
104,2019-04-22,NA,14.895
104,2019-05-02,NA,13.952
104,2019-06-09,NA,14.895
104,2019-06-18,NA,13.952
104,2019-04-19,NA,5.985
105,2019-04-20,"Car (conventional)",35.526
105,2019-06-09,"Car (conventional)",35.526
106,2019-05-06,"Foot",0.722
106,2019-06-14,"Foot",0.722
106,2019-06-13,"Car (conventional)",12.574
106,2019-05-19,"Car (conventional)",12.574
107,2019-05-11,NA,25.076
108,2019-04-22,NA,12.443
108,2019-05-19,NA,12.443
109,2019-05-11,NA,35.369
109,2019-04-20,NA,26.311
110,2019-04-13,"Car (conventional)",32.046
110,2019-06-14,"Car (conventional)",32.046
111,2019-06-06,NA,7.112
111,2019-05-12,NA,7.112
112,2019-06-24,NA,13.356
112,2019-05-05,NA,13.356
113,2019-04-20,NA,11.39
113,2019-05-18,NA,11.39
114,2019-04-19,"Car (conventional)",63.187
114,2019-05-24,"Car (conventional)",63.187
115,2019-07-03,"Car (conventional)",6.955
115,2019-05-15,NA,14.66
115,2019-05-05,"Car (conventional)",6.955
115,2019-07-03,NA,14.66
116,2019-05-10,NA,2.612
116,2019-06-20,NA,2.612
117,2019-04-30,"Car (conventional)",9.26
117,2019-06-15,"Car (conventional)",9.26
118,2019-06-09,NA,36.54
118,2019-05-28,"Car (conventional)",32.498
118,2019-05-04,NA,36.54
118,2019-04-29,"Car (conventional)",32.498
119,2019-05-07,NA,30.276
119,2019-05-19,NA,27.886
119,2019-06-29,NA,30.276
119,2019-06-18,NA,27.886
120,2019-05-24,"Car (conventional)",8.771
120,2019-06-27,"Car (conventional)",8.771
121,2019-06-16,NA,18.092
121,2019-04-21,NA,18.092
122,2019-05-15,NA,14.658
122,2019-06-25,NA,14.658
123,2019-06-21,NA,24.923
123,2019-06-16,NA,24.923
124,2019-06-20,"Car (conventional)",12.077
124,2019-05-11,"Car (conventional)",12.077
125,2019-05-07,"Car (conventional)",19.906
125,2019-06-04,"Car (conventional)",11.164
125,2019-05-29,"Car (conventional)",15.295
125,2019-06-06,"Car (conventional)",19.906
125,2019-05-02,"Car (conventional)",11.164
125,2019-05-01,"Car (conventional)",15.295
126,2019-04-21,"Car (conventional)",29.21
126,2019-06-02,"Car (conventional)",29.21
127,2019-04-20,"Car (hybrid)",8.983
127,2019-04-28,"Car (hybrid)",9.307
127,2019-06-09,"Car (hybrid)",8.983
127,2019-06-21,"Car (hybrid)",9.307
128,2019-04-23,NA,65.074
128,2019-05-21,"Car (conventional)",20.907
128,2019-04-16,"Car (conventional)",20.907
128,2019-06-03,NA,65.074
129,2019-06-01,NA,44.295
129,2019-06-28,NA,44.295
129,2019-05-06,NA,55.338
129,2019-06-22,NA,55.338
130,2019-04-28,NA,27.801
130,2019-06-16,NA,27.801
131,2019-06-25,NA,105.912
131,2019-05-13,NA,105.912
132,2019-06-22,NA,9.602
132,2019-05-15,NA,9.602
133,2019-04-20,NA,5.684
133,2019-05-28,NA,5.684
133,2019-06-02,NA,7.116
133,2019-04-26,NA,147.01
133,2019-04-19,NA,63.682
133,2019-04-22,NA,7.116
133,2019-06-10,NA,147.01
133,2019-06-04,NA,63.682
134,2019-04-19,"Bicycle",9.998
134,2019-05-04,"Car (conventional)",4.386
134,2019-05-27,"Car (conventional)",4.386
134,2019-05-25,"Bicycle",9.998
134,2019-04-20,"Car (conventional)",20.197
