"user_code","square_code","upland_rovers","obs_date","country","home_latitude_rounded","home_longitude_rounded","square_latitude_rounded","square_longitude_rounded","response","transport_mode","more_than_one","sole_purpose","add_walk"
1,992,FALSE,2019-05-05,"Scotland",57.1,-2.1,57.1,-2.1,TRUE,"Foot",NA,TRUE,"0"
1,992,FALSE,2019-06-09,"Scotland",57.1,-2.1,57.1,-2.1,TRUE,"Foot",NA,TRUE,"0"
2,371,FALSE,2019-04-12,"Wales",57.1,-2.2,52.3,-3.5,FALSE,NA,NA,NA,NA
2,371,FALSE,2019-05-11,"Wales",57.1,-2.2,52.3,-3.5,FALSE,NA,NA,NA,NA
3,3178,FALSE,2019-05-12,"Scotland",57.2,-2.2,57.1,-2.4,FALSE,NA,NA,NA,NA
3,3178,FALSE,2019-06-22,"Scotland",57.2,-2.2,57.1,-2.4,FALSE,NA,NA,NA,NA
4,303,TRUE,2019-06-22,"Scotland",57.2,-2.2,56.9,-3.6,FALSE,NA,NA,NA,NA
5,2874,FALSE,2019-06-08,"Scotland",57.1,-2.2,57.1,-2.4,TRUE,"Car (conventional)","FALSE",TRUE,"0.5"
5,2874,FALSE,2019-04-21,"Scotland",57.1,-2.2,57.1,-2.4,TRUE,"Car (conventional)","FALSE",TRUE,"0.5"
5,2875,FALSE,2019-04-18,"Scotland",57.1,-2.2,57,-2.8,TRUE,"Car (conventional)","TRUE",TRUE,"7.5"
5,2875,FALSE,2019-06-07,"Scotland",57.1,-2.2,57,-2.8,TRUE,"Car (conventional)","TRUE",TRUE,"7.5"
6,633,FALSE,2019-06-26,"Scotland",57.1,-2.2,57.3,-2.4,FALSE,NA,NA,NA,NA
6,633,FALSE,2019-04-30,"Scotland",57.1,-2.2,57.3,-2.4,FALSE,NA,NA,NA,NA
6,634,FALSE,2019-06-15,"Scotland",57.1,-2.2,57,-2.4,FALSE,NA,NA,NA,NA
6,634,FALSE,2019-04-28,"Scotland",57.1,-2.2,57,-2.4,FALSE,NA,NA,NA,NA
6,632,FALSE,2019-06-22,"Scotland",57.1,-2.2,57,-2.3,FALSE,NA,NA,NA,NA
6,632,FALSE,2019-04-29,"Scotland",57.1,-2.2,57,-2.3,FALSE,NA,NA,NA,NA
7,3478,FALSE,2019-06-18,"Scotland",57.1,-2.2,57.1,-3.1,FALSE,NA,NA,NA,NA
7,3478,FALSE,2019-04-29,"Scotland",57.1,-2.2,57.1,-3.1,FALSE,NA,NA,NA,NA
8,926,FALSE,2019-06-29,"Scotland",57.3,-2.2,57.3,-2.2,TRUE,"Car (electric)",NA,TRUE,"0"
