ID;session;place;gender;age;Betsileo_sp;life;archi;phylo;ferpo;leav;root;flo;fru;EAD;pheL;pheF;land;soil;nbsp_Fa;nbsp_Fl;use;eco;score
A1;1;A;F;15;Goavy;1;1;1;1;2;2;3;4;1;0;1;1;1;1;0;0;1;21
A1;1;A;F;15;Kilela;1;1;1;1;3;2;2;4;1;1;1;1;1;2;0;0;1;23
A1;1;A;F;15;Kilenga;1;1;1;1;3;2;3;0;1;1;0;1;1;0;0;0;1;17
A1;1;A;F;15;Voanaka;1;1;1;1;1;2;1;4;1;1;1;1;1;0;1;0;1;19
A1;1;A;F;15;Voaroifotsy;1;1;1;1;3;2;0;4;1;0;1;0;1;0;0;0;1;17
A3;3;A;F;13;Ara;1;0;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;10
A3;3;A;F;13;Goavy;1;0;0;1;1;1;0;1;0;0;0;1;0;1;0;0;1;8
A3;3;A;F;13;Rotsy;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;7
A3;3;A;F;13;Voafotsy;1;0;0;1;1;2;0;1;0;0;0;1;0;0;0;0;1;8
A3;3;A;F;13;Voanaka;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;1;5
A4;4;A;M;15;Goavy;1;1;1;1;3;0;0;3;0;1;0;1;1;1;0;0;1;15
A4;4;A;M;15;Manga;1;0;1;1;3;0;0;3;0;0;1;0;0;1;0;0;1;12
A4;4;A;M;15;Voafotsy;1;0;1;1;2;0;0;2;1;1;0;1;0;0;0;1;1;12
A4;4;A;M;15;Voatsitakajaza;1;0;1;1;3;1;0;1;0;1;0;1;1;2;0;0;1;14
A5;5;A;F;14;Anadraza;1;1;0;1;3;0;3;4;0;0;1;0;1;0;0;0;1;16
A5;5;A;F;14;Goavy;1;0;1;1;1;1;3;3;1;0;1;0;1;0;0;0;1;15
A5;5;A;F;14;Kilela;1;0;1;1;2;0;2;4;0;0;1;0;1;0;0;0;1;14
A5;5;A;F;14;Kisira kisira;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
A5;5;A;F;14;Magnesy;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;6
A5;5;A;F;14;Matanandro;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
A5;5;A;F;14;Melo hazo;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;7
A5;5;A;F;14;Nonoka;0;0;0;0;1;1;0;2;0;0;0;1;0;0;0;0;1;6
A5;5;A;F;14;Raketa;1;0;1;1;1;0;2;3;0;0;1;0;0;0;0;0;1;11
A5;5;A;F;14;Rotsy;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;5
A5;5;A;F;14;Seva;0;0;1;0;2;0;0;3;0;0;0;0;0;0;0;0;1;7
A5;5;A;F;14;Trakavola;1;0;1;1;2;0;0;2;0;0;0;0;1;0;0;0;1;9
A5;5;A;F;14;Tsipoaka;1;1;1;1;3;0;3;0;1;0;0;0;1;0;0;0;1;13
A5;5;A;F;14;Voanaka;1;0;0;1;3;0;2;3;0;0;1;0;1;0;0;0;1;13
A5;5;A;F;14;Voaroifotsy;1;0;1;1;3;0;0;2;0;0;1;0;0;0;0;0;1;10
A5;5;A;F;14;Voaroitsaka;1;0;0;1;1;1;0;3;0;0;0;0;1;0;0;0;1;9
A5;5;A;F;14;Voaroy;0;0;0;0;3;0;1;2;0;0;1;0;1;0;0;0;1;9
A5;5;A;F;14;Voatsitakajaza;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;6
B1;1;B;M;17;Kilenga;1;1;1;1;3;0;2;0;1;1;0;1;1;0;0;0;1;14
B1;1;B;M;17;Seva;1;0;0;0;1;1;2;0;0;0;0;1;0;0;0;0;1;7
B1;1;B;M;17;Sevafotsy;1;1;0;0;1;1;2;0;1;0;0;1;0;1;0;0;1;10
B1;1;B;M;17;Vahobe;1;1;1;1;3;0;2;0;1;0;0;1;0;0;0;0;1;12
B1;1;B;M;17;Voaroy;1;0;1;1;2;1;0;4;1;0;1;1;1;0;1;0;1;16
B2;2;B;M;16;Lamoty;1;1;0;1;2;2;0;3;0;1;0;1;1;2;2;0;1;18
B2;2;B;M;16;Lanary;1;0;0;1;2;1;0;3;0;1;0;1;1;1;2;0;1;15
B3;3;B;M;17;Akondro;1;1;1;1;3;0;3;4;1;0;1;0;1;0;0;0;1;18
B3;3;B;M;17;Ampalibe;1;0;0;1;2;0;0;4;1;0;0;0;1;0;0;0;1;11
B3;3;B;M;17;raketa;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;7
B3;3;B;M;17;Rotsy;1;1;0;1;3;0;0;2;0;0;0;1;1;0;0;0;1;11
B3;3;B;M;17;Voaroifotsy;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4
B4;4;B;M;15;Goavy;1;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;1;6
B4;4;B;M;15;Hazota;1;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;1;7
B4;4;B;M;15;Lamoty;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0;1;1;7
B4;4;B;M;15;Manga;0;0;0;1;0;0;0;3;0;0;0;0;1;0;0;0;1;6
