ID;session;place;gender;age;precision_score_mean;nb_criteria
A1;1;A;F;15;20;12,4
A3;3;A;F;13;8,2;10,2
A4;4;A;M;15;14,5;10,75
A5;5;A;F;14;8,88;10,16
B1;1;B;M;17;12,2;11,6
B2;2;B;M;16;20;9,5
B3;3;B;M;17;10,4;10
B4;4;B;M;15;6,12;9,375
B5;5;B;F;13;6,12;9,875
C1;1;C;F;15;10,87;9,375
C2;2;C;M;17;13,6;10
C3;3;C;F;17;6,62;9,375
C4;4;C;M;13;4,8;8,28
C5;5;C;F;15;8,5;8,75
D1;1;D;M;17;11,71;11,42
D2;2;D;M;15;13,5;10,25
D3;3;D;F;15;15;10
D4;4;D;F;13;11;9,8
E1;1;E;M;17;16;10,25
E2;2;E;M;14;14,6;9
E3;3;E;M;15;14,25;10,25
E4;4;E;F;13;9,75;9,5
F1;1;F;M;16;10,37;10,12
F2;2;F;M;17;19,66;10,3
F3;3;F;M;14;15,2;10,6
F5;5;F;F;14;10,2;10,6
G1;1;G;F;15;13,14;11,28
G2;2;G;F;14;10,75;9
G3;3;G;M;15;8,25;10,25
G4;4;G;F;12;10,66;10,83
H1;1;H;F;14;11,8;10,87
H2;2;H;F;13;11,75;10,75
H3;3;H;F;15;10;10,28
H4;4;H;F;14;6,71;9,57
I1;1;I;M;18;13,2;12,2
I2;2;I;F;14;8,2;9,2
I3;3;I;M;12;6,22;8,7
J3;3;J;F;15;17,8;11
J5;5;J;F;13;9,75;10
K1;1;K;M;14;13,2;11
K2;2;K;M;15;7,83;9,5
K3;3;K;F;16;7,14;10,14
K4;4;K;M;14;7,66;9,66
L1;1;L;M;17;15,2;8,8
L3;3;L;F;13;7,44;9,14
L5;5;L;M;14;11,2;9,4
M3;3;M;F;15;6,9;8,5
M4;4;M;M;13;6;9,5
M5;5;M;M;15;6,8;8
N3;3;N;F;16;10,57;9,14
O3;3;O;F;16;7,5;9,8
O4;4;O;F;13;7,75;10
O5;5;O;F;13;6,57;8,57
P3;3;P;F;13;8,75;9,5
P5;5;P;F;12;7,85;10
Q3;3;Q;F;14;10;9,75
R2;2;R;M;17;15;9
R3;3;R;F;15;5,44;8,44
R5;5;R;M;17;13,85;10,57
S2;2;S;M;15;17;10
S3;3;S;F;13;10,83;10,33
S5;5;S;M;17;8,85;9,28
T1;1;T;F;14;9,75;8,25
T3;3;T;F;15;7,54;9,45
T5;5;T;M;15;10,5;10,37
D5;5;D;F;15;8,285714286;9,285714286
E5;5;E;F;14;9,555555556;10
G5;5;G;F;12;7;9
I4;4;I;F;14;11;10,333
I5;5;I;F;14;9,25;10,25
J4;4;J;F;14;8;8,5
L2;2;L;F;14;7,3;8,3333
M2;2;M;F;15;7,8;8
O1;1;O;F;16;10,2;9,4
O2;2;O;F;17;10,8;10
P1;1;P;F;12;12;10,1666667
Q1;1;Q;F;14;10,8;9,6
Q2;2;Q;F;17;4,9;8,545454545
R1;1;R;F;14;9;8,857142857
S1;1;S;F;15;10,3;8,666666667
T2;2;T;F;17;6,1;8,888888889
