nr;TOMST_Merge_ID;ID;WB_no;Frozen_Fresh;X;Y;Weight_kg;Weight1_kg;Elevation;Exposure_Year;Sampling_day_DOY;Decomposition_Stage;Day_since_Exposure;Traptype;Maggots_vol;Oiceptomathoracicum;Necrodeslittoralis;Thanatophilussinuatus;Thanatophilusrugosus;Nicrophorusvespilloides;Nicrophorushumator;Nicrophorusinvestigator;Nicrophorusinterruptus;Nicrophorusvespillo;Nicrophorussepultor;Speciesnumber;Abundanceofindividuals;Habitat;Temp_mean_48
125;MS01_T4;MS_1_T4;MS01;frozen;828112;5429377;32,4;;1068,89;2020;207;2;4;Pitfall;0;0;0;0;0;9;0;0;0;0;0;1;9;closed_dry;13,83
123;MS01_T2;MS_1_T2;MS01;frozen;828112;5429377;32,4;32,4;1068,89;2020;205;2;2;Pitfall;0;0;0;0;0;4;0;0;0;0;0;1;4;closed_dry;14,2
129;MS01_T9;MS_1_T9;MS01;frozen;828112;5429377;32,4;;1068,89;2020;212;2;9;Pitfall;0;0;0;0;0;15;1;6;0;0;0;3;22;closed_dry;15,14
127;MS01_T6;MS_1_T6;MS01;frozen;828112;5429377;32,4;;1068,89;2020;209;2;6;Pitfall;0;0;0;0;0;5;0;0;0;0;0;1;5;closed_dry;12,73
133;MS01_T16;MS_1_T16;MS01;frozen;828112;5429377;32,4;;1068,89;2020;219;3;16;Pitfall;100;2;4;0;0;3;0;1;0;0;0;4;10;closed_dry;9,62
131;MS01_T13;MS_1_T13;MS01;frozen;828112;5429377;32,4;;1068,89;2020;216;3;13;Pitfall;45;10;24;30;0;14;1;1;3;0;0;7;83;closed_dry;16,91
135;MS01_T23;MS_1_T23;MS01;frozen;828112;5429377;32,4;;1068,89;2020;226;4;23;Pitfall;40;6;8;14;0;7;0;0;0;0;0;4;35;closed_dry;17,71
137;MS01_T30;MS_1_T30;MS01;frozen;828112;5429377;32,4;;1068,89;2020;233;5;30;Pitfall;5;0;2;0;0;0;0;2;0;0;0;2;4;closed_dry;12,72
139;MS02_T2;MS_2_T2;MS02;frozen;825505;5428939;30;30;771,74;2020;227;2;2;Pitfall;0;1;0;0;0;7;0;2;1;0;0;4;10;closed_dry;18,44
141;MS02_T4;MS_2_T4;MS02;frozen;825505;5428939;30;;771,74;2020;229;2;4;Pitfall;5;0;0;0;0;5;0;0;0;0;0;1;5;closed_dry;16,2
143;MS02_T6;MS_2_T6;MS02;frozen;825505;5428939;30;;771,74;2020;231;3;6;Pitfall;0;2;29;0;0;1;0;0;0;0;0;3;32;closed_dry;16,91
149;MS02_T16;MS_2_T16;MS02;frozen;825505;5428939;30;;771,74;2020;241;4;16;Pitfall;5;0;2;0;0;1;1;1;0;0;0;5;5;closed_dry;13,85
147;MS02_T13;MS_2_T13;MS02;frozen;825505;5428939;30;;771,74;2020;238;4;13;Pitfall;5;0;2;0;0;1;1;4;0;0;0;5;9;closed_dry;12,65
145;MS02_T9;MS_2_T9;MS02;frozen;825505;5428939;30;;771,74;2020;234;4;9;Pitfall;5;49;172;8;1;26;3;19;3;1;0;9;282;closed_dry;15,85
153;MS02_T30;MS_2_T30;MS02;frozen;825505;5428939;30;;771,74;2020;255;5;30;Pitfall;5;0;0;0;0;2;0;0;0;0;0;1;2;closed_dry;13,72
151;MS02_T23;MS_2_T23;MS02;frozen;825505;5428939;30;;771,74;2020;248;5;23;Pitfall;5;0;0;0;0;0;0;1;0;1;0;2;2;closed_dry;10,71
155;MS03_T2;MS_3_T2;MS03;frozen;829433;5427652;49,5;49,5;978,57;2020;247;1;2;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;9,27
161;MS03_T9;MS_3_T9;MS03;frozen;829433;5427652;49,5;;978,57;2020;254;2;9;Pitfall;0;0;1;0;0;4;0;2;0;0;0;3;7;closed_dry;13,86
159;MS03_T6;MS_3_T6;MS03;frozen;829433;5427652;49,5;;978,57;2020;251;2;6;Pitfall;0;0;0;0;0;4;0;3;0;0;0;2;7;closed_dry;13,87
157;MS03_T4;MS_3_T4;MS03;frozen;829433;5427652;49,5;;978,57;2020;249;2;4;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;14,08
163;MS03_T13;MS_3_T13;MS03;frozen;829433;5427652;49,5;;978,57;2020;258;2;13;Pitfall;40;0;1;0;0;0;0;1;0;0;0;2;2;closed_dry;16,91
165;MS03_T16;MS_3_T16;MS03;frozen;829433;5427652;49,5;;978,57;2020;261;3;16;Pitfall;25;2;0;2;0;4;0;0;0;0;0;3;8;closed_dry;17,81
167;MS03_T23;MS_3_T23;MS03;frozen;829433;5427652;49,5;;978,57;2020;268;4;23;Pitfall;5;0;15;1;4;5;0;0;0;0;0;4;25;closed_dry;13,99
169;MS03_T30;MS_3_T30;MS03;frozen;829433;5427652;49,5;;978,57;2020;275;5;30;Pitfall;5;0;4;0;0;0;2;0;0;0;0;2;6;closed_dry;7,75
175;MS04_T6;MS_4_T6;MS04;frozen;824311;5427976;64,75;;777,22;2020;273;2;6;Pitfall;5;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;5,94
173;MS04_T4;MS_4_T4;MS04;frozen;824311;5427976;64,75;;777,22;2020;271;2;4;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;4,85
171;MS04_T2;MS_4_T2;MS04;frozen;824311;5427976;64,75;64,75;777,22;2020;269;2;2;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;13,51
177;MS04_T9;MS_4_T9;MS04;frozen;824311;5427976;64,75;;777,22;2020;276;3;9;Pitfall;20;0;2;0;0;0;2;0;0;0;0;2;4;closed_dry;9,35
181;MS04_T16;MS_4_T16;MS04;frozen;824311;5427976;64,75;;777,22;2020;283;4;16;Pitfall;10;0;2;0;0;0;0;0;0;0;0;1;2;closed_dry;8,26
179;MS04_T13;MS_4_T13;MS04;frozen;824311;5427976;64,75;;777,22;2020;280;4;13;Pitfall;30;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;9,12
185;MS04_T30;MS_4_T30;MS04;frozen;824311;5427976;64,75;;777,22;2020;297;5;30;Pitfall;5;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;9,5
183;MS04_T23;MS_4_T23;MS04;frozen;824311;5427976;64,75;;777,22;2020;290;5;23;Pitfall;35;0;0;1;0;0;0;0;0;0;0;1;1;closed_dry;4,74
187;MS05_T2;MS_5_T2;MS05;frozen;823966;5429904;47;47;832,54;2020;289;1;2;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;3,17
201;MS05_T30;MS_5_T30;MS05;frozen;823966;5429904;47;;832,54;2020;317;2;30;Pitfall;5;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;2,64
199;MS05_T23;MS_5_T23;MS05;frozen;823966;5429904;47;;832,54;2020;310;2;23;Pitfall;5;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;6,38
197;MS05_T16;MS_5_T16;MS05;frozen;823966;5429904;47;;832,54;2020;303;2;16;Pitfall;5;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;3,89
195;MS05_T13;MS_5_T13;MS05;frozen;823966;5429904;47;;832,54;2020;300;2;13;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;7,18
193;MS05_T9;MS_5_T9;MS05;frozen;823966;5429904;47;;832,54;2020;296;2;9;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;7,38
191;MS05_T6;MS_5_T6;MS05;frozen;823966;5429904;47;;832,54;2020;293;2;6;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;3,39
189;MS05_T4;MS_5_T4;MS05;frozen;823966;5429904;47;;832,54;2020;291;2;4;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;4,53
203;MS05_T37;MS_5_T37;MS05;frozen;823966;5429904;47;;832,54;2020;324;4;37;Pitfall;200;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;3,09
209;MS05_T58;MS_5_T58;MS05;frozen;823966;5429904;47;;832,54;2020;345;5;58;Pitfall;200;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;0,18
207;MS05_T51;MS_5_T51;MS05;frozen;823966;5429904;47;;832,54;2020;338;5;51;Pitfall;150;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;-4,12
205;MS05_T44;MS_5_T44;MS05;frozen;823966;5429904;47;;832,54;2020;331;5;44;Pitfall;10;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;-2,64
221;MS06_T37;MS_6_T37;MS06;frozen;829900;5425627;43;;778,62;2020;346;2;37;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;-0,48
219;MS06_T30;MS_6_T30;MS06;frozen;829900;5425627;43;;778,62;2020;339;2;30;Pitfall;0;0;0;0;0;0;0;0;0;0;0;0;0;closed_dry;-4,5
