Date,tod,Site,Sample_num,Oligochaeta,Polychaete_Capitella,Polychaete_Simplisetia,Polychaete_Phyllodoce,Polychaete_Australonereis,Polychaete_Boccardiella,Diptera_Chironomid,Diptera_Dolichopodid,Diptera_Ceratopogonid,Ceratopogonid_pupae,Diptera_Stratiomyid,Stratiomyid_pupae,Diptera_Ephydridae,Amphipod,Ostracod,Bivalve_Arthritica,Gastropod_Hydrobia,Gastropod_Salinator,Batillariella_estuarina,Diptera adult,Springtails (Collembola),Empididae,Cafius sp, Hydrophilidae,Micronecta_sp,Pupae_Fly sp,Other
19/10/2021,am,NC1,1,80,4,6,0,0,0,97,4,0,0,0,0,0,276,0,7,0,2,0,0,0,0,0,0,0,0,0
19/10/2021,am,NC1,2,12,0,12,0,0,0,55,5,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0
19/10/2021,am,NC1,3,22,3,21,0,0,0,61,2,0,0,0,0,0,127,0,7,0,0,0,1,0,0,0,0,0,0,0
19/10/2021,am,NC1,4,13,2,12,0,0,0,15,1,0,0,0,0,0,176,0,1,0,0,0,0,0,0,0,0,0,0,0
19/10/2021,am,NC1,5,7,0,10,0,0,0,38,0,0,0,0,0,0,183,0,0,1,0,0,0,0,0,0,0,0,0,0
9/12/2021,am,NC1,1,6,0,13,0,0,0,46,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/2021,am,NC1,2,2,0,15,0,0,1,79,0,0,0,0,0,0,167,0,5,0,0,0,0,0,0,0,0,0,0,0
9/12/2021,am,NC1,3,0,0,41,0,0,0,34,0,0,0,0,0,0,185,0,1,0,0,0,0,0,0,0,0,0,0,0
9/12/2021,am,NC1,4,0,0,28,0,0,0,15,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/2021,am,NC1,5,4,0,16,0,0,0,16,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/2021,pm,NC1,1,3,0,26,0,0,0,67,0,0,0,0,0,0,207,0,2,0,0,0,0,0,0,0,0,0,0,0
9/12/2021,pm,NC1,2,3,0,40,0,0,0,53,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/2021,pm,NC1,3,0,0,25,0,0,0,36,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/2021,pm,NC1,4,6,0,33,0,0,0,47,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/2021,pm,NC1,5,8,0,8,0,0,0,52,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0
10/02/2022,pm,NC1,1,0,0,0,0,0,0,153,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
10/02/2022,pm,NC1,2,0,0,1,0,0,0,152,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10/02/2022,pm,NC1,3,0,0,0,0,0,0,145,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0
10/02/2022,pm,NC1,4,0,0,1,0,0,0,177,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
10/02/2022,pm,NC1,5,0,0,0,0,0,0,167,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
11/02/2022,am,NC1,1,0,0,1,0,0,0,212,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
11/02/2022,am,NC1,2,0,0,1,0,0,0,183,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11/02/2022,am,NC1,3,0,0,0,0,0,0,174,2,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0
11/02/2022,am,NC1,4,0,0,0,0,0,0,194,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
11/02/2022,am,NC1,5,0,0,0,0,0,0,178,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
7/03/2022,am,NC1,1,0,0,0,0,0,0,150,0,0,0,0,0,0,17,0,0,1,0,0,1,0,0,0,0,0,0,0
