Site,Date,Species,Time_sec,Pecks,Probes,Steps,Reason_incomplete,Difficulty
NC3,16/04/2021,REPL,78,22,2,207,NA,Low
NC3,15/06/2021,REPL,78,16,1,130,NA,Medium
NC3,13/06/2021,REPL,71,24,1,304,NA,Low
NC3,15/10/2021,REPL,70,10,1,115,NA,Low
NC3,3/02/2022,REPL,70,6,1,230,NA,Low
NC3,3/02/2022,REPL,70,14,2,165,NA,Low
NC3,4/12/2021,REPL,69,17,4,120,NA,Low
NC3,13/04/2021,REPL,68,23,7,135,NA,Low
NC3,9/03/2022,REPL,68,28,1,104,NA,Low
NC3,13/04/2021,REPL,67,15,5,122,NA,Low
NC3,16/04/2021,REPL,67,16,3,150,NA,Low
NC3,16/04/2021,REPL,67,3,0,126,NA,Medium
NC3,15/06/2021,REPL,66,21,1,103,NA,High
NC3,15/06/2021,REPL,66,21,6,174,NA,Low
NC3,25/08/2021,REPL,66,13,1,106,NA,Low
NC3,20/10/2021,REPL,66,20,1,110,NA,Medium
NC3,9/03/2022,REPL,66,14,2,97,NA,Low
NC3,16/04/2021,REPL,65,13,6,119,NA,Low
NC3,6/12/2021,REPL,65,17,5,95,NA,Low
NC3,6/12/2021,REPL,65,11,2,94,NA,Low
NC3,20/10/2021,REPL,64,34,3,146,NA,Low
NC3,4/12/2021,REPL,64,10,2,128,NA,Low
NC3,20/08/2021,REPL,63,46,4,209,NA,Low
NC3,15/10/2021,REPL,63,25,3,176,NA,Low
NC3,20/10/2021,REPL,63,20,3,93,NA,Low
NC3,20/10/2021,REPL,63,19,2,124,NA,Low
NC3,6/12/2021,REPL,63,21,2,99,NA,Low
NC3,6/12/2021,REPL,63,12,5,109,NA,Low
NC3,3/02/2022,REPL,63,5,0,170,NA,Low
NC3,20/08/2021,REPL,62,15,1,227,NA,Low
NC3,7/02/2022,REPL,62,8,1,150,NA,Low
NC3,7/02/2022,REPL,62,15,1,70,NA,Low
NC3,4/12/2021,REPL,61,16,5,108,NA,Low
NC3,7/02/2022,REPL,61,51,4,100,NA,Low
NC3,7/02/2022,REPL,61,55,2,94,NA,Low
NC3,7/02/2022,REPL,61,9,0,63,NA,Low
NC3,7/02/2022,REPL,61,23,3,104,NA,Low
NC3,7/03/2022,REPL,61,5,1,108,NA,Low
NC3,7/03/2022,REPL,60,13,1,139,NA,Low
NC3,20/08/2021,REPL,53,23,4,200,NA,Low
NC3,3/02/2022,REPL,47,14,1,214,Our of frame,Medium
NC3,9/03/2022,REPL,47,18,3,58,Flew,Low
NC3,6/12/2021,REPL,44,20,4,104,Out of frame,Low
NC3,7/03/2022,REPL,27,3,0,39,Out of frame,Low
NC3,25/08/2021,REPL,23,2,0,34,Out of frame,Low
SL1,13/04/2021,REPL,75,62,5,198,NA,Low
SL1,13/04/2021,REPL,67,43,3,149,NA,Low
SL1,15/06/2021,REPL,66,23,0,255,NA,Low
SL1,13/04/2021,REPL,63,25,3,121,NA,Low
SL1,15/06/2021,REPL,63,30,1,247,NA,Low
SL1,15/06/2021,REPL,62,24,1,215,NA,Low
SL1,8/02/2022,REPL,61,10,0,46,NA,Low
