Date,Site,Temperature,Winddirection,Windspeed,Salinity,MudflatAreaM,ShallowAreaha,Starttime,Endtime,BandedStilt,CommonGreenshank,CommonSandpiper,CurlewSandpiper,DoubleBandedPlover,MaskedLapwing,PiedOystercatcher,PiedStilt,RedcappedPlover,RedneckedAvocet,RedneckedStint,SharptailedSandpiper,SmallShorebird
19/10/2021,NC1,10.7,N,13,0.9,5402,0.4,8:00,8:20,0,1,0,0,0,0,0,0,1,10,0,10,0
9/12/2021,NC1,15.5,SSE,30,0.8,6374,0.38,10:05,10:25,0,0,0,0,0,0,0,0,0,1,0,0,0
9/12/2021,NC1,15.5,SSE,30,0.8,6374,0.38,11:05,11:25,0,0,0,0,0,0,0,0,0,21,0,0,0
10/02/2022,NC1,21.1,S,22.2,0.8,7553,0.68,12:05,12:25,0,2,0,0,0,0,0,0,0,0,0,0,0
10/02/2022,NC1,21.1,S,22.2,0.8,7553,0.68,13:05,13:25,0,1,0,0,0,2,0,0,0,0,0,13,0
11/02/2022,NC1,16.6,E,14.8,0.4,6955,0.7,8:00,8:20,0,0,0,0,0,2,0,0,0,0,0,0,0
11/02/2022,NC1,16.6,E,14.8,0.4,6955,0.7,9:00,9:20,0,0,0,0,0,4,0,0,0,0,0,0,0
7/03/2022,NC1,17,S,18.5,0.3,6881,0.73,8:20,8:40,0,0,0,0,0,2,0,0,0,0,0,0,0
10/03/2022,NC1,18.3,SSE,31.5,0.5,14491,1.13,12:20,12:40,0,0,0,0,0,4,0,0,5,0,10,0,0
12/04/2021,NC2,20,ENE,26,22.9,11462,1.64,13:20,13:40,0,1,0,0,0,2,0,0,0,0,0,0,0
15/04/2021,NC2,18,W,15,19.1,5883,0.03,8:30,8:50,0,1,0,0,0,2,0,0,0,0,0,0,0
11/06/2021,NC2,14,S,20,23.8,4324,0.01,7:45,8:05,0,0,0,0,0,0,0,2,0,0,0,0,0
14/06/2021,NC2,16,NNE,19,24.1,5883,0.03,12:00,12:20,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2021,NC2,21,NNW,26,25.5,3216,0.01,12:45,13:05,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2021,NC2,21,NNW,26,25.5,3216,0.01,13:45,14:05,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2021,NC2,9,SW,11,7.4,2063,0.02,7:30,7:50,0,0,0,0,0,2,0,0,0,0,0,0,0
23/08/2021,NC2,9,SW,11,7.4,2063,0.02,8:25,8:35,0,0,0,0,0,0,0,0,0,0,0,0,0
14/10/2021,NC2,13.9,S,19,7.7,1947,0.03,12:20,12:40,0,0,0,0,0,0,0,0,0,1,0,0,0
14/10/2021,NC2,13.9,S,19,7.7,1947,0.03,13:20,13:40,0,0,1,1,0,0,0,0,0,1,0,3,0
18/10/2021,NC2,19.5,N,6,15.4,2616,0.02,9:45,10:05,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2021,NC2,19.5,N,6,15.4,2616,0.02,10:45,11:05,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2021,NC2,18.8,S,28,5.7,2137,0.03,12:45,13:05,0,0,0,0,0,2,0,0,0,0,0,0,0
3/12/2021,NC2,18.8,S,28,5.7,2137,0.03,13:45,14:05,0,0,0,0,0,2,0,0,0,0,15,3,0
7/12/2021,NC2,15.7,SSW,32,4.5,2833,0.03,8:15,8:35,0,1,0,0,0,0,0,0,1,0,7,2,0
7/12/2021,NC2,15.7,SSW,32,4.5,2833,0.03,9:15,9:35,0,0,0,0,0,0,0,0,1,0,9,4,0
4/02/2022,NC2,16.9,ESE,35.2,4.4,3171,0.02,8:45,9:05,0,0,0,0,0,1,0,0,0,0,0,1,0
4/02/2022,NC2,16.9,ESE,35.2,4.4,3171,0.02,9:45,10:05,0,0,0,0,0,0,0,0,0,0,0,0,0
6/02/2022,NC2,30,NE,24.1,4.3,4998,0.02,13:10,13:30,0,0,0,0,0,0,0,0,0,0,0,0,0
6/02/2022,NC2,30,NE,24.1,4.3,4998,0.02,14:10,14:30,0,0,0,0,0,0,0,0,0,0,0,0,0
7/03/2022,NC2,17.8,S,22.2,3.1,4999,0.04,10:45,11:05,0,1,0,0,0,0,0,0,0,0,0,0,0
10/03/2022,NC2,18.9,SSE,33.3,4.5,6033,0.03,14:30,14:50,0,0,0,0,0,1,0,0,0,0,0,0,0
10/03/2022,NC2,18.9,SSE,33.3,4.5,6033,0.03,15:30,15:50,0,0,0,0,0,2,0,0,0,0,0,0,0
13/04/2021,NC3,16,NNE,26,50,120353,4.94,7:30,7:50,0,0,0,0,0,0,0,0,10,0,613,0,0
16/04/2021,NC3,18,SSE,19,40.7,68663,2.8,13:30,13:50,0,0,0,0,0,0,0,0,51,0,48,0,0
13/06/2021,NC3,8,N,11,73.6,83844,4.3,7:30,7:50,18,0,0,0,0,0,0,0,4,12,24,0,0
15/06/2021,NC3,18,NE,17,73.4,100364,5.52,12:00,12:20,0,0,0,0,0,2,0,0,3,0,1,0,0
20/08/2021,NC3,15,WNW,17,57,24339,1.34,7:20,7:40,0,0,0,0,0,1,0,0,6,1,0,0,0
20/08/2021,NC3,15,WNW,17,57,24339,1.34,8:20,8:40,0,0,0,0,0,0,0,0,10,0,0,0,0
25/08/2021,NC3,11,SSW,22,49.8,17493,1.68,12:30,12:50,0,0,0,0,0,1,0,0,10,0,7,0,0
25/08/2021,NC3,11,SSW,22,49.8,17493,1.68,13:30,13:50,0,0,0,1,0,0,0,0,15,0,78,0,0
15/10/2021,NC3,14.2,SW,30,67.9,12226,2.31,14:00,14:20,0,0,0,0,0,0,0,0,2,0,42,0,14
15/10/2021,NC3,14.2,SW,30,67.9,12226,2.31,15:00,15:20,0,1,0,0,0,0,0,0,9,0,20,0,0
20/10/2021,NC3,14.2,NNE,37,75.4,54446,2.75,8:40,9:00,0,0,0,0,0,2,0,0,22,0,14,0,0
20/10/2021,NC3,14.2,NNE,37,75.4,54446,2.75,9:40,10:00,0,0,0,8,0,0,0,0,10,0,62,0,0
4/12/2021,NC3,20,S,28,85.6,46305,1.92,12:50,13:10,0,0,0,1,0,0,0,0,34,0,117,14,0
4/12/2021,NC3,20,S,28,85.6,46305,1.92,14:00,14:20,0,0,0,3,0,0,0,0,23,0,72,27,0
6/12/2021,NC3,19.7,SSW,22,90,53878,1.76,10:50,11:10,0,0,0,0,0,2,0,0,55,0,56,10,0
6/12/2021,NC3,19.7,SSW,22,90,53878,1.76,11:50,12:10,0,1,0,0,0,0,0,0,34,0,76,6,0
3/02/2022,NC3,19.4,S,29.6,69.7,64805,1.14,14:20,14:40,0,0,0,0,0,0,0,0,88,0,15,0,0
3/02/2022,NC3,19.4,S,29.6,69.7,64805,1.14,15:20,15:40,0,0,0,0,0,0,0,0,19,0,0,0,0
7/02/2022,NC3,23.3,ENE,25.9,89.3,128483,6.47,8:05,8:25,0,0,0,0,0,2,0,0,54,0,10,0,0
7/02/2022,NC3,23.3,ENE,25.9,89.3,128483,6.47,9:05,9:25,0,0,0,0,0,2,0,0,44,0,178,0,0
7/03/2022,NC3,19,S,31.5,56,65480,1.86,13:20,13:40,0,0,0,0,0,0,0,0,25,0,22,0,0
7/03/2022,NC3,19,S,31.5,56,65480,1.86,14:20,14:40,0,0,0,0,0,0,0,0,29,0,31,0,0
9/03/2022,NC3,16,SSE,38.9,79.6,86645,3.12,8:40,9:00,0,0,0,0,1,0,0,0,29,0,0,0,0
9/03/2022,NC3,16,SSE,38.9,79.6,86645,3.12,9:40,10:00,0,0,0,0,0,0,0,0,24,0,0,0,0
14/04/2021,SC,17,W,32,112.1,26431,2.04,13:20,13:40,0,4,0,0,0,0,0,0,0,0,0,0,0
17/04/2021,SC,10,NNW,4,44.3,21435,2.93,7:35,7:55,0,5,0,0,0,2,0,0,12,0,47,0,0
10/06/2021,SC,16,S,28,87.1,16513,3.43,14:20,14:40,0,0,0,0,0,0,0,0,0,0,0,0,0
15/06/2021,SC,12,NE,19,70.3,12640,3.97,7:15,7:35,0,0,0,0,0,2,0,1,4,0,2,0,0
22/08/2021,SC,9,N,19,21.8,831,0.09,7:40,8:00,0,1,0,0,0,2,0,0,0,0,0,0,0
22/08/2021,SC,9,N,19,21.8,831,0.09,8:40,9:00,0,0,0,0,0,0,0,0,0,0,0,0,0
27/08/2021,SC,15,NNW,4,5.4,1206,0.06,13:00,13:20,0,0,0,0,0,3,0,0,0,0,0,0,0
27/08/2021,SC,15,NNW,4,5.4,1206,0.06,14:10,14:30,0,0,0,0,0,0,0,0,0,0,0,0,0
13/10/2021,SC,13.1,NNE,9,28.6,1012,0.12,13:00,13:20,0,1,0,0,0,2,0,0,0,0,0,0,0
13/10/2021,SC,13.1,NNE,9,28.6,1012,0.12,14:00,14:20,0,0,0,0,0,0,2,0,0,0,0,0,0
17/10/2021,SC,10.3,NNE,4,15,1000,0.11,8:15,8:35,0,1,1,0,0,1,0,0,0,0,0,0,0
17/10/2021,SC,10.3,NNE,4,15,1000,0.11,9:15,9:35,0,1,0,0,0,1,1,0,0,0,0,0,0
5/12/2021,SC,13.7,ESE,17,66.1,20842,3.62,7:40,8:00,0,1,0,0,0,1,0,0,0,0,0,0,0
5/12/2021,SC,13.7,ESE,17,66.1,20842,3.62,8:50,9:10,0,0,1,0,0,2,0,0,2,0,4,0,0
8/12/2021,SC,16.3,SSE,39,14.4,31360,0.05,12:00,12:20,0,0,0,0,0,2,0,0,0,0,0,0,0
8/12/2021,SC,16.3,SSE,39,14.4,31360,0.05,13:00,13:20,0,0,0,0,0,0,0,0,2,0,0,0,0
2/02/2022,SC,16,SE,31.5,95.2,43226,1.1,8:20,8:40,0,0,0,0,0,1,0,0,0,0,0,0,0
2/02/2022,SC,16,SE,31.5,95.2,43226,1.1,9:20,9:40,0,0,0,0,0,2,0,0,0,0,0,0,0
5/02/2022,SC,19.7,SSE,25.9,18.6,50156,0.79,12:10,12:30,0,0,0,0,0,0,0,0,0,0,0,0,0
5/02/2022,SC,19.7,SSE,25.9,18.6,50156,0.79,13:10,13:30,0,0,0,0,0,0,0,0,0,0,0,0,0
8/03/2022,SC,18.6,S,55.5,102.3,73316,0.27,15:30,15:50,0,0,0,0,0,0,0,0,0,0,0,0,0
8/03/2022,SC,18.6,S,55.5,102.3,73316,0.27,16:30,16:50,0,0,0,0,0,0,0,0,0,0,0,0,0
11/03/2022,SC,15.4,E,13,103.3,57977,0.28,9:05,9:25,0,10,0,0,0,0,0,0,2,0,6,0,0
13/04/2021,SL1,19,NNW,35,60.2,21608,2.47,12:00,12:20,0,0,0,0,0,0,0,0,8,0,12,0,0
16/04/2021,SL1,15,N,13,48.1,21608,2.47,10:35,10:55,0,0,0,0,0,0,0,0,0,0,1,0,0
12/06/2021,SL1,15,NNW,7,30.8,41477,1.55,16:15,16:35,39,0,0,0,0,0,0,0,0,0,0,0,0
15/06/2021,SL1,12,NNE,15,26.1,41477,1.55,9:45,10:05,0,0,0,0,0,0,0,0,6,0,0,0,0
20/08/2021,SL1,17,NW,24,55.6,647,0.05,12:40,13:00,0,0,0,0,0,0,0,0,0,0,0,0,0
20/08/2021,SL1,17,NW,24,55.6,647,0.05,13:40,14:00,0,0,0,0,0,0,0,0,0,0,0,0,0
24/08/2021,SL1,11,S,26,56,297,0.09,8:00,8:20,0,0,0,0,0,0,0,0,0,0,0,0,0
24/08/2021,SL1,11,S,26,56,297,0.09,9:00,9:20,0,0,0,0,0,0,0,0,0,0,0,0,0
14/10/2021,SL1,12.3,N,13,83.1,333,0.07,9:00,9:20,3,0,0,0,0,0,0,0,0,16,0,0,0
14/10/2021,SL1,12.3,N,13,83.1,333,0.07,10:00,10:20,1,0,1,0,0,0,0,0,0,1,0,0,0
18/10/2021,SL1,17,S,28,82.5,876,0.02,13:30,13:50,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2021,SL1,17,S,28,82.5,876,0.02,14:30,14:50,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2021,SL1,16.5,N,6,86,8730,3.34,8:10,8:30,0,0,0,0,0,0,0,0,0,3,0,5,0
3/12/2021,SL1,16.5,N,6,86,8730,3.34,9:10,9:30,0,0,0,2,0,0,0,0,0,4,460,5,0
7/12/2021,SL1,17.6,SSW,33,127.4,7758,2.82,12:00,12:20,0,0,0,0,0,0,0,0,0,0,112,4,0
7/12/2021,SL1,17.6,SSW,33,127.4,7758,2.82,13:00,13:20,0,0,0,0,0,0,0,0,0,1,108,2,0
3/02/2022,SL1,16.9,SSE,38.9,127.4,28736,2.11,7:45,8:05,0,0,0,0,0,2,0,0,6,0,7,0,0
3/02/2022,SL1,16.9,SSE,38.9,127.4,28736,2.11,8:45,9:05,0,0,0,0,0,0,0,0,0,0,0,0,0
8/02/2022,SL1,32.2,N,20.4,82.3,NA,,13:20,13:40,0,0,0,0,0,0,0,0,13,0,0,0,0
8/02/2022,SL1,32.2,N,20.4,82.3,NA,,14:20,14:40,0,0,0,0,0,0,0,0,17,0,2,0,0
6/03/2022,SL1,19,S,37,66.8,0,0.06,16:30,16:50,0,0,0,0,0,0,0,0,0,0,0,0,0
6/03/2022,SL1,19,S,37,66.8,0,0.06,17:30,17:50,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2022,SL1,13.9,E,18.5,67.8,37704,1.56,8:30,8:50,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2022,SL1,13.9,E,18.5,67.8,37704,1.56,9:30,9:50,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/2021,SL2,23,NNW,29,95.5,72372,1.98,13:50,14:30,76,0,0,0,0,0,0,0,3,58,21,0,0
16/04/2021,SL2,12,E,13,72.8,41936,2.07,7:50,8:10,0,0,0,0,0,0,0,0,6,7,16,0,0
12/06/2021,SL2,15,NW,13,68.2,7005,0.64,13:30,13:50,3,0,0,0,0,0,0,0,3,35,22,0,0
16/06/2021,SL2,13,NW,28,74.6,34315,1.98,10:00,10:20,0,0,0,0,0,0,0,0,0,0,0,0,0
21/08/2021,SL2,10,NNW,15,60.3,1640,0.02,7:50,8:10,0,0,0,0,0,0,0,0,1,0,7,0,0
21/08/2021,SL2,10,NNW,15,60.3,1640,0.02,8:50,9:10,0,0,0,0,0,0,0,0,1,0,10,0,0
23/08/2021,SL2,12,SSW,19,57.9,1574,0.38,13:00,13:20,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2021,SL2,12,SSW,19,57.9,1574,0.38,14:00,14:20,0,0,0,0,0,0,0,0,0,0,2,0,0
16/10/2021,SL2,15.4,SSW,26,78.9,1063,0.05,13:45,14:05,0,0,0,0,0,0,1,0,0,0,0,0,0
16/10/2021,SL2,15.4,SSW,26,78.9,1063,0.05,15:10,15:30,0,0,0,0,0,0,1,0,0,0,0,0,0
21/10/2021,SL2,16.9,WNW,19,82.5,4384,0.09,8:30,8:50,0,0,0,0,0,0,0,0,1,1,184,0,0
21/10/2021,SL2,16.9,WNW,19,82.5,4384,0.09,9:30,9:50,0,0,0,0,0,0,0,0,1,0,297,1,0
5/12/2021,SL2,17.8,SSE,30,91.9,13610,0.61,14:10,14:30,0,0,0,0,0,0,0,0,2,9,149,0,0
5/12/2021,SL2,17.8,SSE,30,91.9,13610,0.61,15:10,15:30,0,0,0,0,0,0,0,0,0,0,46,0,0
8/12/2021,SL2,15,SSE,37,89,16420,0.34,8:30,8:50,0,0,0,0,0,0,0,0,13,0,276,2,0
8/12/2021,SL2,15,SSE,37,89,16420,0.34,9:30,9:50,0,0,0,0,0,0,0,0,35,0,153,4,0
5/02/2022,SL2,17.9,ESE,20.4,95.8,67447,2.64,8:40,9:00,0,0,0,0,0,1,0,0,152,0,125,0,0
5/02/2022,SL2,17.9,ESE,20.4,95.8,67447,2.64,9:40,10:00,0,0,0,0,0,0,0,0,137,0,42,0,0
7/02/2022,SL2,32.9,ENE,35.2,100.7,85105,2.11,14:00,14:20,0,0,0,10,0,1,0,0,12,0,868,0,0
7/02/2022,SL2,32.9,ENE,35.2,100.7,85105,2.11,15:00,15:20,0,0,0,8,0,1,0,0,8,0,730,0,0
8/03/2022,SL2,16.6,SSE,42.6,81.7,25593,0.6,7:20,7:40,0,0,0,0,0,0,0,0,0,0,0,0,0
8/03/2022,SL2,16.6,SSE,42.6,81.7,25593,0.6,8:20,8:40,0,0,0,0,0,0,0,0,12,0,0,0,0
9/03/2022,SL2,18.4,SE,40.8,92.6,38484,1.54,12:15,12:35,1,0,0,0,0,0,0,0,6,0,1,0,0
9/03/2022,SL2,18.4,SE,40.8,92.6,38484,1.54,13:15,13:35,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/2021,SL3,18,WSW,26,100.1,22577,0.01,9:00,9:20,0,1,0,0,0,3,0,0,6,0,16,0,0
17/04/2021,SL3,18,S,13,96.8,16090,1.1,12:00,12:20,0,0,0,0,0,3,0,0,1,0,0,0,0
