"WDPAID,""NAME"",""REP_AREA"",""STATUS_YR"",""GOV_TYPE"",""MANG_PLAN"",""ISO3"",""REGION"",""AVERAGE_VIEWS"",""DEGAZETTE"",""DOWNGRADE"",""DOWNSIZE"",""wikidata_url"",""wikidata_id"",""AGRILAND"",""POPDENSITY"",""BUILTUP"",""ROAD"",""GPI2020"",""EXTERNALINTERV"",""TOURISM"",""GDP"""
"756,""Aberdare"",765.7,1950,""Federal or national ministry or agency"",""Not Reported"",""KEN"",""East Africa"",35.1787234042553,0,0,0,""https://www.wikidata.org/wiki/ Q319356"",""Q319356"",82.4,261.5,0.2,32,2.395,2.05,2.93,3.88"
"2279,""Abijatta-Shalla"",887,1963,""Federal or national ministry or agency"",""Not Reported"",""ETH"",""East Africa"",14.9003039513678,0,0,0,""https://www.wikidata.org/wiki/ Q321200"",""Q321200"",99.2,420.7,0.2,5.2,2.507,3.95,4.81,4.91"
"875,""Addo-Elephant National Park"",1377.42356731,1931,""Federal or national ministry or agency"",""Not Reported"",""ZAF"",""Austral Africa"",86.3623100303951,2,0,4,""https://www.wikidata.org/wiki/ Q353318"",""Q353318"",NA,NA,NA,NA,2.321,2.15,1.4,4.38"
"301881,""Agulhas National Park"",201.308612853,1999,""Federal or national ministry or agency"",""Not Reported"",""ZAF"",""Austral Africa"",8.69300911854103,0,0,0,""https://www.wikidata.org/wiki/ Q398525"",""Q398525"",14.6,6.7,0.7,16.8,2.321,2.15,1.4,4.38"
"8785,""Ai-Ais Hot Springs"",4354,2002,""Federal or national ministry or agency"",""Not Reported"",""NAM"",""Austral Africa"",5.11707317073171,0,0,0,""https://www.wikidata.org/wiki/ Q394749"",""Q394749"",0,0.4,0,3.9,1.845,4.07,4.51,4.97"
"862,""Akagera"",1121.93,1934,""Federal or national ministry or agency"",""Not Reported"",""RWA"",""East Africa"",24.1641337386018,0,0,1,""https://www.wikidata.org/wiki/ Q116715"",""Q116715"",23.6,81.2,0.1,8.3,1.99,3.51,4.61,4.93"
"72320,""Akanda"",411,2002,""Federal or national ministry or agency"",""Reported & Existent"",""GAB"",""Central Africa"",5.23343465045593,0,0,0,""https://www.wikidata.org/wiki/ Q3105583"",""Q3105583"",0.5,34.6,0.3,4.6,2.096,2.71,4.86,4.14"
"342654,""Alitash"",2665.7,2006,""Federal or national ministry or agency"",""Not Reported"",""ETH"",""East Africa"",NA,0,0,0,""https://www.wikidata.org/wiki/ Q15051136"",""Q15051136"",4.5,46.4,0,3.2,2.507,3.95,4.81,4.91"
"20268,""Altos de Nsork"",700,2000,""Not Reported"",""Reported & Absent"",""GNQ"",""Central Africa"",1.71185410334347,0,0,0,""https://www.wikidata.org/wiki/ Q4736972"",""Q4736972"",0,23.6,0,8.2,1.775,2.98,4.36,4.55"
"758,""Amboseli"",392,1974,""Federal or national ministry or agency"",""Not Reported"",""KEN"",""East Africa"",100.666261398176,0,1,4,""https://www.wikidata.org/wiki/ Q458423"",""Q458423"",5.6,30.7,0,6.9,2.395,2.05,2.93,3.88"
"5021,""Analamazaotra"",26.53355,1970,""Not Reported"",""Not Reported"",""MDG"",""Austral Africa"",NA,0,0,0,""https://www.wikidata.org/wiki/ Q3457626"",""Q3457626"",NA,NA,NA,NA,1.905,2.23,3.51,2.5"
"2303,""Andohahela"",872.0592,1939,""Not Reported"",""Not Reported"",""MDG"",""Austral Africa"",7.81641337386018,0,0,0,""https://www.wikidata.org/wiki/ Q1968746"",""Q1968746"",1.3,31.8,0,8.9,1.905,2.23,3.51,2.5"
"2258,""Andre Felix"",951.93,1960,""Not Reported"",""Not Reported"",""CAF"",""Central Africa"",1.92887537993921,0,0,0,""https://www.wikidata.org/wiki/ Q937596"",""Q937596"",0,0,0,4.5,3.072,4.78,4.98,4.97"
"2308,""Andringitra"",538.17053,1927,""Not Reported"",""Not Reported"",""MDG"",""Austral Africa"",10.8048632218845,0,0,0,""https://www.wikidata.org/wiki/ Q1116933"",""Q1116933"",4.2,45.2,0,7.3,1.905,2.23,3.51,2.5"
"1299,""Ankarafantsika"",1695.32808,1927,""Not Reported"",""Not Reported"",""MDG"",""Austral Africa"",10.7465045592705,0,0,0,""https://www.wikidata.org/wiki/ Q1936476"",""Q1936476"",24.9,123.1,0,12.4,1.905,2.23,3.51,2.5"
"29801,""Arabuko Sokoke"",6,1990,""Federal or national ministry or agency"",""Not Reported"",""KEN"",""East Africa"",14.136170212766,0,0,0,""https://www.wikidata.org/wiki/ Q624443"",""Q624443"",11.3,164.2,0,12.8,2.395,2.05,2.93,3.88"
"925,""Arusha National Park"",111.782167411,1960,""Federal or national ministry or agency"",""Not Reported"",""TZA"",""East Africa"",35.9428571428571,0,0,0,""https://www.wikidata.org/wiki/ Q716801"",""Q716801"",45.9,564,0,16.7,1.854,2.88,4.75,4.92"
"878,""Augrabies Falls National Park"",482.538977696,1966,""Federal or national ministry or agency"",""Not Reported"",""ZAF"",""Austral Africa"",19.9082066869301,0,0,7,""https://www.wikidata.org/wiki/ Q760459"",""Q760459"",2.9,7.9,1.1,17.2,2.321,2.15,1.4,4.38"
"652,""Awash"",590,1969,""Federal or national ministry or agency"",""Not Reported"",""ETH"",""East Africa"",35.4018237082067,0,0,0,""https://www.wikidata.org/wiki/ Q791635"",""Q791635"",11.7,152.6,0.1,11.2,2.507,3.95,4.81,4.91"
"7522,""Azagny National Park"",194,1981,""Government-delegated management"",""Reported & Existent"",""CIV"",""Western Africa"",4.35866261398176,0,0,0,""https://www.wikidata.org/wiki/ Q3091738"",""Q3091738"",1.8,88.4,1,3.6,2.129,4.74,4.92,4.96"
"29069,""Badiar"",382,1985,""Not Reported"",""Not Reported"",""GIN"",""Western Africa"",2.50578210590383,0,0,0,""https://www.wikidata.org/wiki/ Q3364507"",""Q3364507"",21.9,0,0,17.9,2.032,2.49,4.38,4.45"
"2337,""Badingilo"",16000,1986,""Federal or national ministry or agency"",""Reported & Existent"",""SSD"",""East Africa"",7,0,0,0,""https://www.wikidata.org/wiki/ Q2706891"",""Q2706891"",0.4,77.8,0.2,5.2,3.287,4.76,4.96,4.89"
"303698,""Baie de Baly"",1254.05374,1997,""Not Reported"",""Not Reported"",""MDG"",""Austral Africa"",4.85227963525836,0,0,0,""https://www.wikidata.org/wiki/ Q1968753"",""Q1968753"",2.2,45.6,0,8.3,1.905,2.23,3.51,2.5"
"555547998,""Bakossi"",293.2,2007,""Federal or national ministry or agency"",""Reported & Absent"",""CMR"",""Central Africa"",2.07294832826748,0,0,0,""https://www.wikidata.org/wiki/ Q4849511"",""Q4849511"",0.1,36.1,0.3,10.3,2.645,3.81,4.76,4.84"
"2281,""Bale Mountains"",215,1969,""Federal or national ministry or agency"",""Not Reported"",""ETH"",""East Africa"",44.7756838905775,0,0,0,""https://www.wikidata.org/wiki/ Q804881"",""Q804881"",64,90.2,0,5.6,2.507,3.95,4.81,4.91"
