"","respond_id","consent","age18","attempt_us","attempt_ca","gas_cost_new","airfare_cost_new","meal_cost_new","lodging_cost_new","age","gender","gender_other","race","marital_status","marital_status_other","employment_status","date_text","location_attempt","home_zip","minutes_observed","accomodation_location","carpool","carpool_count","overnight","overnight_count","hourly_wage","years_birding","how_many_other_birders_1","how_many_other_birders_2","how_many_other_birders_3","location_attempt_sep","respond_id_count","attempt_lat","attempt_lng","home_lat","home_lng","travel_time_sec","travel_dist_meter","ebird","twitter","donation5","donation25","donation50","donation75","donation100","donation200","highest_education","automobile_operating_cost","opp_cost_time","total_travel_cost","total_travel_cost_time"
"1",13289107017,"I agree, start questionnaire","Yes","Yes","No",30,0,200,135,"65+","Woman",NA,"White or Caucasian","Married",NA,"Retired","Jan-13-2022","Boothbay Harbor, Maine","04609",90,"Boothbay Harbor, Maine, USA","Yes",2,"Yes",1,NA,62,50,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.4,-68.3,9346,179513,"No","No","Yes","No","No","No","No","No","Master's degree or equivalent",1.4210704683994,42.7313420380131,366.421070468399,409.152412506413
"2",13289107913,"I agree, start questionnaire","Yes","Yes","No",30,0,0,0,"65+","Man",NA,"White or Caucasian","Married",NA,"Retired","Jan-13-2022","Boothbay Harbor, Maine","04901",300,NA,"Yes",4,"No",0,NA,12,30,"55","150","Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.6,-69.6,4775,98888,"Yes","No","Yes","No","No","No","No","No","Master's degree or equivalent",0.7828225057744,21.8320306260981,30.7828225057744,52.6148531318725
"3",13289113338,"I agree, start questionnaire","Yes","Yes","No",20,0,0,0,"25-34","Man",NA,"White or Caucasian","Single",NA,"Employed - full time","Jan-00-1900","Boothbay Harbor, Maine","04915",80,NA,"No",0,"No",0,"16",1,20,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.5,-69.1,5340,101571,"Yes","No","Yes","No","No","No","No","No","Bachelor's degree or equivalent",0.8040618147198,24.4152970771442,20.8040618147198,45.219358891864
"4",13289142469,"I agree, start questionnaire","Yes","Yes","No",120,0,250,320,"65+","Man",NA,"White or Caucasian","Married",NA,"Retired","Jan-00-1900","Boothbay Harbor, Maine","13066",NA,"Boothbay Harbor, Maine, USA","No",0,"Yes",2,NA,50,35,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,43.04,-76,26438,738637,"Yes","No","Yes","Yes","Yes","No","No","No","Doctoral degree or equivalent",5.8472379580706,120.878581296917,695.847237958071,816.725819254988
"5",13289142701,"I agree, start questionnaire","Yes","Yes","No",0,0,0,0,"45-54","Woman",NA,"White or Caucasian","Married",NA,"Self-employed","Jan-00-1900","4554","04554",NA,NA,"No",0,"No",0,"200",2,40,"15","4","04554",1,43.87,-69.51,43.87,-69.51,0,0,"No","No","Yes","Yes","Yes","No","No","No","Doctoral degree or equivalent",0,0,0,0
"6",13289153059,"I agree, start questionnaire","Yes","Yes","No",300,0,280,238,"55-64","Woman",NA,"White or Caucasian","Married",NA,"Employed - part time","Jan-02-2022","Georgetown, Maine","19006",53,"4101","Yes",2,"Yes",2,NA,17,100,NA,NA,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,40.13,-75.05,33640,940168,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Master's degree or equivalent",7.4426085026384,153.807227279987,825.442608502638,979.249835782626
"7",13289153317,"I agree, start questionnaire","Yes","Yes","No",56,0,0,0,"65+","Woman",NA,"White or Caucasian","Single",NA,"Retired","Jan-23-2022","4576","04901",120,NA,"Yes",2,"No",0,"0",0,100,"40",NA,"04576",1,43.82,-69.67,44.6,-69.6,4988,104777,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","Doctoral degree or equivalent",0.8294413244026,22.8058992173774,56.8294413244026,79.63534054178
"8",13289165345,"I agree, start questionnaire","Yes","Yes","No",0,0,65,100,"25-34","Other",NA,"White or Caucasian","Married",NA,"Employed - full time","Jan-08-2022","Boothbay Harbor, Maine","11215",60,"Freeport, Maine, USA","Yes",2,"Yes",1,"85",5,60,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,40.67,-73.98,22714,600601,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Master's degree or equivalent",4.7545099485338,103.851883485066,169.754509948534,273.6063934336
"9",13289172174,"I agree, start questionnaire","Yes","Yes","No",80,0,150,330,"45-54","Man",NA,"White or Caucasian","Single",NA,"Employed - full time","Jan-15-2022","4538","19446",75,"4556","Yes",2,"Yes",2,"80",7,50,NA,NA,"04538",1,43.85,-69.63,40.23,-75.29,27292,756665,"Yes","No","Yes","Yes","No","No","No","No","Master's degree or equivalent",5.989952181577,124.783199968056,565.989952181577,690.773152149633
"10",13289177656,"I agree, start questionnaire","Yes","Yes","No",40,0,15,0,"65+","Woman",NA,"White or Caucasian","Married",NA,"Retired","Jan-00-1900","Boothbay Harbor, Maine","01985",120,NA,"No",0,"No",0,NA,10,50,"200",NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,42.79,-70.97,8354,214096,"No","No","Yes","Yes","No","No","No","No","Bachelor's degree or equivalent",1.6948382735648,38.1957662513975,56.6948382735648,94.8906045249623
"11",13289179255,"I agree, start questionnaire","Yes","Yes","No",100,0,100,0,"45-54","Woman",NA,"White or Caucasian","Single",NA,"Self-employed","Jan-15-2022","4575","02481",160,"4575","No",0,"Yes",3,"500",0,0,"100","0","04575",1,43.849,-69.643,42.32,-71.26,10539,284231,"No","No","Yes","Yes","Yes","Yes","Yes","No","Master's degree or equivalent",2.2500447338278,48.1859205797796,202.250044733828,250.435965313607
"12",13289180335,"I agree, start questionnaire","Yes","Yes","No",50,0,30,0,"55-64","Man",NA,"White or Caucasian","Married",NA,"Retired","Jan-00-1900","Boothbay Harbor, Maine","01930",180,NA,"Yes",2,"No",0,NA,6,100,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,42.63,-70.69,10234,261831,"Yes","No","Yes","Yes","Yes","No","No","No","Master's degree or equivalent",2.0727206487078,46.7914139115157,82.0727206487078,128.864134560224
"13",13289188067,"I agree, start questionnaire","Yes","Yes","No",40,0,50,110,"18-24","Man",NA,"White or Caucasian","Single",NA,"Employed - full time","Jan-00-1900","Boothbay Harbor, Maine","06511",0,"4072","No",0,"Yes",1,"15",5,150,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.31,-72.94,17261,474191,"Yes","No","Yes","Yes","Yes","Yes","Yes","No","Master's degree or equivalent",3.7538163056758,78.9199331177128,203.753816305676,282.673749423389
"14",13289192822,"I agree, start questionnaire","Yes","Yes","No",50,0,0,0,"35-44","Other",NA,"White or Caucasian","Married",NA,"Employed - full time","Jan-00-1900","Boothbay Harbor, Maine","04612",360,NA,"Yes",2,"No",0,NA,4,250,"100","150","Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.25,-68.38,10301,194789,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Master's degree or equivalent",1.5419991614482,47.0977481632327,51.5419991614482,98.6397473246809
"15",13289199735,"I agree, start questionnaire","Yes","Yes","No",15,550,225,150,"55-64","Man",NA,"White or Caucasian","Single",NA,"Self-employed","Jan-22-2022","Boothbay Harbor, Maine","21117",360,"Boothbay Harbor, Maine, USA","Yes",3,"Yes",2,"75",7,200,"400",NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,39.43,-76.8,32428,917710,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Bachelor's degree or equivalent",7.264825274798,148.265777831017,947.264825274798,1095.53060310582
"16",13289209637,"I agree, start questionnaire","Yes","Yes","No",55,0,10,0,"25-34","Man",NA,"White or Caucasian","Single",NA,"Student","Jan-16-2022","Boothbay Harbor, Maine","06340",30,NA,"No",0,"No",0,"12",10,200,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,41.35,-72.04,15993,435860,"Yes","No","Yes","Yes","No","No","No","No","Bachelor's degree or equivalent",3.450378381268,73.1224431001437,68.450378381268,141.572821481412
"17",13289229530,"I agree, start questionnaire","Yes","Yes","No",10,0,100,0,"35-44","Woman",NA,"White or Caucasian","Married",NA,"Employed - part time","Jan-23-2022","4538","04576",20,NA,"Yes",3,"No",0,"28",10,4,"0","100","04538",1,43.85,-69.63,43.82,-69.67,678,8104,"No","No","No","No","No","No","No","No","Bachelor's degree or equivalent",0.0641533207952,3.09991974125539,110.064153320795,113.164073062051
"18",13289232386,"I agree, start questionnaire","Yes","Yes","No",45,300,30,0,"35-44","Man",NA,"White or Caucasian","Single",NA,"Employed - full time","Jan-14-2022","Boothbay Harbor, Maine","08854",90,NA,"No",0,"No",0,"63",4,40,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,40.55,-74.46,23760,651440,"Yes","Yes","Yes","Yes","Yes","No","No","No","Bachelor's degree or equivalent",5.156964375472,108.63435553426,380.156964375472,488.791319909732
"19",13289259218,"I agree, start questionnaire","Yes","Yes","No",30,0,0,0,"25-34","Man",NA,"White or Caucasian","Single",NA,"Employed - full time","Dec-20-2021","Dighton, Massachusetts","01453",53,NA,"No",0,"No",0,"25",1.5,15,"200","30","Dighton, Massachusetts, USA",1,NA,NA,42.52,-71.77,58838,1747141,"Yes","No","Yes","Yes","No","No","No","No","High School",13.8308115803858,269.016338843635,43.8308115803858,312.847150424021
"20",13289267241,"I agree, start questionnaire","Yes","Yes","No",90,0,35,0,"35-44","Woman",NA,"White or Caucasian","Married",NA,"Self-employed","Dec-31-2021","Georgetown, Maine","04631",90,"Pownal, Maine, USA","Yes",2,"Yes",1,"25",12,150,NA,NA,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,44.92,-67.02,4869,104482,"Yes","No","Yes","Yes","Yes","Yes","Yes","No","Master's degree or equivalent",0.8271060295316,22.261813009104,125.827106029532,148.088919038636
"21",13289289649,"I agree, start questionnaire","Yes","Yes","No",150,0,15,0,"25-34","Man",NA,"White or Caucasian","Single",NA,"Employed - part time","Jan-02-2022","Five Islands, Maine","02155",180,NA,"No",0,"No",0,"16",11,65,"100",NA,"Five Islands, Maine, USA",1,43.8239716,-69.7111565,42.42,-71.11,9023,245748,"Yes","Yes","Yes","No","No","No","No","No","Bachelor's degree or equivalent",1.9454035388424,41.2545366155566,166.945403538842,208.199940154399
"22",13289292542,"I agree, start questionnaire","Yes","Yes","No",10,0,40,0,"65+","Woman",NA,"White or Caucasian","Married",NA,"Retired","Jan-08-2022","Boothbay Harbor, Maine","04011",60,NA,"Yes",2,"No",NA,NA,20,30,"100","200","Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,43.9,-70,2963,54951,"No","No","Yes","Yes","Yes","No","No","No","Master's degree or equivalent",0.4350060625638,13.5472893707076,50.4350060625638,63.9822954332714
"23",13289295716,"I agree, start questionnaire","Yes","Yes","No",40,0,0,0,"55-64","Woman",NA,"White or Caucasian","Single",NA,"Employed - part time","Dec-31-2021","Georgetown, Maine","04096",120,NA,"Yes",2,"No",0,"30",13,300,"40","200","Georgetown, Maine, USA",1,44.6353544,-67.8258338,43.79,-70.16,11080,289810,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Bachelor's degree or equivalent",2.294209513778,50.6594553585689,42.294209513778,92.9536648723469
"24",13289295902,"I agree, start questionnaire","Yes","Yes","No",100,0,0,0,"35-44","Man",NA,"White or Caucasian","Single",NA,"Employed - full time","Jan-16-2022","Boothbay Harbor, Maine","05354",30,NA,"No",0,"No",0,"28",37,200,"150",NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,42.78,-72.51,14573,376075,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Master's degree or equivalent",2.977105147835,66.6299858249481,102.977105147835,169.607090972783
"25",13289298215,"I agree, start questionnaire","Yes","Yes","No",40,0,0,0,"35-44","Man",NA,"White or Caucasian","Single",NA,"Employed - full time","Dec-31-2021","Five Islands, Maine","23231",45,NA,"Yes",2,"No",0,"100",25,100,NA,NA,"Five Islands, Maine, USA",1,43.8239716,-69.7111565,37.4,-77.3,39572,1134285,"Yes","No","Yes","Yes","Yes","No","No","No","Doctoral degree or equivalent",8.979287941533,180.929238939467,48.979287941533,229.908526881
