GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1327815810	2022-05-09 12:07:49.638935	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Maine	US-ME	Lincoln	US-ME-015					Oak Point Farm BRLT	L9810217	H	43.8525718	-69.6564531	2022-01-23	13:50:00	obsr1323966	S101502045	Stationary	P21	EBIRD	15			2	1		0	0	0			Adult. Despite "bigfoot" photo quality, orange bill, white shoulders & white tail clearly visible. (Will try uploading photo later - error keeps occurring.)	
URN:CornellLabOfOrnithology:EBIRD:OBS1420911528	2022-05-09 12:07:49.658218	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Maine	US-ME	Lincoln	US-ME-015					Oak Point Farm BRLT	L9810217	H	43.8525718	-69.6564531	2022-01-16	10:00:00	obsr1009366	S109439649	Stationary	P21	EBIRD	30			35	1		1	0	0			Very large raptor with dark brown plumage , white shoulders and short white tail. Yellow talons and unmistakable  large yellow beak. Perched in tall fir tree on the shore, sat sunning and grooming for several minutes. Raised wings, changed position, raised wings again and flew over and across the bay, slow easy wing beats.	
URN:CornellLabOfOrnithology:EBIRD:OBS1327791180	2022-05-09 11:54:58.8593	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Maine	US-ME	Lincoln	US-ME-015		14			Burnt Island (North end)	L17558059	P	43.8264728	-69.6406979	2022-01-23	12:15:00	obsr1736295	S101499213	Stationary	P21	EBIRD	15			2	0		0	0	0			Extreme rarity. This bird has been known to be in the Lincoln County, Maine area since late December 2021. Deep orange beak, white shoulder field marks clearly seen.	
URN:CornellLabOfOrnithology:EBIRD:OBS1326763046	2022-05-09 11:52:15.428715	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Maine	US-ME	Lincoln	US-ME-015				43069H5SE	Pemaquid Harbor	L130929	H	43.8798599	-69.5206451	2022-01-22	10:27:00	obsr689826	S101410513	Stationary	P21	EBIRD_ATL_NY	100			1	1		0	0	0			Flyover at 11:15, far, across from Fort William Henry; stayed in tree i to the afternoon. Many assembled birders. Pics to come	
URN:CornellLabOfOrnithology:EBIRD:OBS1329737658	2022-05-09 11:52:15.131943	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Maine	US-ME	Lincoln	US-ME-015					Pemaquid Harbor	L130929	H	43.8798599	-69.5206451	2022-01-22	10:58:00	obsr353446	S101660540	Traveling	P22	EBIRD	240	0.805		2	1		0	0	0			Continuing. First observed at 11:15. Extremely large eagle seen flying NE across the harbor before perching on top of a tree along the shore. Dark brown head and body overall with stark white shoulder patches, tail, and massive yellow-orange bill. Left this perch, flying North up the bay and out of sight before retuning within 15-20 minutes to a new tree perch along the West-side of the bay, north of the seafood restaurant. It remained in this location for hours before taking off prior to 1430 when it flew South and out of sight.	
URN:CornellLabOfOrnithology:EBIRD:OBS1342671549	2022-05-09 11:55:04.233339	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					United States	US	Maine	US-ME	Lincoln	US-ME-015					160 Western Avenue, Boothbay Harbor, Maine, US (43.847, -69.646)	L17754215	P	43.8471621	-69.6459499	2022-01-15	11:00:00	obsr2957100	S102688092	Stationary	P21	EBIRD	15			2	1		0	0	0			VERY cold, sunny. Bird perched high in tree across water.	
URN:CornellLabOfOrnithology:EBIRD:OBS1394363321	2022-05-09 11:58:49.464199	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Maine	US-ME	Lincoln	US-ME-015					Squirrel Island, Southport	L3100281	H	43.8101403	-69.6338797	2022-01-23	16:11:00	obsr1770687	S101305321	Traveling	P22	EBIRD	6	11.426		3	1		0	0	0			Vagrant sea eagle, well documented in this area	
URN:CornellLabOfOrnithology:EBIRD:OBS1369410576	2022-05-09 11:55:23.862633	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Maine	US-ME	Lincoln	US-ME-015					Factoy Road, Boothbay	L18170053	P	43.8359208	-69.6291227	2022-01-04	11:00:00	obsr2951180	S105127625	Stationary	P21	EBIRD	45			3	1		1	0	0			Perched in top of tall evergreen near shore . Seen by many other birdwatchers. Eagle has been frequenting- general area .	
URN:CornellLabOfOrnithology:EBIRD:OBS1376071684	2022-05-09 11:54:50.976814	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Maine	US-ME	Lincoln	US-ME-015					143 Western Ave, West Boothbay Harbor US-ME 43.84810, -69.64454	L17438197	P	43.8480980	-69.6445390	2022-01-15	11:46:00	obsr228915	S105696954	Incidental	P20	EBIRD				1	0		0	0	0			Continuing megararity.	
URN:CornellLabOfOrnithology:EBIRD:OBS1348733178	2022-05-09 11:55:07.008713	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Maine	US-ME	Lincoln	US-ME-015		14			Cape Newagen Rd	L17868809	P	43.8339392	-69.6507752	2022-01-23	13:27:00	obsr271736	S103395784	Stationary	P21	EBIRD	22			2	1		0	0	0			photos. continuing bird, perched and than flushed by crows	
