GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1299762015	2022-01-02 19:28:39.31645	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Shaw’s Boat Yard	L17154990	P	41.8154970	-71.1150610	2021-12-20	12:30:00	obsr28446	S99196136	Stationary	P21	EBIRD	30			3	1	G7638000	1	1	1			Truly Mega! Bald Eagles near it looked hawk sized.	
URN:CornellLabOfOrnithology:EBIRD:OBS1299777407	2021-12-20 22:26:40.319443	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	11:55:00	obsr319662	S99197154	Stationary	P21	EBIRD	60			2	0	G7563851	1	1	1			Monster of a bird .  looked twice the size of the BAEA perched above it.  Huge yellow-orange beak, white tail with white extending tolower back.  Wedge shaped tail. Large white wing bars	
URN:CornellLabOfOrnithology:EBIRD:OBS1299635742	2021-12-27 17:53:50.988254	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1				Unknown Sex, Adult (1)	United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	12:05:00	obsr90993	S99184622	Stationary	P21	EBIRD	42			2	0	G7594466	1	1	1			With mob. Photos.	
URN:CornellLabOfOrnithology:EBIRD:OBS1299680222	2021-12-26 16:23:46.183487	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	12:25:00	obsr342615	S99188455	Stationary	P21	EBIRD	45			1	1		1	1	1			Rare. Rarely documented in the lower 48 states. Never on eBird in the lower 48 states. Observed by the Eckerson brothers this morning in Somerset. Seen here by many birders from the shore of the park. The bird was perched in a tree across the Taunton River. Distant photos for documentation and size comparison to the bald eagle perched with it. Huge orange bill!	
URN:CornellLabOfOrnithology:EBIRD:OBS1299738876	2021-12-20 18:57:02.285553	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	12:30:00	obsr546444	S99194216	Traveling	P22	EBIRD	30	0.483		1	1		1	1	1			Eagle found a couple off hours earlier at this location. 60+birders present when I arrived. See photo	
URN:CornellLabOfOrnithology:EBIRD:OBS1300780408	2021-12-22 09:54:32.678923	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	12:19:00	obsr743071	S99268801	Traveling	P22	EBIRD	32	0.367		2	1	G7570076	1	1	1		Thanks to everyone who kept the group informed on the GroupMe Mass bird alert!!!	Mega******* !! A most  amazing raptor! traveling from Alaska to Nova Scotia and now Massachusetts!!  (possible detour to Texas?)  when we viewed there was a juvenile Bald Eagle perched nearby for comparison. (The Bald looked small and insecure) We Arrived to find at least 50 to 70 birders all viewing the Eagle across the river. A bit distant though great scope views. The weather was perfect. Clear, calm wind, 30f.	
URN:CornellLabOfOrnithology:EBIRD:OBS1299726836	2021-12-20 18:57:02.285553	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	11:46:00	obsr516200	S99192417	Traveling	P22	EBIRD	85	0.434		2	1	G7561480	1	1	1			Crazy mega*** Seen with MOB. Big eagle with big yellow bill and white patches on wings. Pics	
URN:CornellLabOfOrnithology:EBIRD:OBS1299717445	2021-12-20 18:59:37.143826	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005					Mallard Point	L17150946	H	41.7726055	-71.1205563	2021-12-20	08:58:00	obsr40647	S99192465	Traveling	P22	EBIRD	82	0.908		1	1		0	1	1			Mega rarity. Bright yellow orange bill, larger than bald eagles nearby, bright white tail and white leading edge of wings.Distant view, perched.	
URN:CornellLabOfOrnithology:EBIRD:OBS1299623471	2021-12-20 18:57:02.285553	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	12:31:00	obsr1381119	S99183749	Stationary	P21	EBIRD	40			1	1		1	1	1			Seen well by many birders (150+). Digiscoped picture included.	
URN:CornellLabOfOrnithology:EBIRD:OBS1299792701	2021-12-20 18:59:37.143826	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	11:30:00	obsr662427	S99199122	Stationary	P21	EBIRD	60			1	1		1	1	1			!!	
URN:CornellLabOfOrnithology:EBIRD:OBS1299675637	2021-12-20 18:57:02.285553	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	12:00:00	obsr208295	S99188051	Stationary	P21	EBIRD	30			2	1		1	1	1			Continuing bird. Viewed from the pier/Rock Museum across the Taunton River. Perched in a tree just north of Shaw's Boat Yard. Immense bird, mostly black with large white patches and huge yellow-orange bill. Perched very close to a bald eagle which looked small in comparison. Photos.	
URN:CornellLabOfOrnithology:EBIRD:OBS1299980311	2021-12-20 23:04:11.499116	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	12:00:00	obsr2340711	S99211108	Stationary	P21	EBIRD	60			2	1	G7564011	1	1	1			Relocated at Dighton Rock SP. Clear white patches on wings and white tail, as well as large orange beak. Dwarfed the immature bald eagles perching in same tree. Good views for about an hour across the river. Photos.	
URN:CornellLabOfOrnithology:EBIRD:OBS1299607240	2021-12-20 18:59:37.143826	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			86 Main St, Dighton US-MA (41.8153,-71.1146)	L17152496	P	41.8153110	-71.1145760	2021-12-20	11:40:00	obsr106337	S99179421	Stationary	P21	EBIRD	25			1	1		1	1	1			absolute mega!	
URN:CornellLabOfOrnithology:EBIRD:OBS1299845500	2022-01-13 12:37:59.073692	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Westcott Island--Cliff Dr private beach, Assonet Bay	L17156075	P	41.7989610	-71.0898550	2021-12-20	10:33:00	obsr54366	S99202121	Stationary	P21	EBIRD	57			25	1	G7562656	1	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS1299631080	2021-12-21 12:31:56.269779	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					United States	US	Massachusetts	US-MA	Bristol	US-MA-005		30			Dighton Rock SP	L1431929	H	41.8117549	-71.1063090	2021-12-20	11:30:00	obsr308689	S99184288	Stationary	P21	EBIRD	70			1	1		1	1	1		Party of one, but about 120 other birders around	*Mega*  found this morning by J Eckerson, viewed by many birders and photographers from The state park.  It was perched in a tree on the west side of the river, along with two Bald Eagles, which were tiny in comparison.  One of the photos illustrates just how big this bird is, compared to the bald eagles perched above it in the same tree.	
