GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS707218212	2021-12-10 08:53:42.261304	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus			X	1					Finland	FI	Southern Ostrobothnia	FI-03							Ähtäri, Ähtärinjärvi	L8565806	P	62.6493032	24.0943512	1992-05-02	17:00:00	obsr938752	S52426960	Stationary	P21	EBIRD	60			10	1		0	1	1			Long staying adult	
URN:CornellLabOfOrnithology:EBIRD:OBS829881053	2021-12-10 08:53:42.261304	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus			X	1				Unknown Sex, Adult (1)	Finland	FI	Southern Ostrobothnia	FI-03							Ähtäri Ähtärinjärvi	L10176594	P	62.6574288	24.0788482	1992-05-02	14:00:00	obsr1231987	S61600006	Stationary	P21	EBIRD	60			10	1		0	1	1			Twitched, ad	
URN:CornellLabOfOrnithology:EBIRD:OBS677037849	2021-01-05 05:20:45.089116	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Poland	PL	Pomorskie	PL-PM							Zalew Wiślany - Stawa Gdańsk "Kaszyca"	L8146951	P	54.3015338	19.2896565	2016-09-09		obsr1156819	S49973893	Historical	P62	EBIRD				2	0		1	0	1	Species-Introduced/Exotic			
URN:CornellLabOfOrnithology:EBIRD:OBS907425364	2020-04-30 14:32:24	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Russia	RU	Cukotskij avtonomnyj okrug	RU-CHU							Amankut Rives and Bay, Beringowsky	L11167296	P	62.6100000	179.5040000	2006-07-24		obsr823771	S68132361	Historical	P62	EBIRD					0		0	1	0			1 4 year <br><br><b>First Sighting:</b> X (Auto)<br>	
URN:CornellLabOfOrnithology:EBIRD:OBS1036224409	2020-12-26 12:35:42.730488	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Russia	RU	Cukotskij avtonomnyj okrug	RU-CHU							Egwywatap river mouth, Cape Schmidt	L9798167	P	68.7511384	-179.0231843	2011-06-27	05:00:00	obsr1048959	S78005616	Stationary	P21	EBIRD	900			3	0		1	1	0		Camp near mouth of Egwywatap river; with Steffen Koschkar & Fyodor Kondrashov	immature bird (KY 3?) near river mouth flying and resting on ice floe	
URN:CornellLabOfOrnithology:EBIRD:OBS412733436	2019-11-04 10:57:16	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Russia	RU	Cukotskij avtonomnyj okrug	RU-CHU							Мейныпильгыно (Meynypilgyno)	L6056750	H	62.5527778	177.0699978	2016-06-16	13:00:00	obsr404778	S30283827	Incidental	P20	EBIRD				1	0		0	1	0		<br />Submitted from eBird for iOS, version 1.2.1 Build 65	White tail lacking black fringes and bright yellow bill contrasting with overall dark body. Tail rather long and wedged. Underwing rather dark, upper wing with light patches on the shoulders.	
URN:CornellLabOfOrnithology:EBIRD:OBS919341625	2020-05-11 15:04:43	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				2	ON	C4	ON	Male, Adult (1); Female, Adult (1)	Russia	RU	Cukotskij avtonomnyj okrug	RU-CHU							Banaya River	L11417939	P	62.8655904	174.8611011	2017-06-23	13:00:00	obsr1048959	S68877879	Stationary	P21	EBIRD	180			1	0		1	1	0			nesting in Poplar tree; one bird "tighedly" in the nest allowing close approach; mate nearby; narrow band of riparian forest surrounded by open tundra; nesting albidus-Goshawk just 200 m apart; exiting moments!	
URN:CornellLabOfOrnithology:EBIRD:OBS790289873	2019-11-04 10:57:17	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Russia	RU	Cukotskij avtonomnyj okrug	RU-CHU							Мейныпильгыно (Meynypilgyno)	L6056750	H	62.5527778	177.0699978	2019-07-01	14:30:00	obsr404778	S58596053	Incidental	P20	EBIRD				2	0	G4404211	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS791292748	2019-11-04 10:57:17	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Russia	RU	Cukotskij avtonomnyj okrug	RU-CHU							Мейныпильгыно (Meynypilgyno)	L6056750	H	62.5527778	177.0699978	2019-07-01	14:30:00	obsr1124828	S58703456	Incidental	P20	EBIRD				2	0	G4404211	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS155918290	2016-10-19 15:32:45	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				12	NY	C4	NY	Female, Adult (2); Unknown Sex and Age (4); Male, Adult (2); Unknown Sex, Juvenile (4)	Russia	RU	Kamcatskij kraj	RU-KAM							Bormotina Cabin (1992)	L1579011	P	54.1650843	159.9504652	1992-06-15	10:00:00	obsr325125	S10949107	Traveling	P22	EBIRD	720	16.093		2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS272018634	2016-10-19 15:32:47	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Russia	RU	Kamcatskij kraj	RU-KAM							kronotsky	L3084157	P	54.7992280	160.2180178	1993-08-26	10:00:00	obsr502843	S19844679	Incidental	P20	EBIRD				12	1		0	1	0		helicopter to kliuchevskoi volcano from petropavlovsk		
URN:CornellLabOfOrnithology:EBIRD:OBS333135397	2016-10-19 15:32:48	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Russia	RU	Kamcatskij kraj	RU-KAM							Zaozernyi Beach (east of former Zaozernyi State Coll. Farm)	L3808556	P	52.9438679	158.7917948	1994-10-15		obsr424578	S24366295	Historical	P62	EBIRD					0		0	1	0			seen over farm fields near Zaozernyi State Collective Farm	
URN:CornellLabOfOrnithology:EBIRD:OBS657451000	2018-09-15 17:58:36	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					Russia	RU	Kamcatskij kraj	RU-KAM							Авачинский Залив (Avacha Bay)	L4994811	H	52.8635338	158.6823606	1995-06-07		obsr43922	S48529394	Historical	P62	EBIRD				4	0		0	1	0		bay and bird rock outside of bay by boat		
URN:CornellLabOfOrnithology:EBIRD:OBS657444268	2019-07-19 14:12:14	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					Russia	RU	Kamcatskij kraj	RU-KAM							Мыс Маячий (Mys Mayachyy)	L4849067	H	52.8880302	158.7128782	1995-06-06		obsr43922	S48528917	Historical	P62	EBIRD				4	0		0	1	0		beach and dunes behind beach		
URN:CornellLabOfOrnithology:EBIRD:OBS1029329499	2021-02-24 06:00:02.207272	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					Russia	RU	Kamcatskij kraj	RU-KAM							Valley of the geysers, Russia	L12939570	P	54.4310000	160.1390000	1996-07-24		obsr390574	S77516206	Incidental	P20	EBIRD				2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS175890823	2017-07-18 07:58:28	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					Russia	RU	Kamcatskij kraj	RU-KAM							Устье Реки Жупанова (Zhupanova River Mouth Area)	L3443545	H	53.6776696	159.8553658	1997-06-15	12:00:00	obsr176986	S12544331	Historical	P62	EBIRD				10	1		0	1	0			Zhuponova 6/15	
URN:CornellLabOfOrnithology:EBIRD:OBS535481330	2022-02-21 13:30:41.701521	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				3					Russia	RU	Kamcatskij kraj	RU-KAM							Устье Реки Жупанова (Zhupanova River Mouth Area)	L3443545	H	53.6776696	159.8553658	1997-06-13	07:00:00	obsr50621	S39367526	Traveling	P22	EBIRD	555	8.047		14	1		0	1	0		Landing from the World Discoverer.		
URN:CornellLabOfOrnithology:EBIRD:OBS468512624	2019-03-14 06:19:58	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Russia	RU	Kamcatskij kraj	RU-KAM							Устье Реки Жупанова (Zhupanova River Mouth Area)	L3443545	H	53.6776696	159.8553658	1997-06-13	08:00:00	obsr219813	S34618982	Traveling	P22	EBIRD	240	8.047		2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS336622576	2019-03-13 07:43:13	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				5					Russia	RU	Kamcatskij kraj	RU-KAM							Kronotsky River mouth	L3850520	P	54.5188580	160.7057762	1997-06-12		obsr131100	S24628977	Historical	P62	EBIRD					0		0	1	0		Angus Wilson, Andy Guthrie, Anthony J Lauro, Dick Filby and John Brodie-Goode. Foraging Siberian Brown Bears were everywhere, fresh from hibernation. The huge animals clambered across the steep cliffs and snow fields with great dexterity. In the Zodiacs we approached one enormous bear as it excavated a deep hole in the shingle of the beach presumably in search of some festering morsel buried by a winter storm. Sea Otters and Steller's Sealions watched us anxiously from the kelp beds.		
