GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1192521517	2021-07-01 09:10:14.396266	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Canada	CA	New Brunswick	CA-NB	Restigouche	CA-NB-RE		14			59restigouche river lower land	L15583667	P	47.9977456	-66.7652879	2021-06-30	10:30:00	obsr1197495	S91026541	Stationary	P21	EBIRD	60			5	1		0	1	1			Was perches in a tree extremely rzre	
URN:CornellLabOfOrnithology:EBIRD:OBS1192566190	2021-07-01 09:10:14.396266	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Canada	CA	New Brunswick	CA-NB	Restigouche	CA-NB-RE		14			Restigouche River, Tide Head CA-NB (47.9908,-66.8037)	L15584631	P	47.9907630	-66.8036700	2021-06-30	14:00:00	obsr804092	S91030242	Stationary	P21	EBIRD_CAN	120			2	1	G6947448	0	1	1			Perched on a dead tree	
URN:CornellLabOfOrnithology:EBIRD:OBS1192709400	2021-07-01 09:10:14.396266	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Canada	CA	New Brunswick	CA-NB	Restigouche	CA-NB-RE		14			Restigouche River, Tide Head CA-NB (47.9908,-66.8037)	L15584631	P	47.9907630	-66.8036700	2021-06-30	14:00:00	obsr550763	S91043138	Stationary	P21	EBIRD_CAN	120			2	1	G6947448	0	1	1			Perched on a dead tree	
URN:CornellLabOfOrnithology:EBIRD:OBS1192256375	2021-07-01 13:56:02.246834	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Canada	CA	New Brunswick	CA-NB	Restigouche	CA-NB-RE		14			Restigouche River Lower Islands	L9838487	P	47.9932494	-66.7722356	2021-06-29	20:00:00	obsr552897	S91005465	Traveling	P22	EBIRD	114	4.730		2	1		1	1	1			First discovered by Listuguj Mi'gmaq Ranger Gerry Isaac last evening at approximately 7:30 pm perched in a tree on the Southern side of Gillis island.  The cell phone photo, although grainy, seemed to show the features of this ultra rare Eagle.  After unsuccessfully relocating the bird in the morning, we later found the eagle perched at the top of a large spruce tree on the northeastern side of Gillis Island along the Restigouche river.  Spectacular large bodied eagle with an extremely large yellow beak and significant obvious white patches on wings(in shape of an upside down V while at rest.) The white feathering around the legs were obvious and the white tail showed well in flight along with the white wing patches.  Three or four crows escorted the bird away from it's perch near dusk.  Eagle was observed for a total of 10 minutes while we were sitting on our paddle boards.	
URN:CornellLabOfOrnithology:EBIRD:OBS1193354564	2021-07-01 22:31:38.01989	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Canada	CA	New Brunswick	CA-NB	Restigouche	CA-NB-RE		14			666 Restigouche Drive, Tide Head, New Brunswick, CA (47.99, -66.827)	L15597290	P	47.9902897	-66.8274389	2021-07-01	15:35:00	obsr2551095	S91099344	Incidental	P20	EBIRD				14	0	G6950047	0	1	1		Morrissey Rock Park	Seen by many, large eagle with large  orange bill. Was perched on dead tree, seen well in scope. Brownish bird with white shoulder patch. First found by Gerry Isaac and Forest Condo, Listuguj rangers, relocated today by Pam Watters.	
URN:CornellLabOfOrnithology:EBIRD:OBS1193345285	2021-07-01 22:05:17.061055	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Canada	CA	New Brunswick	CA-NB	Restigouche	CA-NB-RE		14			Morrissey Rock Park	L15597280	P	47.9906163	-66.8280335	2021-07-01	14:40:00	obsr1814335	S91098408	Stationary	P21	EBIRD	20			5	0	G6951024	0	1	1			A group of us were at Morrissey Rock Park searching the Restigouche River Valley to relocate the Stellar’s Sea-Eagle first located by Listuguj Mi'gmaq Ranger Gerry Isaac on June 28, 2021.  Pam Watters spotted it flying toward us about 800 metres up river to the west.   It was flying at about our elevation along the course of river passing north of the group and on down river to the east until we lost sight of it.  We had it in view, flying for well over a kilometre.	
URN:CornellLabOfOrnithology:EBIRD:OBS1193193058	2021-07-04 11:24:34.001584	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Canada	CA	New Brunswick	CA-NB	Restigouche	CA-NB-RE		14			Morrissey Rock Park	L15597280	P	47.9906163	-66.8280335	2021-07-01	14:40:00	obsr299878	S91085343	Stationary	P21	EBIRD	20			5	0	G6951024	0	1	1			A group of us were at Morrissey Rock Park searching the Restigouche River Valley to relocate the Stellar’s Sea-Eagle first located by Listuguj Mi'gmaq Rangers Gerry Isaac and Forest Condo on June 28, 2021.  Pam Watters spotted it flying toward us about 800 metres up river to the west.   It was flying at about our elevation along the course of river passing north of the group and on down river to the east until we lost sight of it.  We had it in view, flying for well over a kilometre.	
URN:CornellLabOfOrnithology:EBIRD:OBS1193254678	2021-07-01 20:15:57.453248	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Canada	CA	New Brunswick	CA-NB	Restigouche	CA-NB-RE		14			Morrissey rock	L15598823	P	47.9906321	-66.8248449	2021-07-01	13:30:00	obsr561074	S91090282	Stationary	P21	EBIRD	120			5	1		0	1	1			Continuing bird, saw white on wings, orange bill	
URN:CornellLabOfOrnithology:EBIRD:OBS1308591339	2022-01-13 20:17:20.257093	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Canada	CA	New Brunswick	CA-NB	Restigouche	CA-NB-RE		14			Duncan Island, Tide Head CA-NB (47.9893,-66.7933)	L17293071	P	47.9892680	-66.7932880	2021-07-01	17:00:00	obsr961288	S99922813	Traveling	P22	EBIRD	20	5.000		10	0		0	1	1			This was discovered 2 days before and spotted in various locations  along the river	
URN:CornellLabOfOrnithology:EBIRD:OBS1193184101	2021-07-01 20:15:57.453248	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Canada	CA	New Brunswick	CA-NB	Restigouche	CA-NB-RE		14			666 Restigouche Drive, Tide Head, New Brunswick, CA (47.99, -66.827)	L15597290	P	47.9902897	-66.8274389	2021-07-01	15:35:00	obsr1494456	S91083833	Incidental	P20	EBIRD				14	0	G6950047	0	1	1		Morrissey Rock Park	Seen by many, large eagle with large  orange bill. Was perched on dead tree, seen well in scope. Brownish bird with white shoulder patch. First found by Gerry Isaac and Forest Condo, Listuguj rangers, relocated today by Pam Watters.	
