respond_id,home_zip,nearest,flight_dist,flight_time
13289199735,21117,Baltimore,370,44
13289232386,8854,newwark,201,24
13289470247,49103,kalamazoo,743,90
13289494795,21217,baltimore,370,44
13289556712,32073,jacksonville,1011,121
13289568538,19380,Philly,280,33
13289599999,30083,Atlanta,946,113
13289715746,48322,Detriot,613,73
13289895792,31522,savannah,902,108
13290215471,49085,south bend,786,94
13290354886,85622,tucson,2285,274
13290379578,48837,grand rapids,739,88
13290553885,20912,DC,413,49
13290954894,78056,san antonio,1762,211
13291001367,37641,greeneville sc,795,95
13291262630,20910,Baltimore,370,44
13291340292,85361,phoenix,2296,275
13291408268,85635,tucson,2285,274
13293502826,20003,DC,413,49
13294124179,32244,jacksonville,1011,121
13294488692,43112,columbus,639,76
13295181160,21234,Baltimore,370,44
13295211383,77024,Houston,1596,191
13317336428,80108,Denver,1750,210
