respondent_ID,IP_Address,bad_response,first_date,date_text,location_attempt,how_many_trips,leave_home,home_zip,minutes_observed,travel_mode_1,travel_mode_2,travel_mode_3,travel_mode_4,travel_mode_5,carpool,carpool_count,primary_purpose,overnight,overnight_count,accomodation_1,accomodation_2,accomodation_3,accomodation_4,accomodation_5,accomodation_6,accomodation_7,accomodation_location,food,dining_type_1,dining_type_2,dining_type_3,dining_type_4,dine_out_count,bird_list_1,bird_list_2,bird_list_3,bird_list_4,bird_list_5,bird_list_6,bird_list_7,bird_list_8,bird_list_9,motivation_1,motivation_2,motivation_3,motivation_4,motivation_5,motivation_6,birding_experience,years_birding,bird_org,gas_expense,airfare_expense,meal_expense,accomodation_expense,donation_5,donation_25,donation_50,donation_75,donation_100,donation_200,age,gender_1,gender_2,race,marital_status_1,marital_status_2,hourly_wage,education_1,education_2,employment_status,vagrant_travel_freq,other_birding,other_natural,natural_activities_1,natural_activities_2,natural_activities_3,puffin,revist,ebird,other_database,which_other_database,twitter,facebook,how_many_other_birders_1,how_many_other_birders_2,how_many_other_birders_3
13317353906,208.117.89.56,,23-Jan,Jan-23-2022,"Southport, Maine",Two,Yes,4551,180,Private vehicle,,,,,Yes,2,Yes,No,0,,,,,,I did not use accommodations,,NA,Brought own snacks but ate main meals out,,,Sit down,,2,,,,,,,,I don't keep bird lists,,,,,,Unlikely you would encounter the bird again,,Intermediate birder (can identify >100 but <300 bird species without a field guide),45,Yes,20,Na,80,0,Yes,Yes,No,No,No,No,45-54,Woman,,White or Caucasian,Single,,20,Bachelor's degree or equivalent,,Self-employed,"Less than once a, on average",No,No,Na,,,No,Very likely,No,No,Na,No,Yes,6,100,
13317336428,76.120.63.57,,,Jan-00-1900,"Boothbay Harbor, Maine",One,Yes,80108,0,,Rental vehicle,Plane,,,Yes,2,Yes,Yes,3,,Hotel/Motel/Inn,,,,,,4538,Primarily ate out (dine-in and/or take-out),,,Sit down,,5,Life list,,,,,,,,EBird lists as well,,Rarity of the species,,Adding a species to your life list,Unlikely you would encounter the bird again,,Expert birder (can identify >300 bird species without a field guide),30,Yes,65,"1,215",225,425,Yes,Yes,Yes,Yes,Yes,Yes,65+,Man,,White or Caucasian,Married,,NA,Master's degree or equivalent,,Retired,4-7 times,Yes,Yes,Birding,Photography ,Hiking,No,Very likely,Yes,No,Na,No,No,200,,
13314998580,73.61.244.206,,16-Jan-22,Jan-16-2022,"Boothbay Harbor, Maine",One,Yes,6472,60,,Rental vehicle,,,,Yes,2,Yes,Yes,1,,Hotel/Motel/Inn,,,,,,"Brunswick, Maine, USA",Primarily ate out (dine-in and/or take-out),,,Sit down,,Once,Life list,,State list,,,,,,,,,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",,,"Unlikely to see it AND how huge and spectacular it is, opportunity to bird with my son",Expert birder (can identify >300 bird species without a field guide),50,Yes,50,NA,80,175,Yes,Yes,Yes,Yes,Yes,Yes,55-64,Man,,White or Caucasian,Married,,75,Bachelor's degree or equivalent,,Self-employed,8-10 times,Yes,Yes,More birding in Providence RI on the way back ,,,No,Very likely,No,No,NA,No,No,125,NA,NA
13310425689,67.248.18.176,,28-Jan-22,Jan-28-2022,"South Bristol, Maine",Two,Yes,4348,30,Private vehicle,,,,,No,1,Yes,No,0,,,,,,I did not use accommodations,,NA,,,,,,,,,,,,,,I don't keep bird lists,,,,,,Unlikely you would encounter the bird again,,Beginner birder (can identify <100 bird species without a field guide),10,No,10,NA,0,0,No,No,No,No,No,No,65+,Woman,,White or Caucasian,Married,,NA,High School,,Retired,"Less than once a, on average",No,No,,,,No,Somewhat likely,No,No,NA,No,No,125,30,
13310135762,52.119.48.166,,,Jan-00-1900,,,,,,,,,,,NA,NA,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13309866323,73.89.3.8,,22-Jan-22,Jan-22-2022,"Bristol, Maine ",One,Yes,5478,90,Private vehicle,,,,,No,NA,Yes,Yes,1,,Hotel/Motel/Inn,,,,,,"Portland, Maine, USA",Both: made meals and ate out,Fast food,,,Grocery store,3,Life list,,,,,,,,,,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",,Unlikely you would encounter the bird again,"See Maine in winter, have a solo adventure ",Beginner birder (can identify <100 bird species without a field guide),3,No,70,Na,50,80,Yes,Yes,Yes,No,No,No,35-44,Woman,,White or Caucasian,Married,,34,Master's degree or equivalent,,Employed - full time,1-3 times,Yes,Yes,Birding at Pemaquid Point Lighthouse,Birding at Rachel Carson Salt Pond,Looked for rare goose,No,Very likely,Yes,No,,No,Yes,75,,
13309902847,24.218.177.206,,,Jan-00-1900,,,,,,,,,,,NA,NA,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,
13308491554,66.211.157.14,,31-Dec-21,Dec-31-2021,"Five Islands, Maine",One,Yes,1331,40,Private vehicle,,,,,Yes,2,Yes,No,0,,,,,,I did not use accommodations,,NA,Brought own snacks but ate main meals out,,,Sit down,,1,Life list,,State list,,,,,,,,,,,Unlikely you would encounter the bird again,,Expert birder (can identify >300 bird species without a field guide),50,Yes,20,0,20,0,Yes,Yes,No,No,No,No,55-64,Man,,White or Caucasian,Married,,24,High School,,Employed - full time,4-7 times,Yes,Yes,More Birding,,,No,Neither likely nor unlikely,Yes,No,,No,No,50,,
13308370464,192.251.18.59,,24-Jan-22,Jan-24-2022,"Boothbay Harbor, Maine",One,Yes,4970,60,Private vehicle,,,,,No,0,Yes,No,0,,,,,,I did not use accommodations,,NA,Primarily ate out (dine-in and/or take-out),,,Sit down,,3,Life list,,,,,,,,,Wildlife photography,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",Adding a species to your life list,Unlikely you would encounter the bird again,,Intermediate birder (can identify >100 but <300 bird species without a field guide),15,Yes,80-100,0,80,0,Yes,Yes,Yes,Yes,Yes,Yes,55-64,Man,,White or Caucasian,Single,,42.5,Bachelor's degree or equivalent,,Self-employed,1-3 times,Yes,No,Bird photography,,,No,Likely,No,No,NA,No,No,25,25,25
13308056661,24.34.55.54,,,Jan-00-1900,1950,Two,Yes,1950,350,Private vehicle,,,,,Yes,3,Yes,No,NA,,,,,,I did not use accommodations,,NA,Packed food for all meals,Fast food,,,hot beverages purchased,purchased hot beverages 3 times,,,,,,,,I don't keep bird lists,,,Rarity of the species,,,Unlikely you would encounter the bird again,,Expert birder (can identify >300 bird species without a field guide),29,Yes,120,NA,15,0,Yes,Yes,Yes,No,No,No,65+,Woman,,White or Caucasian,Married,,40,Master's degree or equivalent,,Self-employed,4-7 times,Yes,Yes,birding,museums,cultural experiences,No,Very likely,No,No,,No,No,60,77,
