respond_id,collector_id,start_date,end_date,ip_address,consent,eagle_reference,age18,attempt_us,attempt_ca,find_out,find_out_other,see,first_time,date_first,location,number_of_attempts,leave_home_code,home_code,observation_duration,private_vehicle,rental_vehicle,plane,train,other_transport,carpool,number_passengers,primary_purpose,overnight,n_nights,accomodation_friend,accomodation_hotel,accomodation_campground,accomodation_airbnb,accomodation_vrbo,accomodation_none,accomodation_other,accomodation_location,eat,dine_fast_food,dine_fast_casual,dine_sit_down,dine_other,number_dine_out,list_life,list_country,list_state,list_province,list_county,list_ebird,list_idk,list_none,list_other,motivation_photography,motivation_rarity,motivation_vagrant,motivation_life_list,motivation_unlikely,motivation_other,birding_experience,birding_time,bird_organization,gas_cost,gas_cost_new,airfare_cost,airfare_cost_new,meal_cost,meal_cost_new,lodging_cost,lodging_cost_new,donation5,donation25,donation50,donation75,donation100,donation200,age,gender,gender_other,race,marital_status,marital_status_other,hourly_wage,highest_education,highest_education_other,employment_status,twitch_frequency,other_birding,other_nature,other_nature_01,other_nature_02,other_nature_03,puffin_tour,revisit,ebird,other_database,other_database_name,twitter,facebook,n_birders_visit1,n_birders_visit2,n_birders_visit3,comments
13317353906,414399709,2022-02-08T18:28:25Z,2022-02-08T18:40:18Z,208.117.89.56,"I agree, start questionnaire",I understand,Yes,Yes,No,Facebook page,NA,Yes,Yes,23-Jan,Southport ME,Two,Yes,4551,180,Private vehicle,NA,NA,NA,NA,Yes,2,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,Na,Brought own snacks but ate main meals out,NA,NA,Sit down,NA,2,NA,NA,NA,NA,NA,NA,NA,I don't keep bird lists,NA,NA,NA,NA,NA,Unlikely you would encounter the bird again,NA,Intermediate birder (can identify >100 but <300 bird species without a field guide),45,Yes,$20 ,20.00,Na,,$80 ,80.00,0,0.00,Yes,Yes,No,No,No,No,45-54,Woman,NA,White or Caucasian,Single,NA,20,Bachelor's degree or equivalent,NA,Self-employed,"Less than once a year, on average",No,No,Na,NA,NA,No,Very likely,No,No,Na,No,Yes,6,100,NA,NA
13317336428,414399709,2022-02-08T18:19:16Z,2022-02-08T18:39:36Z,76.120.63.57,"I agree, start questionnaire",I understand,Yes,Yes,No,Friend,NA,No,I did not see the eagle,NA,"Boothbay, Maine",One,Yes,80108,0,NA,Rental vehicle,Plane,NA,NA,Yes,2,Yes,Yes,3,NA,Hotel/Motel/Inn,NA,NA,NA,NA,NA,4538,Primarily ate out (dine-in and/or take-out),NA,NA,Sit down,NA,5,Life list,NA,NA,NA,NA,NA,NA,NA,EBird lists as well,NA,Rarity of the species,NA,Adding a species to your life list,Unlikely you would encounter the bird again,NA,Expert birder (can identify >300 bird species without a field guide),30 years,Yes,65,65.00,"$1,215 ",1215.00,225,225.00,425,425.00,Yes,Yes,Yes,Yes,Yes,Yes,65+,Man,NA,White or Caucasian,Married,NA,Retired,Master's degree or equivalent,NA,Retired,4-7 times,Yes,Yes,Birding,Photography,Hiking,No,Very likely,Yes,No,Na,No,No,200,NA,NA,Great catalyst to enjoy the Maine Coastline in the Winter
13314998580,414399709,2022-02-08T01:39:23Z,2022-02-08T02:28:44Z,73.61.244.206,"I agree, start questionnaire",I understand,Yes,Yes,No,Other (please specify),"Listserv, GroupMe",Yes,Yes,16-Jan-22,"Boothbay, ME, USA",One,Yes,6472,60,NA,Rental vehicle,NA,NA,NA,Yes,Two,Yes,Yes,1,NA,Hotel/Motel/Inn,NA,NA,NA,NA,NA,"Brunswick, ME, USA",Primarily ate out (dine-in and/or take-out),NA,NA,Sit down,NA,Once,Life list,NA,State list,NA,NA,NA,NA,NA,NA,NA,NA,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",NA,NA,"Unlikely to see it AND how huge and spectacular it is, opportunity to bird with my son",Expert birder (can identify >300 bird species without a field guide),50,Yes,$50 ,50.00,NA,,$80 ,80.00,$175 ,175.00,Yes,Yes,Yes,Yes,Yes,Yes,55-64,Man,NA,White or Caucasian,Married,NA,"$150, in theory, but I don't bill for all my time, so say $75 in reality",Bachelor's degree or equivalent,NA,Self-employed,8-10 times,Yes,Yes,More birding in Providence RI on the way back,NA,NA,No,Very likely,No,No,NA,No,No,100-150,NA,NA,"Had the bird shown up in summer, there would have been a lot more economic impact, b/c a lot of Boothbay and environs seemed to be empty or closed; if Stella had stayed in MA longer (or people hadn't waited so long to let others know), which is more accessible and nearly as bird crazy as England, there would have been significantly more impact; a couple more questions that you might want to ask (1) whether people created, bought, or sold any souvenirs commemorating the occasion (t-shirts, caps, ornaments, art objects, high-end photos, stickers, etc--a lot of these kinds of things were created), and if so, how much was spent; (2) did people make a donation or donations to or join any organizations as a result of the experience (you asked if we *would*--many of us donated to and/or joined Maine Audubon) and if so, how did they spend, and (3)  I'd add an ""other"" category/question for whatever else people spent as a result of the trip (new scopes, cameras, accessories, for example--I bought a new scope once because of a rare bird and on another occasion bought a new phone because my old one kept running out of juice so when I found the bird I had no way of alerting my son to come to my location until it was gone; I've bought bug spray, sun blockers, hats, extra layers of clothing for unexpected weather, first aid supplies, toiletries I forgot, gone to the movies and cultural events as part of the trip to mollify less birdy fellow travelers--you just never know what these kind of events are going to motivate people to buy, either in their home location or on site."
13310425689,414399709,2022-02-05T15:53:10Z,2022-02-05T16:05:22Z,67.248.18.176,"I agree, start questionnaire",I understand,Yes,Yes,No,"News outlet (video clip, article, etc.)",NA,Yes,Yes,Jan 28 2022,South Bristol ME,Two,Yes,4348,30,Private vehicle,NA,NA,NA,NA,No,1,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don't keep bird lists,NA,NA,NA,NA,NA,Unlikely you would encounter the bird again,NA,Beginner birder (can identify <100 bird species without a field guide),10,No,$10 ,10.00,NA,,0,0.00,0,0.00,No,No,No,No,No,No,65+,Woman,NA,White or Caucasian,Married,NA,Retired,High School,NA,Retired,"Less than once a year, on average",No,No,NA,NA,NA,No,Somewhat likely,No,No,NA,No,No,20,30,NA,Exciting to see the sea eagle fly by and perch in tree.  Hope to hear it's still around and doing well.
13309866323,414399709,2022-02-05T07:23:46Z,2022-02-05T08:03:49Z,73.89.3.8,"I agree, start questionnaire",I understand,Yes,Yes,No,Friend,NA,Yes,Yes,22-Jan-22,"Bristol, ME",One,Yes,5478,90,Private vehicle,NA,NA,NA,NA,No,NA,Yes,Yes,1,NA,Hotel/Motel/Inn,NA,NA,NA,NA,NA,"Portland, ME",Both: made meals and ate out,Fast food,NA,NA,Grocery store,3,Life list,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",NA,Unlikely you would encounter the bird again,"See Maine in winter, have a solo adventure",Beginner birder (can identify <100 bird species without a field guide),3,No,70,70.00,Na,,50,50.00,80,80.00,Yes,Yes,Yes,No,No,No,35-44,Woman,NA,White or Caucasian,Married,NA,34,Master's degree or equivalent,NA,Employed - full time,1-3 times,Yes,Yes,Birding at Pemaquid Point Lighthouse,Birding at Rachel Carson Salt Pond,Looked for rare goose,No,Very likely,Yes,No,NA,No,Yes,50-100,NA,NA,I donated $25 to the Maine Audobon Society in gratitude for the work they did to help birders see the eagle and also to support their work.
13308491554,414399709,2022-02-04T12:47:16Z,2022-02-04T12:59:38Z,66.211.157.14,"I agree, start questionnaire",I understand,Yes,Yes,No,Friend,NA,Yes,Yes,Dec 31 2021,Five Islands ME.,One,Yes,1331,40,Private vehicle,NA,NA,NA,NA,Yes,2,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,Brought own snacks but ate main meals out,NA,NA,Sit down,NA,1,Life list,NA,State list,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unlikely you would encounter the bird again,NA,Expert birder (can identify >300 bird species without a field guide),50 years,Yes,20,20.00,0,0.00,20,20.00,0,0.00,Yes,Yes,No,No,No,No,55-64,Man,NA,White or Caucasian,Married,NA,24,High School,NA,Employed - full time,4-7 times,Yes,Yes,More Birding,NA,NA,No,Neither likely nor unlikely,Yes,No,NA,No,No,50,NA,NA,NA
13308370464,414399709,2022-02-04T11:56:47Z,2022-02-04T12:04:35Z,192.251.18.59,"I agree, start questionnaire",I understand,Yes,Yes,No,Local birding group,NA,Yes,Yes,24-Jan-22,"Boothbay Harbor, Maine",One,Yes,4970,60,Private vehicle,NA,NA,NA,NA,No,0,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,Primarily ate out (dine-in and/or take-out),NA,NA,Sit down,NA,3,Life list,NA,NA,NA,NA,NA,NA,NA,NA,Wildlife photography,Rarity of the species,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",Adding a species to your life list,Unlikely you would encounter the bird again,NA,Intermediate birder (can identify >100 but <300 bird species without a field guide),15 years,Yes,$80-$100,90.00,0,0.00,$80 ,80.00,0,0.00,Yes,Yes,Yes,Yes,Yes,Yes,55-64,Man,NA,White or Caucasian,Single,NA,$40-$45,Bachelor's degree or equivalent,NA,Self-employed,1-3 times,Yes,No,Bird photography,NA,NA,No,Likely,No,No,NA,No,No,20-30,20-30,20-30,NA
13308056661,414399709,2022-02-04T10:05:25Z,2022-02-04T10:17:51Z,24.34.55.54,"I agree, start questionnaire",I understand,Yes,Yes,No,"News outlet (video clip, article, etc.)",NA,No,I did not see the eagle,NA,1950,Two,Yes,1950,350,Private vehicle,NA,NA,NA,NA,Yes,3,Yes,No,NA,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,Packed food for all meals,Fast food,NA,NA,hot beverages purchased,purchased hot beverages 3 times,NA,NA,NA,NA,NA,NA,NA,I don't keep bird lists,NA,NA,Rarity of the species,NA,NA,Unlikely you would encounter the bird again,NA,Expert birder (can identify >300 bird species without a field guide),29 yrs,Yes,120,120.00,NA,,15,15.00,0,0.00,Yes,Yes,Yes,No,No,No,65+,Woman,NA,White or Caucasian,Married,NA,40,Master's degree or equivalent,NA,Self-employed,4-7 times,Yes,Yes,birding,museums,cultural experiences,No,Very likely,No,No,NA,No,No,60,77,NA,we met people fro many states and the farthest afield was Oregon
13295294043,414399709,2022-01-29T20:56:05Z,2022-02-03T08:09:03Z,24.184.186.112,"I agree, start questionnaire",I understand,Yes,Yes,No,eBird,NA,Yes,Yes,01/15/2022,Boothbay,Three or more,Yes,11237,30,Private vehicle,NA,NA,NA,NA,Yes,3,Yes,Yes,3,NA,Hotel/Motel/Inn,NA,NA,NA,NA,NA,"Bath, ME",Both: made meals and ate out,NA,NA,Sit down,NA,3,Life list,NA,State list,NA,NA,I only keep lists on eBird,NA,NA,NA,NA,NA,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",Adding a species to your life list,Unlikely you would encounter the bird again,NA,Intermediate birder (can identify >100 but <300 bird species without a field guide),1 year,No,0,0.00,NA,,150,150.00,320,320.00,Yes,Yes,Yes,No,No,No,18-24,Non-binary / non-conforming,NA,White or Caucasian,Single,NA,25,Bachelor's degree or equivalent,NA,Employed - part time,>10 times,Yes,No,NA,NA,NA,No,Somewhat likely,Yes,No,NA,No,Yes,50,100,100,NA
13304198205,414399709,2022-02-02T20:55:01Z,2022-02-02T21:05:56Z,73.234.252.230,"I agree, start questionnaire",I understand,Yes,Yes,No,"News outlet (video clip, article, etc.)",NA,Yes,Yes,23-Jan-22,"Pemaquid, ME",Two,Yes,4530,240,Private vehicle,NA,NA,NA,NA,Yes,3,Yes,No,0,NA,NA,NA,NA,NA,I did not use accommodations,NA,NA,Packed food for all meals,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,I don't keep bird lists,NA,NA,NA,"The species occurring outside of its usual area (i.e., ""vagrant birds"")",NA,NA,NA,Beginner birder (can identify <100 bird species without a field guide),NA,No,0,0.00,NA,,0,0.00,0,0.00,No,No,No,No,No,No,65+,Woman,NA,White or Caucasian,Married,NA,NA,Master's degree or equivalent,NA,Retired,"Less than once a year, on average",Yes,Yes,Hiking,NA,NA,No,Very likely,No,No,NA,No,No,25,15,NA,NA
