respond_id,consent,age18,attempt_us,attempt_ca,gas_cost_new,airfare_cost_new,meal_cost_new,lodging_cost_new,age,gender,gender_other,race,marital_status,marital_status_other,employment_status,date_text,location_attempt,home_zip,minutes_observed,accomodation_location,carpool,carpool_count,overnight,overnight_count,hourly_wage,years_birding,how_many_other_birders_1,how_many_other_birders_2,how_many_other_birders_3,location_attempt_sep,respond_id_count,attempt_lat,attempt_lng,home_lat,home_lng,travel_time_sec,travel_dist_meter
13289107017,"I agree, start questionnaire",Yes,Yes,No,30,NA,200,135,65+,Woman,NA,White or Caucasian,Married,NA,Retired,Jan-13-2022,"Boothbay Harbor, Maine",04609,90,"Boothbay Harbor, Maine, USA",Yes,2,Yes,1,NA,62,50,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.4,-68.3,9346,179513
13289107913,"I agree, start questionnaire",Yes,Yes,No,30,NA,0,0,65+,Man,NA,White or Caucasian,Married,NA,Retired,Jan-13-2022,"Boothbay Harbor, Maine",04901,300,NA,Yes,4,No,0,NA,12,30,55,150,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.6,-69.6,4775,98888
13289113338,"I agree, start questionnaire",Yes,Yes,No,20,NA,NA,NA,25-34,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-00-1900,"Boothbay Harbor, Maine",04915,80,NA,No,0,No,0,16,1,20,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,44.5,-69.1,5340,101571
13289142469,"I agree, start questionnaire",Yes,Yes,No,120,NA,250,320,65+,Man,NA,White or Caucasian,Married,NA,Retired,Jan-00-1900,"Boothbay Harbor, Maine",13066,NA,"Boothbay Harbor, Maine, USA",No,NA,Yes,2,NA,50,35,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,43.04,-76,26438,738637
13289142701,"I agree, start questionnaire",Yes,Yes,No,0,NA,0,0,45-54,Woman,NA,White or Caucasian,Married,NA,Self-employed,Jan-00-1900,4554,04554,NA,NA,NA,NA,No,0,200,2,40,15,4,04554,1,43.87,-69.51,43.87,-69.51,0,0
13289153059,"I agree, start questionnaire",Yes,Yes,No,300,NA,280,238,55-64,Woman,NA,White or Caucasian,Married,NA,Employed - part time,Jan-02-2022,"Georgetown, Maine",19006,53,4101,Yes,2,Yes,2,NA,17,100,NA,NA,"Georgetown, Maine, USA",1,44.6353544,-67.8258338,40.13,-75.05,33640,940168
13289153317,"I agree, start questionnaire",Yes,Yes,No,56,NA,0,0,65+,Woman,NA,White or Caucasian,Single,NA,Retired,Jan-23-2022,4576,04901,120,NA,Yes,2,No,0,0,0,100,40,NA,04576,1,43.82,-69.67,44.6,-69.6,4988,104777
13289165345,"I agree, start questionnaire",Yes,Yes,No,0,NA,65,100,25-34,Non-binary / non-conforming,NA,White or Caucasian,Married,NA,Employed - full time,Jan-08-2022,"Boothbay Harbor, Maine",11215,60,"Freeport, Maine, USA",Yes,2,Yes,1,85,5,60,NA,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,40.67,-73.98,22714,600601
13289172174,"I agree, start questionnaire",Yes,Yes,No,80,NA,150,330,45-54,Man,NA,White or Caucasian,Single,NA,Employed - full time,Jan-15-2022,4538,19446,75,4556,Yes,2,Yes,2,80,7,50,NA,NA,04538,1,43.85,-69.63,40.23,-75.29,27292,756665
13289177656,"I agree, start questionnaire",Yes,Yes,No,40,NA,15,NA,65+,Woman,NA,White or Caucasian,Married,NA,Retired,Jan-00-1900,"Boothbay Harbor, Maine",01985,120,NA,No,NA,No,0,NA,10,50,200,NA,"Boothbay Harbor, Maine, USA",1,43.8464714,-69.634768,42.79,-70.97,8354,214096
