parameter,name,time,mean,sd,lower95,upper95
b1[1],overnightYes,Time: no,2.3118318544512877,0.10994186694765186,2.094931131975057,2.526579487098664
b1[2],genderOther,Time: no,-0.023834267998153857,0.3196489493052324,-0.6711302836974645,0.5913830310742761
b1[3],genderWoman,Time: no,-0.20777204621898748,0.10648292235879812,-0.41919072501521787,-0.0027177721145037526
b1[4],marital_statusOther,Time: no,0.0437312354270657,0.21696685467302376,-0.3886891741519283,0.46873292230844255
b1[5],marital_statusSingle,Time: no,-0.26504001881733996,0.12229245238862624,-0.5114475976261058,-0.0298845021144909
b1[6],employment_statusEmployed - part time,Time: no,-0.10198691360570819,0.2025657612451638,-0.5009671814190733,0.28814172396438353
b1[7],employment_statusRetired,Time: no,-0.10895627288031826,0.1498349659988471,-0.40876170458506883,0.17729468301524878
b1[8],employment_statusSelf-employed,Time: no,-6.808909060619303e-4,0.17707086352112195,-0.3441654049449463,0.338363562853497
b1[9],employment_statusStudent,Time: no,0.2782689723240561,0.2603128372648249,-0.2344459301491062,0.796817380497568
b1[10],employment_statusUnemployed,Time: no,-0.18607740696162298,0.2816972200756812,-0.7262498836184207,0.37384309568782864
b1[11],highest_educationDoctoral degree or equivalent,Time: no,-0.10217416451081056,0.15948397752512,-0.41001774105631933,0.2162424274167561
b1[12],highest_educationHigh School,Time: no,-0.015750072667639097,0.19643306560129478,-0.40223066215034603,0.35979350567695184
b1[13],highest_educationMaster's degree or equivalent,Time: no,-0.1667503975568634,0.11881473302977952,-0.3985077715672065,0.0662597874533456
b1[14],highest_educationOther (please specify),Time: no,-0.38563972001287894,0.2929011432767528,-0.9674721868837669,0.19379255527805908
b1[15],carpoolYes,Time: no,0.1841314108093732,0.10365077765911679,-0.016361442806506775,0.38530848666267226
b2[1],overnightYes,Time: yes,1.8437329293246545,0.10056894527355566,1.6450353667982276,2.040113718725004
b2[2],genderOther,Time: yes,-0.03470336077739474,0.3035853652647892,-0.6319276676628804,0.5413763200045436
b2[3],genderWoman,Time: yes,-0.2938059681483817,0.0991894094012295,-0.4823882740226491,-0.09671574061917226
b2[4],marital_statusOther,Time: yes,0.019522130907925917,0.19467547183231218,-0.3604455384677432,0.3919776894419963
b2[5],marital_statusSingle,Time: yes,-0.08505847793199543,0.11586277814910195,-0.3120443508294376,0.140994467714129
b2[6],employment_statusEmployed - part time,Time: yes,-0.1268386804932495,0.1960168118293076,-0.5209005846345974,0.24669153367338797
b2[7],employment_statusRetired,Time: yes,-0.32280811934539255,0.14342110013454978,-0.6057243146370858,-0.04379129385415127
b2[8],employment_statusSelf-employed,Time: yes,0.11374135360208287,0.16624048714393927,-0.20200250653371998,0.44877502575483763
b2[9],employment_statusStudent,Time: yes,-0.1263148485016016,0.2539197823968515,-0.6167582609112263,0.3665197601825522
b2[10],employment_statusUnemployed,Time: yes,-0.5501597367735802,0.2589441957091321,-1.0611103974539111,-0.05737557380470052
b2[11],highest_educationDoctoral degree or equivalent,Time: yes,0.054740566870610456,0.14937011136086262,-0.23759390468428743,0.3478951247172903
b2[12],highest_educationHigh School,Time: yes,0.13446828965565455,0.1780587484265476,-0.20661693615777393,0.4967675230278034
b2[13],highest_educationMaster's degree or equivalent,Time: yes,-0.03825053990898944,0.11286400791484062,-0.26097372261656876,0.18615859930439818
b2[14],highest_educationOther (please specify),Time: yes,-0.46187271060196605,0.2773391820308059,-1.009390706926572,0.06189826625035839
b2[15],carpoolYes,Time: yes,0.16860873577984645,0.09868633046221446,-0.03088831181542019,0.35985655688880414
Intercept1,Intercept,Time: no,4.431369875156337,0.1642402286390038,4.089396789248177,4.743051793010988
Intercept2,Intercept,Time: yes,4.836091209690434,0.17199972454520052,4.4590517652130846,5.145177745371821
bsp1[1],mo(age),Time: no,0.032059331739606296,0.0463433327776183,-0.057979597652165635,0.12617193196896448
bsp2[1],mo(age),Time: yes,0.09580076866611914,0.045680922190326094,0.00901297513534773,0.18945432833077996
simo_11[1],simplex1,Time: no,0.21415363753739072,0.16756062284108353,0.007028224113224533,0.6057423548369196
simo_11[2],simplex2,Time: no,0.19341064060581634,0.15696197471779869,0.00607171190879175,0.5659596696307428
simo_11[3],simplex3,Time: no,0.18495400531313377,0.1529818113667196,0.00719144235630558,0.5638980613260376
simo_11[4],simplex4,Time: no,0.20926443317641732,0.1681811924448202,0.0064876771343088955,0.6113871605266816
simo_11[5],simplex5,Time: no,0.19821728336724184,0.15542860665289027,0.007820312006811417,0.5724637613107826
simo_12[1],simplex1,Time: yes,0.20693522603654474,0.1551129018715575,0.007727080459379913,0.5732766037607308
simo_12[2],simplex2,Time: yes,0.24188320183823786,0.16510761455861375,0.011148472931452012,0.6128629034073265
simo_12[3],simplex3,Time: yes,0.16647374472840587,0.1394771786883217,0.005378518543608852,0.5259748313407099
simo_12[4],simplex4,Time: yes,0.21086892909419666,0.15134029031820148,0.008330068038135668,0.5650802446700517
simo_12[5],simplex5,Time: yes,0.1738388983026149,0.1305573993709353,0.00743293943510975,0.4892379511141799
sigma1,sigma1,Time: no,1.084566838515105,0.03598267724289405,1.0163193421297279,1.1562875919779427
sigma2,sigma2,Time: yes,1.0230767614328522,0.033647271928243634,0.9597852330526891,1.0931260091262083
mean_cost1,mean_cost1,Time: no,180.1399040622135,13.405974806859417,155.58504217389506,207.39120740548032
mean_cost2,mean_cost2,Time: yes,276.5855766826308,17.961455190590986,242.86144970427867,313.88528056773
birders_mean1,birders_mean1,Time: no,414862.7766039795,30874.002961253474,358312.8509495457,477622.6155742528
birders_mean2,birders_mean2,Time: yes,636977.4698644256,41365.28889036744,559310.6973099535,722878.807498836
birders_max1,birders_max1,Time: no,1050215.6406827047,78156.8331239904,907060.7958738082,1209090.7391739504
birders_max2,birders_max2,Time: yes,1612493.9120597376,104715.28376114543,1415882.2517759446,1829951.1857098658
ebird1,ebird1,Time: no,380602.3875924165,28324.351820084914,328722.4939600296,438179.36461728765
ebird2,ebird2,Time: yes,584374.30289004,37949.2415395768,513121.4435402439,663181.6966713534
twitter1,twitter1,Time: no,476626.16749474197,35470.42187564244,411657.2769198365,548729.4826339136
twitter2,twitter2,Time: yes,731808.5578253501,47523.61557361167,642579.0143908941,830498.6010114712
lp__,lp__,NA,-1436.3650427487228,4.907808176225881,-1446.996401776905,-1428.042785027941
