Survey code;Community;Region;Fisheries occupation;Assets score;Flexibility score;Learning score;Organisation score;Sociocognitive score;Agency score;Assets score normalized;Flexibility score normalized;Learning score normalized;Organisation score normalized;Sociocognitive score normalized;Agency score normalized;Remaining response;Coping response;Adaptive response;Transformative response;Furthest response;Furthest response reduced
KU-XE/KZ-02;Kushima;North;Fishing;0.5;0.055956406;0.145876806;0.75;0.070738458;0.329545455;1;0.270331802;0.266080031;1;0.282953834;0.526515152;0;0;1;0;Adapt;Adapt
KU-XE/KZ-03;Kushima;North;Mariculture;0.5;0.052893098;0.23768;0.6875;0.116924427;0.386363636;1;0.25231234;0.703238097;0.916666667;0.467697706;0.684343434;0;1;0;0;Cope;Remain/Cope
KU-XE/KZ-04;Kushima;North;Fishing;0.375;0.04736215;0.177528487;0.125;0;0.261363636;0.75;0.219777352;0.416802321;0.166666667;0;0.337121212;1;0;0;0;Remain;Remain/Cope
AK-XE/KZ-02;Akehama;North;Fishing;0.4375;0.179236265;0.120361215;0.625;0.187662885;0.409090909;0.875;0.995507441;0.144577215;0.833333333;0.75065154;0.747474747;0;0;0;1;Transform;Transform
YO-XE/KZ-02;Yoshida;North;Fishing;0.1875;0.079016183;0.235626092;0.125;0.187662885;0.346590909;0.375;0.40597755;0.693457583;0.166666667;0.75065154;0.573863636;0;0;0;1;Transform;Transform
YO-XE/KZ-03;Yoshida;North;Fishing;0.4375;0.071017596;0.1383234;0.0625;0.070738458;0.255681818;0.875;0.358927036;0.230111427;0.083333333;0.282953834;0.321338384;0;0;1;0;Adapt;Adapt
YO-XE/KZ-04;Yoshida;North;Fishing;0.125;0.067954287;0.249802573;0.0625;0.187662885;0.380681818;0.25;0.340907573;0.760964634;0.083333333;0.75065154;0.668560606;1;0;0;0;Remain;Remain/Cope
YO-XE/KZ-05;Yoshida;North;Fishing;0.375;0.096204697;0.232484612;0.625;0.060582758;0.289772727;0.75;0.507086451;0.678498153;0.833333333;0.242331034;0.416035354;0;0;1;0;Adapt;Adapt
AC-XE/KZ-02;Ainan-cho;Center;Mariculture;0.4375;0.034768599;0.088240551;0.75;0.131321217;0.409090909;0.875;0.145697644;-0.008378327;1;0.525284867;0.747474747;0;0;0;1;Transform;Transform
AC-XE/KZ-03;Ainan-cho;Center;Fishing;0.375;0.04489451;0.249802573;0.625;0.060582758;0.193181818;0.75;0.205261826;0.760964634;0.833333333;0.242331034;0.147727273;0;0;1;0;Adapt;Adapt
AC-XE/KZ-04;Ainan-cho;Center;Fishing;0.4375;0.126990094;0.249802573;0.125;0.131321217;0.471590909;0.875;0.688177021;0.760964634;0.166666667;0.525284867;0.921085859;1;0;0;0;Remain;Remain/Cope
AC-XE/KZ-05;Ainan-cho;Center;Fishing;0.4375;0.104971209;0.230752816;0.6875;0;0.238636364;0.875;0.55865417;0.670251505;0.916666667;0;0.273989899;0;0;1;0;Adapt;Adapt
AC-XE/KZ-06;Ainan-cho;Center;Fishing;0.4375;0.090846004;0.183489336;0.25;0.127080127;0.443181818;0.875;0.47556473;0.445187315;0.333333333;0.508320506;0.842171717;0;1;0;0;Cope;Remain/Cope
AC-XE/KZ-07;Ainan-cho;Center;Fishing;0.4375;0.026770012;0.226827874;0.0625;0.127080127;0.261363636;0.875;0.09864713;0.651561305;0.083333333;0.508320506;0.337121212;0;0;1;0;Adapt;Adapt
AC-XE/KZ-08;Ainan-cho;Center;Mariculture;0.5;0.138987975;0.166032137;0.75;0.187662885;0.289772727;1;0.758752792;0.362057796;1;0.75065154;0.416035354;0;0;1;0;Adapt;Adapt
AC-XE/KZ-09;Ainan-cho;Center;Mariculture;0.3125;0.120863476;0.241143593;0.1875;0.116924427;0.471590909;0.625;0.652138096;0.719731393;0.25;0.467697706;0.921085859;0;0;0;1;Transform;Transform
AC-XE/KZ-10;Ainan-cho;Center;Fishing;0.4375;0.0599557;0.232484612;0.1875;0.127080127;0.380681818;0.875;0.293857059;0.678498153;0.25;0.508320506;0.668560606;0;1;0;0;Cope;Remain/Cope
AC-XE/KZ-11;Ainan-cho;Center;Fishing;0.4375;0.047957819;0.258461553;0.625;0.133075573;0.443181818;0.875;0.223281288;0.802197874;0.833333333;0.532302294;0.842171717;0;1;0;0;Cope;Remain/Cope
SU-XE/KZ-01;Sukumo;South;Fishing;0.4375;0.079016183;0.22948237;0.1875;0.187662885;0.471590909;0.875;0.40597755;0.664201762;0.25;0.75065154;0.921085859;1;0;0;0;Remain;Remain/Cope
SU-XE/KZ-03;Sukumo;South;Fishing;0.25;0.048893804;0.23814135;0.0625;0.127080127;0.346590909;0.5;0.228787083;0.705435002;0.083333333;0.508320506;0.573863636;0;0;1;0;Adapt;Adapt
SU-XE/KZ-04;Sukumo;South;Fishing;0.5;0.10361181;0.189006836;0.25;0.070738458;0.414772727;1;0.550657706;0.471461125;0.333333333;0.282953834;0.763257576;1;0;0;0;Remain;Remain/Cope
YU-XE/KZ-04;Yusu;Center;Mariculture;0.4375;0.056892391;0.226827874;0.625;0.070738458;0.267045455;0.875;0.275837597;0.651561305;0.833333333;0.282953834;0.35290404;0;0;1;0;Adapt;Adapt
YU-XE/KZ-05;Yusu;Center;Mariculture;0.5;0.07501689;0.153909565;0.75;0.116924427;0.227272727;1;0.382452293;0.30433126;1;0.467697706;0.242424242;1;0;0;0;Remain;Remain/Cope
YU-XE/KZ-06;Yusu;Center;Mariculture;0.375;0.051361443;0.21990069;0.625;0.070738458;0.318181818;0.75;0.243302609;0.618574713;0.833333333;0.282953834;0.494949495;0;0;1;0;Adapt;Adapt
YU-XE/KZ-07;Yusu;Center;Mariculture;0.4375;0.012644807;0.241143593;0.6875;0.056341668;0.318181818;0.875;0.015557691;0.719731393;0.916666667;0.225366673;0.494949495;0;0;1;0;Adapt;Adapt
YU-XE/KZ-08;Yusu;Center;Mariculture;0.4375;0.067954287;0.208700817;0.1875;0.127080127;0.198863636;0.875;0.340907573;0.565241985;0.25;0.508320506;0.163510101;0;0;1;0;Adapt;Adapt
YU-XE/KZ-09;Yusu;Center;Mariculture;0.25;0.067954287;0.232484612;0.5625;0.056341668;0.136363636;0.5;0.340907573;0.678498153;0.75;0.225366673;-0.01010101;0;0;0;1;Transform;Remain/Cope
