ID,Country,Continent,number_years,size,IUCN_category,IUCN_Dummy,PGDP_2017,HDI_2017,disToRoads,disTocities,Illigal_poaching1_change,Illigal_poaching2_change,logging_change,mining_change,Compliance_change_Orig,Compliance_change_rev,Agri_encroachment_chnage,grazing_encroachment_chnage,fire_change,Attitude_NP_change,Park_authority_change,Trust_change,Wilflife.Protect_change,Want.NPLand_change_Orig,Want.NPLand_change_rev,Satisfied_change,support_NP_change,Pop_change,NP_relatedBnefit_change,NP_related_econBenefit_Chnage,Poverty_chnage_Orig,Poverty_chnage_rev,Electricity_chnage,Livestock_change,CleanWater_change,Vistation_rate_change,TourismBenefit_change,Unemplyment_change_Orig,Unemplyment_change_rev,Housing_change,ResourceAccess_change,Busness_opration_change,Grants_change,TourismTax.Revenue_chabge,NP_RelatedBenefits_index,Decion_making_change,Benefit_distr_change,Befit_satisfaction_change,Culture_NP_change,Participation_NP_protection_change,Village_chief_change,Supportive_culture,Local_institutions,Willingness,Connection.TO.nuture,Trust.Towards.community,Hunting_deep_rooted,Bush_meat_dependance,Bush_meat_Protine,Training,Resources,Willingness_TO_support,Get_sufficient_support,Power_TO_make_decisions,Ability_TO_reward,Ability_.to_punish,Priority_to_biodiversity,Independent_government_office,Buffor_zone,Regular_patrol,research_institute,Re_introduction,Re_vegitation,Re_hablitation,Re_hablitation2,PES,Alt_Livelihoods,CBC,Community_project,Community_school,Community_health,Community_roads,Community_others,Awareness_creation,Sustainable_Turism_management,Forest_cover_inside,Forest_degradation_inside,Forest_fragmentation_inside,Wood_shrub_cover_inside,Meadow_grassland_cover_inside,Cropland_cover_inside,Wetland_vegetation_cover_inside,Aquatic_vegetation_cover_inside,Fire_Incidence_inside,Logging_inside,Mining_inside,Agri_Severity,Agri_Change_severity,Agri_legal,Invasive_Severity,Invasive_Change_severity,Dams_Severity,Dams_change_severity,Fire_Severity,Fire_Change_severity,Fire_legal,pollution_Severity,Pollution_Change_severity,HumanIntrusion_Severity,HumanIntrusion_Change_severity,HumanIntrusion_legal,Transport_Severity,Transport_Change_severity,Transport_legal,Residential_com_Severity,Residential_com_Change_severity,Residential_Com_legal,Climate_Severity,Climate_severity_Change,Energy_Severity,Energy_Change_severity,Energy_legal,Hunting_Severity,Hunting_Change_severity,Hunting_legal,Logging_Severity,Logging_Change_severity,logging_legal,GatheringPlants_Severity,GatheringPlants_Change_severity,GatheringPlants_legal,Fishing_Severity,Fishing_Change_severity,Fishing_legal,GeologicalEvents_Severity,GeologicalEvents_Change_severity,PoisoningAnimals_Severity,PoisoningAnimals_Change_severity,PoisoningAnimals_legal,Abundance_change
1,Spain,Europe,63,141,II,1,38300,0.891,3.297509708,92.63178051,NA,-1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NQ,NQ,NQ,NA,NQ,NA,0,0,0,0,NA,0,1,1,0,0,1,1,1,0,0,3,3,1,4,5,3,6,6,3,3,3,3,1,5,5,5,5,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,-1,4,0,3,4,-1,3,1,1,4,-1,1,5,0,2,NA,NA,5,0,2,5,0,2,5,0,2,5,0,2,5,0,2,4,1,4,0,2,1
2,Uganda,Africa,35,260,II,1,2400,0.516,4.165430936,14.72355679,1,1,1,0,1,-1,1,1,1,1,0,-1,0,0,0,0,1,1,1,1,-1,1,1,-1,NA,1,1,1,-1,NQ,-1,1,0,1,0.6,1,0,0,0,1,1,3,2,3,4,5,5,5,4,1,5,3,4,2,2,2,6,5,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,3,0,2,5,0,5,-1,2,0,2,5,-1,5,-1,3,5,-1,1,3,1,1,3,1,5,-1,1,4,-1,2,5,0,2,5,-1,2,2,1,3,5,0,4,-1,2,0.340425532
3,Cameroon,Africa,50,2113.82,II,1,3700,0.556,0,55.6739392,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,0,1,-1,NQ,1,1,NA,-1,0.4,1,0,0,0,1,0,4,NA,2,2,5,1,1,1,1,3,2,2,2,4,2,2,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,NA,NA,1,1,1,4,1,2,5,1,NA,NA,1,1,3,2,1,1,1,2,4,0,NA,2,1,2,3,1,1,1,2,2,1,2,4,1,2,5,0,2,3,1,2,NA,NA,4,-1,2,0.75
4,Ghana,Africa,26,375,II,1,4700,0.592,11.5560283,25.67230703,1,1,1,0,1,-1,0,1,0,1,1,0,1,1,-1,0,1,1,0,0,0,0,1,0,1,1,0,-1,1,NQ,0,1,0,1,0.2,1,1,0,1,1,1,2,2,2,1,5,3,3,2,2,5,3,3,2,2,2,5,2,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,-1,0,0,1,0,NA,0,0,NA,-1,NA,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,NA,NA,NA,5,-1,2,NA,NA,NA,NA,NA,4,-1,2,0
5,South Africa,Africa,39,831,not reported,0,12294.88,0.699,0,1.280525124,NA,0,0,0,1,-1,0,0,0,1,1,1,1,0,0,1,1,1,NA,1,1,-1,0,1,-1,1,0,1,-1,NQ,0,-1,0,1,0.5,0,0,1,0,1,0,2,5,1,1,2,3,5,3,1,3,5,3,1,5,2,6,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,0,2,5,-1,NA,NA,NA,NA,NA,5,1,4,1,2,5,0,3,2,1,1,1,1,2,1,2,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583333333
6,Sierra Leone,Africa,23,388.5,II,1,1600,0.419,4.600197348,52.99475951,-1,-1,-1,-1,0,0,0,0,-1,1,0,0,0,1,-1,1,1,0,0,0,1,-1,1,0,0,0,1,1,-1,NQ,0,0,0,0,0.2,1,1,1,1,1,1,2,2,3,2,3,2,3,1,3,3,4,4,3,4,2,5,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,-1,1,1,1,0,1,-1,-1,1,1,1,2,1,3,3,0,5,0,2,1,1,2,1,2,1,2,2,1,2,4,0,1,3,0,2,1,2,2,-1,2,2,1,2,3,0,2,2,1,2,5,0,3,0,3,-0.115384615
7,Tunisia,Africa,8,52.32,Not assigned,0,11800,0.735,0.288677559,10.56407704,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-1,0,0,0,NQ,-1,0,0,0,-0.4,0,0,1,0,-1,-1,4,6,3,3,4,4,5,5,2,2,4,5,3,3,3,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,1,4,0,3,1,5,0,3,2,1,2,1,3,3,0,3,2,1,1,3,0,5,0,1,3,1,3,2,1,2,2,1,2,5,0,1,5,0,5,0,2,0.461538462
8,Congo,Africa,30,1372.69,UNSCO,0,6600,0.606,0,15.29901544,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NQ,0,NA,NA,NA,0,0,1,1,0,1,0,4,5,4,2,5,4,2,1,3,6,4,3,2,1,2,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,NA,NA,1,NA,NA,1,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3,2,1,2,2,-1,3,5,0,1,NA,NA,NA,NA,NA,-0.333333333
9,Slovakia,Europe,30,197.63,II,1,33000,0.855,6.764384851,51.44318052,NA,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,NA,1,NQ,NQ,NQ,0,NQ,1,1,0,0,NA,0,1,0,1,0.75,1,1,0,1,1,1,2,2,3,3,1,4,6,6,4,2,4,3,1,2,2,4,3,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,-1,0,0,0,-1,1,0,5,0,1,4,1,3,0,3,-1,2,3,0,3,1,1,3,1,1,4,0,1,3,1,5,0,NA,3,0,1,2,1,1,4,0,2,4,0,1,5,0,5,0,2,0.32
10,France,Europe,55,207.68,V,0,43800,0.901,3.347302204,56.02068928,-1,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,-1,1,NA,1,NQ,NQ,NQ,NA,NQ,0,0,0,0,1,0,1,0,1,0.25,1,0,0,0,0,0,3,6,3,5,4,2,6,6,1,4,2,3,1,4,5,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,4,0,1,1,5,0,2,4,0,1,1,1,4,0,2,1,1,1,2,1,5,0,2,4,-1,2,4,-1,2,3,0,2,3,0,1,5,0,1,1,2,0.636363636
